Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,128.30,131.95,128.00,128.45,129.855335459833275256,37307,730,4844513.00,19588,52.50,3.95,0.15
29-December-2016,128.95,128.95,127.00,128.00,127.975367882277671145,9378,154,1200153.00,4459,47.55,1.95,-0.95
28-December-2016,129.00,130.25,126.80,127.50,128.984834732622343241,26442,386,3410617.00,13429,50.79,3.45,-1.50
27-December-2016,131.10,131.95,126.20,128.60,129.781405644714997232,19877,334,2579665.00,10987,55.27,5.75,-2.50
26-December-2016,133.00,133.00,129.40,130.20,130.558825888202742802,37407,682,4883814.00,21261,56.84,3.60,-2.80
23-December-2016,135.20,135.20,132.40,134.05,134.092135779042799915,18972,348,2543996.00,5221,27.52,2.80,-1.15
22-December-2016,136.60,138.20,133.05,134.10,135.117865322950068712,21830,424,2949623.00,10214,46.79,5.15,-2.50
21-December-2016,138.00,139.80,136.05,136.60,137.904086402837108084,12407,205,1710976.00,4505,36.31,3.75,-1.40
20-December-2016,140.25,140.25,136.25,137.40,138.226712791090111373,23704,588,3276526.00,12683,53.51,4.00,-2.85
19-December-2016,142.00,142.00,138.70,139.25,140.057059480938780578,16106,234,2255759.00,10594,65.78,3.30,-2.75
16-December-2016,141.70,142.75,140.90,142.00,141.927534883720930232,10750,266,1525721.00,4668,43.42,1.85,0.30
15-December-2016,138.20,144.40,138.00,141.60,142.079071928449051891,34437,1130,4892777.00,11554,33.55,6.40,3.40
14-December-2016,141.10,141.10,138.50,139.15,139.668006761386998035,21889,395,3057193.00,12537,57.28,2.60,-1.95
13-December-2016,146.00,146.00,141.00,141.50,143.525382372195441290,33606,454,4823314.00,22231,66.15,5.00,-4.50
12-December-2016,149.00,151.70,143.25,146.00,146.036527731224043308,1047177,885,152926093.00,1008173,96.28,8.45,-3.00
9-December-2016,146.00,154.90,144.80,150.00,151.079653176268358654,79118,1295,11953120.00,20568,26.00,10.10,4.00
8-December-2016,145.20,147.30,144.50,145.85,145.377875042911088225,11652,137,1693943.00,8481,72.79,2.80,0.65
7-December-2016,144.65,144.95,143.50,143.90,144.125761472857723026,7387,121,1064657.00,4270,57.80,1.45,-0.75
6-December-2016,145.20,145.30,142.70,143.85,144.252307046979865771,4768,96,687795.00,2102,44.09,2.60,-1.35
5-December-2016,142.50,145.70,141.70,144.90,143.571963519961345654,16557,289,2377121.00,8559,51.69,4.00,2.40
2-December-2016,146.15,146.15,141.00,142.55,142.972608553705517466,30630,832,4379251.00,8626,28.16,5.15,-3.60
1-December-2016,150.00,150.00,144.45,149.55,147.927934778017150340,23673,486,3501898.00,8816,37.24,5.55,-0.45
30-November-2016,145.00,149.80,143.30,148.60,147.572000773459296704,36201,704,5342254.00,7243,20.01,6.50,3.60
29-November-2016,144.10,145.55,142.45,144.25,144.391460561497326203,11968,260,1728077.00,5334,44.57,3.10,0.15
28-November-2016,142.40,146.00,140.50,143.85,144.273923879744535022,38518,556,5557143.00,8296,21.54,5.50,1.45
25-November-2016,140.30,144.00,139.35,141.85,141.394117283569177531,32366,372,4576362.00,8903,27.51,4.65,1.55
24-November-2016,139.30,140.30,138.95,139.40,139.749974632166412988,9855,93,1377236.00,5635,57.18,1.35,0.10
23-November-2016,141.00,141.00,138.00,139.80,139.975092250922509225,15176,243,2124262.00,7241,47.71,3.00,-1.20
22-November-2016,143.00,144.00,138.45,140.95,141.212235926242520454,24567,410,3469161.00,11258,45.83,5.55,-2.05
21-November-2016,149.95,150.00,140.75,141.45,143.406502775574940523,25220,704,3616712.00,13746,54.50,9.25,-8.50
18-November-2016,145.75,149.90,143.60,148.60,147.344040660736975857,19675,430,2898994.00,7762,39.45,6.30,2.85
17-November-2016,146.85,150.50,144.00,144.75,148.691398220528440036,66649,619,9910133.00,45329,68.01,6.50,-2.10
