Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,431.00,443.00,428.00,441.20,437.901131895720348744,256119,8351,112154800.00,90371,35.28,15.00,10.20
29-December-2016,420.40,432.00,419.70,429.25,425.418842819489578812,188942,3415,80379487.00,62881,33.28,12.30,8.85
28-December-2016,424.50,431.70,418.50,419.90,425.022343377837991390,183052,3727,77801190.00,43472,23.75,13.20,-4.60
27-December-2016,413.20,425.90,413.00,423.80,421.550560707772302200,103084,1673,43455118.00,28093,27.25,12.90,10.60
26-December-2016,421.00,421.00,410.00,413.35,414.540171189572998735,185058,4304,76713975.00,74726,40.38,11.00,-7.65
23-December-2016,418.00,423.75,416.90,420.05,420.390885094724180560,149645,2532,62909394.00,38809,25.93,6.85,2.05
22-December-2016,419.00,423.60,415.50,417.90,418.696196608654356510,143188,3030,59952271.00,41721,29.14,8.10,-1.10
21-December-2016,421.05,424.90,416.85,421.45,421.315376425065572493,192535,4316,81117956.00,54839,28.48,8.05,0.40
20-December-2016,424.55,428.10,420.10,421.45,422.703180306529123833,112159,2582,47409966.00,31607,28.18,8.00,-3.10
19-December-2016,430.00,435.55,422.50,424.55,428.846187677421934348,225099,4959,96532848.00,66641,29.61,13.05,-5.45
16-December-2016,423.90,427.10,418.05,425.35,422.434288499025341130,205200,4515,86683516.00,47361,23.08,9.05,1.45
15-December-2016,438.00,441.35,419.80,427.10,428.252790806520678357,401676,7845,172018868.00,80496,20.04,21.55,-10.90
14-December-2016,440.00,443.30,433.10,434.70,437.391018462227626147,125012,3369,54679126.00,26995,21.59,10.20,-5.30
13-December-2016,434.30,440.55,432.85,439.55,437.223226133791273124,102488,2320,44810134.00,30658,29.91,7.70,5.25
12-December-2016,449.00,451.00,431.50,433.60,438.003448146971424299,214028,4680,93745002.00,76078,35.55,19.50,-15.40
9-December-2016,452.00,459.45,441.75,452.85,450.721649214522558576,190903,4811,86044115.00,31012,16.24,17.70,0.85
8-December-2016,453.00,454.95,447.35,452.80,451.714604561658096469,126796,2879,57275605.00,34653,27.33,7.60,-0.20
7-December-2016,438.00,449.85,438.00,447.25,446.576020351859488531,172171,2631,76887440.00,27775,16.13,11.85,9.25
6-December-2016,432.45,443.00,432.45,437.10,438.234485259006419892,226172,4049,99116370.00,78264,34.60,10.55,4.65
5-December-2016,432.00,440.35,427.20,431.15,431.412058161464987528,410925,6157,177278000.00,229597,55.87,13.15,-0.85
2-December-2016,442.30,444.85,431.70,435.35,436.359775608883074084,324077,6152,141414167.00,108031,33.33,13.15,-6.95
1-December-2016,462.00,464.50,442.60,446.90,447.964256849173125543,386032,8167,172928538.00,152432,39.49,21.90,-15.10
30-November-2016,475.30,477.55,465.45,469.95,471.022984509857667185,448737,6381,211365441.00,199203,44.39,12.10,-5.35
29-November-2016,480.00,485.95,470.55,475.30,477.119673787715866250,154378,3838,73656781.00,37620,24.37,15.40,-4.70
28-November-2016,464.00,483.05,462.35,480.85,478.381010282572493457,302648,6893,144781056.00,82818,27.36,20.70,16.85
25-November-2016,450.00,464.95,450.00,462.20,461.337297916695428879,144866,6787,66832089.00,47302,32.65,14.95,12.20
24-November-2016,457.50,457.50,440.65,452.20,448.233223792540482213,142717,4958,63970501.00,44572,31.23,16.85,-5.30
23-November-2016,445.75,456.00,444.15,454.15,452.638484465974503182,302626,9081,136980174.00,123020,40.65,11.85,8.40
22-November-2016,447.00,454.50,442.75,450.80,448.353698876455321146,176851,8139,79291800.00,59481,33.63,11.75,3.80
21-November-2016,460.50,465.70,436.95,441.75,450.242483701500094942,205387,5798,92473953.00,58732,28.60,28.75,-18.75
18-November-2016,443.50,463.15,443.50,460.20,457.439952853067419070,383482,13217,175419988.00,160122,41.75,19.65,16.70
17-November-2016,445.00,453.85,440.80,443.50,447.130995614707088107,241489,9291,107977217.00,56345,23.33,13.05,-1.50
16-November-2016,448.00,457.85,442.45,444.25,449.200155281902319185,258884,8347,116290733.00,72519,28.01,15.40,-3.75
15-November-2016,447.00,458.45,403.65,444.15,430.212640843453621456,675129,12912,290449030.00,207201,30.69,54.80,-2.85
11-November-2016,453.80,455.50,440.00,448.50,445.360018151835239681,246807,5698,109917970.00,57337,23.23,15.50,-5.30
10-November-2016,459.00,466.85,451.45,462.55,460.747941781828873860,258476,5603,119092285.00,55028,21.29,15.40,3.55
9-November-2016,432.55,452.60,413.45,450.10,434.050521695295706595,420552,11838,182540815.00,66879,15.90,39.15,17.55
8-November-2016,445.00,452.00,445.00,451.00,449.082017529280102826,90249,3127,40529203.00,26496,29.36,7.00,6.00
7-November-2016,442.00,453.60,442.00,444.75,447.314567291703972781,156364,3637,69943895.00,56235,35.96,11.60,2.75
4-November-2016,438.00,442.00,421.60,435.10,432.128500973393900064,231150,8847,99886503.00,62939,27.23,20.40,-2.90
3-November-2016,457.00,459.70,435.00,437.30,446.325892758916587823,181796,6436,81140262.00,38734,21.31,24.70,-19.70
2-November-2016,461.45,461.45,450.55,452.45,454.919705895784810704,109485,4003,49806884.00,32933,30.08,10.90,-9.00
1-November-2016,467.50,470.50,461.45,464.75,466.128584018199331871,146379,4869,68231436.00,43687,29.85,9.05,-2.75
30-October-2016,469.00,471.00,466.80,467.50,468.538650565189917854,28486,704,13346792.00,15068,52.90,4.20,-1.50
