Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,278.00,278.00,272.60,273.80,274.475319437871648731,48601,970,13339775.00,24487,50.38,5.40,-4.20
29-December-2016,261.00,275.40,259.40,274.15,270.142371399426822752,82348,2188,22245684.00,26465,32.14,16.00,13.15
28-December-2016,258.35,265.50,257.90,259.50,261.320849123638086215,33776,646,8826373.00,12925,38.27,7.60,1.15
27-December-2016,257.70,257.80,252.10,256.50,255.355897132722435707,16915,427,4319345.00,7053,41.70,5.70,-1.20
26-December-2016,260.50,260.50,252.50,256.05,257.254724341192787794,23072,507,5935381.00,8337,36.13,8.00,-4.45
23-December-2016,262.00,267.35,261.50,262.20,263.306338360037700282,42440,651,11174721.00,18637,43.91,5.85,0.20
22-December-2016,269.00,271.00,263.85,266.25,266.817381316998468606,57464,963,15332394.00,26787,46.62,7.15,-2.75
21-December-2016,270.90,273.50,267.20,269.85,270.684296190975080446,53452,1058,14468617.00,21547,40.31,6.30,-1.05
20-December-2016,270.65,275.00,269.20,270.75,272.067314160780356542,23784,707,6470849.00,10383,43.66,5.80,0.10
19-December-2016,275.65,277.95,268.50,270.85,274.310053380782918149,26976,851,7399788.00,7402,27.44,9.45,-4.80
16-December-2016,274.10,277.00,272.50,275.85,274.629096961420279959,23432,594,6435109.00,8804,37.57,4.50,1.75
15-December-2016,275.00,279.60,273.10,275.45,275.415669085417510773,27149,656,7477260.00,7343,27.05,6.50,0.45
14-December-2016,277.65,284.55,276.25,277.45,281.049867466721039293,68662,1442,19297446.00,19776,28.80,8.30,-0.20
13-December-2016,281.00,282.00,275.45,276.80,277.312881506903146367,38171,966,10585310.00,12350,32.35,6.55,-4.20
12-December-2016,278.90,283.90,278.85,281.40,281.426376536800445427,66453,1749,18701627.00,24580,36.99,5.05,2.50
9-December-2016,271.00,278.10,269.10,276.35,272.544070425735824449,101213,1228,27585003.00,46046,45.49,9.00,5.35
8-December-2016,265.75,272.00,265.75,271.20,269.920096632397282667,55054,1178,14860181.00,25175,45.73,6.25,5.45
7-December-2016,266.90,271.40,262.00,263.40,266.571359254024176705,47401,1002,12635749.00,16830,35.51,9.40,-3.50
6-December-2016,271.00,271.50,264.00,264.90,267.164495078460900499,45819,624,12241210.00,25071,54.72,7.50,-6.10
5-December-2016,267.80,274.25,266.65,268.65,270.443310001228005543,57003,1524,15416080.00,9423,16.53,7.60,0.85
2-December-2016,270.45,277.20,265.40,270.40,271.414436533267861527,118117,2615,32058659.00,9757,8.26,11.80,-0.05
1-December-2016,280.60,286.00,270.15,271.55,278.927900797165633303,146770,2696,40938248.00,25634,17.47,15.85,-9.05
30-November-2016,270.75,280.10,270.30,278.10,276.835676045816733067,160640,3105,44470883.00,54617,34.00,9.80,7.35
29-November-2016,273.00,276.50,266.90,268.15,271.625197900174985417,84007,1498,22818418.00,32483,38.67,9.60,-4.85
28-November-2016,258.20,278.40,257.55,272.80,270.637949202841177710,175561,3213,47513469.00,39306,22.39,20.85,14.60
25-November-2016,254.85,261.30,254.85,258.55,258.511467753979636587,84367,1164,21809837.00,52072,61.72,6.45,3.70
24-November-2016,255.00,258.30,252.00,254.30,255.130321182768289574,31384,684,8007010.00,7221,23.01,6.30,-0.70
23-November-2016,256.00,259.75,250.65,254.85,254.487210352091483599,36553,684,9302271.00,15241,41.70,9.10,-1.15
22-November-2016,258.00,263.00,250.50,253.90,255.473994587376059184,84617,1545,21617443.00,26457,31.27,12.50,-4.10
21-November-2016,265.00,268.30,253.00,254.15,257.594351351852882777,53889,1101,13881502.00,14720,27.32,15.30,-10.85
18-November-2016,263.00,271.70,260.25,266.65,266.801209550738297203,127320,3042,33969130.00,34946,27.45,11.45,3.65
17-November-2016,246.00,264.50,244.25,262.65,258.345382619679744642,132207,3178,34155068.00,26457,20.01,20.25,16.65
16-November-2016,235.00,248.50,235.00,245.45,243.350039719794901422,110776,1975,26957344.00,57144,51.59,13.50,10.45
15-November-2016,270.00,270.00,230.80,233.30,241.200660713363960150,96865,2500,23363902.00,41687,43.04,39.20,-36.70
11-November-2016,265.00,272.00,261.00,262.40,265.765437588635434944,83206,2204,22113279.00,27300,32.81,11.00,-2.60
10-November-2016,274.80,279.90,268.00,274.00,276.588674404274877016,98997,1901,27381449.00,22237,22.46,11.90,-0.80
9-November-2016,250.15,272.40,231.55,270.10,261.462472791609921895,171822,3993,44925005.00,18850,10.97,40.85,19.95
8-November-2016,267.20,272.00,267.20,270.70,269.752676161221260355,32229,871,8693859.00,12742,39.54,4.80,3.50
7-November-2016,257.50,271.50,257.50,266.95,267.351878175446497684,142106,3301,37992306.00,48007,33.78,14.00,9.45
4-November-2016,258.00,262.45,250.65,253.10,254.709069924016543233,51985,1407,13241051.00,25086,48.26,11.80,-4.90
3-November-2016,274.00,277.85,257.45,259.50,266.703461226799747900,155494,3949,41470788.00,87051,55.98,20.40,-14.50
2-November-2016,284.95,284.95,270.50,274.65,277.602080861549694259,54785,1673,15208430.00,28399,51.84,14.45,-10.30
1-November-2016,286.70,290.25,284.10,285.65,287.016946277416837712,58951,1816,16919936.00,21222,36.00,6.15,-1.05
30-October-2016,286.95,286.95,282.00,283.70,283.410113586719091306,9156,213,2594903.00,5604,61.21,4.95,-3.25
28-October-2016,283.00,286.50,278.40,281.05,283.039385121829350733,34023,919,9629849.00,18205,53.51,8.10,-1.95
27-October-2016,282.00,286.40,281.40,282.05,283.495924270312910859,34227,1397,9703215.00,15866,46.36,5.00,0.05
26-October-2016,284.00,290.00,284.00,286.50,287.069458890382810319,39419,1487,11315991.00,21678,54.99,6.00,2.50
25-October-2016,292.00,292.00,286.00,287.15,288.060011348085844931,29961,760,8630566.00,16015,53.45,6.00,-4.85
24-October-2016,288.00,293.20,287.00,291.75,290.550476972645144987,63316,1368,18396494.00,23032,36.38,6.20,3.75
21-October-2016,291.00,291.75,285.95,287.55,288.778118329057401931,102122,1603,29490599.00,43004,42.11,5.80,-3.45
20-October-2016,293.50,293.85,287.45,289.00,290.267605989162094805,356711,2260,103541648.00,176796,49.56,6.40,-4.50
19-October-2016,285.50,294.40,285.50,292.30,291.272984279504526587,122388,1987,35648318.00,17080,13.96,8.90,6.80
18-October-2016,289.55,292.45,285.90,290.05,288.232656846699399890,91650,1780,26416523.00,18059,19.70,6.55,0.50
17-October-2016,289.50,294.40,286.60,287.90,289.493951915555941818,126569,2209,36640960.00,40052,31.64,7.80,-1.60
14-October-2016,288.00,294.70,286.25,287.30,289.742993855142540545,99270,1640,28762787.00,38768,39.05,8.45,-0.70
