Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,1066.80,1084.70,1064.00,1080.10,1079.653093520335232124,653398,8434,705443172.00,405098,62.00,20.70,13.30
29-December-2016,1051.65,1068.60,1049.50,1064.95,1058.232604434025181382,98962,3809,104724815.00,26451,26.73,19.10,13.30
28-December-2016,1068.00,1069.90,1048.40,1052.20,1062.748462353025090667,546777,4664,581086416.00,453772,82.99,21.50,-15.80
27-December-2016,1047.10,1066.70,1047.10,1064.40,1054.960411674336194760,560443,7152,591245178.00,417160,74.43,19.60,17.30
26-December-2016,1055.60,1066.00,1045.00,1047.10,1050.924167059499233299,369114,4495,387910823.00,272167,73.74,21.00,-8.50
23-December-2016,1050.60,1068.45,1050.60,1058.15,1059.567041629033582395,304475,4166,322611675.00,172678,56.71,17.85,7.55
22-December-2016,1059.90,1061.55,1050.35,1053.95,1058.371555104681157070,622987,5426,659351720.00,517903,83.13,11.20,-5.95
21-December-2016,1059.00,1066.35,1056.50,1061.45,1060.869887264432459348,273117,6195,289741601.00,188109,68.87,9.85,2.45
20-December-2016,1057.30,1062.00,1054.00,1059.10,1058.854216967993273902,779055,4082,824905672.00,661760,84.94,8.00,1.80
19-December-2016,1058.00,1065.80,1055.00,1062.15,1064.146429067829614716,726659,5072,773271580.00,498840,68.65,10.80,4.15
16-December-2016,1050.00,1062.00,1050.00,1057.55,1057.665517600185282774,297923,3674,315102884.00,197989,66.46,12.00,7.55
15-December-2016,1056.75,1066.80,1051.00,1054.20,1059.207076634776605187,202780,6774,214786011.00,55039,27.14,15.80,-2.55
14-December-2016,1039.50,1064.40,1039.40,1060.00,1059.396714735569705042,519532,8586,550390494.00,318680,61.34,25.00,20.50
13-December-2016,1032.00,1042.00,1028.50,1039.90,1037.885168247342520692,97743,4028,101446010.00,37965,38.84,13.50,7.90
12-December-2016,1026.85,1040.00,1022.15,1028.10,1033.530120699135545399,110937,5237,114656731.00,32953,29.70,17.85,1.25
9-December-2016,1020.50,1029.60,1020.30,1026.40,1026.134326330270554866,117758,4063,120835526.00,40702,34.56,9.30,5.90
8-December-2016,1003.10,1021.00,1003.10,1019.55,1016.136354807381029459,123560,4625,125553808.00,45221,36.60,17.90,16.45
7-December-2016,1007.00,1007.00,995.65,999.70,1002.285054333560816840,76196,2476,76370112.00,18062,23.70,11.35,-7.30
6-December-2016,995.00,1004.90,995.00,1003.35,999.621632500785422557,101856,3728,101817461.00,30678,30.12,9.90,8.35
5-December-2016,994.00,998.75,987.55,994.10,993.655915584092379672,100455,4007,99817705.00,23283,23.18,11.20,0.10
2-December-2016,995.00,1005.60,993.05,995.30,1000.447414486445569380,190233,5476,190318113.00,82005,43.11,12.55,0.30
1-December-2016,996.15,1014.60,994.50,997.20,1005.104287018627710319,234382,9310,235578353.00,54585,23.29,20.10,1.05
30-November-2016,997.00,997.60,988.00,992.75,992.015452381930875248,267661,4785,265523848.00,185542,69.32,9.60,-4.25
29-November-2016,987.10,1002.70,987.10,995.85,991.982909080866869645,289686,4400,287363561.00,206014,71.12,15.60,8.75
28-November-2016,994.80,1000.05,984.00,986.45,990.979798752308011668,91529,5109,90703390.00,31329,34.23,16.05,-8.35
25-November-2016,991.00,996.00,985.00,993.65,990.161962304354835318,285338,5263,282530834.00,164766,57.74,11.00,2.65
24-November-2016,1006.90,1006.90,986.00,990.65,991.928783494483261580,212535,5710,210819584.00,76600,36.04,20.90,-16.25
23-November-2016,1005.00,1008.50,999.50,1007.25,1005.048814605214777868,125106,3935,125737637.00,47431,37.91,9.00,2.25
22-November-2016,994.25,1007.50,994.05,1001.10,1000.709816126170823748,133026,6591,133120424.00,44860,33.72,13.45,6.85
21-November-2016,988.00,993.70,983.50,990.90,988.474066315702433780,362810,5930,358628276.00,223498,61.60,10.20,2.90
18-November-2016,983.15,992.15,982.90,987.50,988.144681086769878416,288856,6389,285431520.00,168353,58.28,9.25,4.35
17-November-2016,987.00,998.00,975.85,981.30,986.937159839587510741,418920,8257,413447715.00,262975,62.77,22.15,-5.70
16-November-2016,989.30,996.70,982.00,985.85,991.420224064090872360,346508,7099,343535039.00,226634,65.41,14.70,-3.45
15-November-2016,1001.80,1001.80,980.55,987.60,989.568081618810761926,566144,8405,560238032.00,292189,51.61,21.25,-14.20
11-November-2016,1000.00,1017.30,995.35,1001.40,1004.087906184540938071,240131,6079,241112633.00,77255,32.17,21.95,1.40
10-November-2016,1016.55,1028.40,1008.25,1010.00,1018.279324523882269070,157104,4763,159975755.00,44802,28.52,20.15,-6.55
9-November-2016,940.00,1008.90,932.00,1005.55,976.601852023206965791,432284,14530,422169355.00,89360,20.67,76.90,65.55
8-November-2016,1003.55,1009.00,998.35,1002.85,1002.004328136119557482,154570,5046,154879809.00,54178,35.05,10.65,-0.70
7-November-2016,1011.35,1016.50,999.50,1001.95,1005.679970853447490663,164685,5842,165620406.00,51489,31.27,17.00,-9.40
4-November-2016,1021.30,1027.15,1000.55,1005.80,1012.180718038849526738,218484,6460,221145292.00,52658,24.10,26.60,-15.50
3-November-2016,1024.05,1034.50,1022.10,1025.45,1028.418777865589072961,134126,4767,137937697.00,39420,29.39,12.40,1.40
2-November-2016,1042.00,1042.05,1021.10,1024.05,1030.234004519746989824,167266,5599,172323121.00,58274,34.84,20.95,-17.95
1-November-2016,1051.00,1055.00,1047.75,1048.30,1050.095452952514455931,114140,3555,119857895.00,40380,35.38,7.25,-2.70
30-October-2016,1057.00,1065.00,1047.85,1051.20,1052.516639810935653668,46545,2151,48989387.00,18810,40.41,17.15,-5.80
28-October-2016,1050.00,1056.00,1043.95,1053.50,1051.789087244457241577,145866,4271,153420267.00,35545,24.37,12.05,3.50
27-October-2016,1053.00,1054.00,1043.20,1048.50,1048.890087233593914734,128047,4318,134307229.00,36328,28.37,10.80,-4.50
26-October-2016,1058.00,1059.20,1052.00,1054.15,1054.568293410023498053,114052,4241,120275623.00,37893,33.22,7.20,-3.85
25-October-2016,1063.20,1065.40,1054.50,1059.90,1059.259610915968657119,185050,4401,196015991.00,52798,28.53,10.90,-3.30
24-October-2016,1068.00,1074.00,1060.50,1063.55,1067.930739506622238400,142852,4242,152556042.00,36734,25.71,13.50,-4.45
21-October-2016,1099.00,1099.00,1059.00,1064.40,1070.150071559132957297,700819,21002,749981503.00,241003,34.39,40.00,-34.60
20-October-2016,1091.95,1097.80,1085.10,1088.50,1090.611551702786377708,201875,6132,220167207.00,41824,20.72,12.70,-3.45
19-October-2016,1083.15,1094.50,1081.40,1086.90,1089.879783314803915157,458730,10452,499960553.00,288393,62.87,13.10,3.75
18-October-2016,1064.00,1082.00,1062.80,1079.30,1075.201289262466030461,189876,6704,204154920.00,66338,34.94,19.20,15.30
17-October-2016,1079.00,1080.65,1058.00,1060.15,1066.696385574703073454,222193,5172,237012470.00,69795,31.41,22.65,-18.85
14-October-2016,1060.50,1081.95,1058.00,1078.20,1075.380281788770465399,285604,6527,307132910.00,135094,47.30,23.95,17.70
13-October-2016,1093.70,1093.70,1052.05,1057.70,1074.759579848278545030,580933,10799,624363307.00,397800,68.48,41.65,-36.00
10-October-2016,1115.00,1122.00,1092.80,1095.95,1104.403291000122115032,163780,5007,180879171.00,60781,37.11,29.20,-19.05
7-October-2016,1111.10,1122.65,1107.55,1109.95,1113.067286182513495654,455517,9236,507021071.00,252806,55.50,15.10,-1.15
6-October-2016,1092.00,1124.80,1092.00,1111.10,1113.469485682731123381,1709509,15966,1903486107.00,1079496,63.15,32.80,19.10
