Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,379.60,384.55,378.75,380.45,382.138405554626066588,47816,1691,18272330.00,18477,38.64,5.80,0.85
29-December-2016,375.65,378.95,374.00,377.45,376.924601992519776255,90639,3746,34164069.00,40845,45.06,4.95,1.80
28-December-2016,369.40,376.00,368.80,374.65,373.829530006241503432,116959,3304,43722728.00,46130,39.44,7.20,5.25
27-December-2016,360.85,367.35,354.00,366.10,362.007989756722151088,78100,2502,28272824.00,28862,36.96,13.35,5.25
26-December-2016,366.00,366.05,356.60,358.05,359.554367201426024955,71808,2545,25818880.00,31934,44.47,9.45,-7.95
23-December-2016,363.00,369.75,362.10,367.00,366.808255558084831929,39537,1183,14502498.00,12982,32.84,7.65,4.00
22-December-2016,371.10,371.40,362.00,362.90,365.681880430404511191,86895,1948,31775927.00,51021,58.72,9.40,-8.20
21-December-2016,372.00,374.50,370.50,371.45,372.506058521614900259,37798,1004,14079984.00,12178,32.22,4.00,-0.55
20-December-2016,375.00,376.85,370.10,371.20,372.798468772606703641,49764,2612,18551943.00,22147,44.50,6.75,-3.80
19-December-2016,373.95,376.50,371.55,374.40,374.814741828894462359,50238,1526,18829943.00,25147,50.06,4.95,0.45
16-December-2016,376.05,376.05,371.00,371.85,373.497017228671457527,86832,2830,32431493.00,32894,37.88,5.05,-4.20
15-December-2016,382.90,384.00,375.10,376.10,379.675081850576722479,165851,4512,62969492.00,67943,40.97,8.90,-6.80
14-December-2016,391.70,391.90,383.30,383.90,387.382779552151894266,113342,2075,43906739.00,44176,38.98,8.60,-7.80
13-December-2016,394.95,397.00,388.55,390.05,391.468012953684467799,32732,1335,12813531.00,12942,39.54,8.45,-4.90
12-December-2016,403.00,404.00,392.00,393.40,394.856554137969967257,53142,1983,20983467.00,22039,41.47,12.00,-9.60
9-December-2016,404.85,408.95,401.25,402.25,404.813035193645400491,43559,1543,17633251.00,17204,39.50,7.70,-2.60
8-December-2016,400.50,406.25,400.05,403.05,403.595472209905844917,38341,1259,15474254.00,11256,29.36,6.20,2.55
7-December-2016,398.40,401.50,395.80,398.60,398.542100283822138126,27482,1297,10952734.00,10490,38.17,5.70,0.20
6-December-2016,398.25,402.00,396.00,397.80,398.923758331541603956,23255,1369,9276972.00,7106,30.56,6.00,-0.45
5-December-2016,394.85,400.90,391.15,398.65,397.845045444469075592,31577,1780,12562753.00,13361,42.31,9.75,3.80
2-December-2016,397.90,397.90,390.30,392.45,392.859898425075668188,38986,1479,15316036.00,12477,32.00,7.60,-5.45
1-December-2016,407.25,408.00,396.40,397.35,399.771945167588675561,49168,2007,19655987.00,26714,54.33,11.60,-9.90
30-November-2016,402.50,411.00,402.50,407.50,407.258198562443845462,80136,2513,32636043.00,30881,38.54,8.50,5.00
29-November-2016,396.75,405.50,395.80,401.45,401.862372453903264408,77717,3410,31231538.00,21984,28.29,9.70,4.70
28-November-2016,398.00,399.15,393.50,395.20,396.413757183908045977,167040,3656,66216954.00,114934,68.81,5.65,-2.80
25-November-2016,387.70,399.90,385.90,398.05,393.273965593539108308,72312,2737,28438427.00,11842,16.38,14.00,10.35
24-November-2016,393.00,393.00,383.20,386.35,388.330948605204353780,55492,1797,21549261.00,22296,40.18,9.80,-6.65
23-November-2016,388.10,395.20,386.80,393.30,391.606564473917235679,50819,1315,19901054.00,17310,34.06,8.40,5.20
22-November-2016,389.30,392.00,383.00,386.10,386.126252017420783286,246602,1794,95219506.00,230281,93.38,9.00,-3.20
21-November-2016,392.00,393.40,382.55,384.85,387.432443510785469078,78068,1768,30246076.00,24650,31.58,10.85,-7.15
18-November-2016,402.05,402.10,388.15,390.00,394.781172619297435682,166789,2104,65845157.00,115486,69.24,13.95,-12.05
17-November-2016,398.00,403.80,392.95,400.35,399.511301996096931327,65077,2825,25998997.00,15597,23.97,10.85,2.35
16-November-2016,405.35,409.00,395.45,398.00,400.091787069748110555,91429,3747,36579992.00,27122,29.66,13.55,-7.35
15-November-2016,417.50,420.00,393.90,403.50,403.911216294750698436,142819,3744,57686196.00,45021,31.52,26.10,-14.00
11-November-2016,421.00,429.70,417.55,419.70,422.407551369578578428,60201,1821,25429357.00,15089,25.06,12.15,-1.30
10-November-2016,436.85,445.80,429.80,432.20,438.950483691133725614,155161,3739,68107996.00,52898,34.09,16.00,-4.65
9-November-2016,418.00,437.75,397.35,434.65,419.647511294441170693,254550,10022,106821274.00,62082,24.39,40.40,16.65
8-November-2016,435.35,438.85,429.90,434.65,434.303220392321409839,47665,2125,20701063.00,16106,33.79,8.95,-0.70
7-November-2016,438.85,439.90,432.25,434.30,436.036990985390115013,45038,1344,19638234.00,18546,41.18,7.65,-4.55
4-November-2016,432.90,436.75,420.55,429.40,425.825460307220197722,458824,3812,195378941.00,379522,82.72,16.20,-3.50
3-November-2016,435.00,440.85,431.05,433.35,435.578695009389858952,50054,1942,21802456.00,18630,37.22,9.80,-1.65
2-November-2016,448.05,448.05,432.65,435.05,438.951974834573319162,233336,4631,102423298.00,168474,72.20,15.40,-13.00
1-November-2016,459.10,459.50,449.15,451.50,453.639813820264948084,72618,2693,32942416.00,37906,52.20,10.35,-7.60
30-October-2016,464.95,464.95,456.00,457.45,457.812326204560392335,19779,529,9055070.00,6335,32.03,8.95,-7.50
28-October-2016,450.00,462.70,443.85,458.30,454.016988303479557338,333347,6775,151345201.00,102450,30.73,18.85,8.30
27-October-2016,470.50,471.05,456.45,457.50,461.701954900489828339,90644,2716,41850512.00,31309,34.54,14.60,-13.00
26-October-2016,466.45,472.80,465.25,470.15,470.180447869010353960,41530,1372,19526594.00,12121,29.19,7.55,3.70
25-October-2016,468.85,471.10,465.60,468.05,468.251116774918468579,36489,1325,17086015.00,8761,24.01,5.50,-0.80
24-October-2016,468.00,472.50,466.00,467.30,469.404484863585399277,40135,1432,18839549.00,9790,24.39,6.50,-0.70
21-October-2016,471.95,473.10,464.05,467.15,467.808393099437875557,41272,1599,19307388.00,12067,29.24,9.05,-4.80
20-October-2016,471.00,478.00,470.00,472.40,473.947769873684779962,73942,1962,35044646.00,24113,32.61,8.00,1.40
19-October-2016,474.00,474.60,468.40,469.45,470.666590625461279370,74521,1797,35074545.00,29517,39.61,6.20,-4.55
18-October-2016,465.00,475.60,464.25,472.70,471.334760788961009812,111387,1849,52500565.00,49473,44.42,11.35,7.70
17-October-2016,467.00,469.80,461.55,463.05,464.969050592325086908,59258,1570,27553136.00,11410,19.25,8.25,-3.95
14-October-2016,467.00,473.00,462.30,467.30,467.878744357816988100,73110,1374,34206615.00,20923,28.62,10.70,0.30
13-October-2016,478.00,478.00,463.00,466.10,468.660560657322377960,103450,1794,48482935.00,13753,13.29,15.00,-11.90
10-October-2016,485.90,485.90,472.70,473.55,477.027519954674976254,120022,2110,57253797.00,59243,49.36,13.20,-12.35
7-October-2016,483.90,486.00,473.40,481.35,478.701322991545443692,276419,2597,132322141.00,171839,62.17,12.60,-2.55
6-October-2016,487.95,490.50,469.70,473.60,480.985771342985521717,280420,3932,134878030.00,138275,49.31,20.80,-14.35
5-October-2016,481.40,495.00,481.40,486.65,488.803182785861322729,227348,3363,111128426.00,58714,25.83,13.60,5.25
5-October-2016,481.40,495.00,481.40,486.65,488.803182785861322729,227348,3363,111128426.00,58714,25.83,13.60,5.25
4-October-2016,488.05,489.95,481.55,484.20,484.859705065419194503,109448,2061,53066925.00,16131,14.74,8.40,-3.85
3-October-2016,475.00,490.00,475.00,486.80,484.661504872715492805,296344,5317,143626529.00,60997,20.58,15.00,11.80
30-September-2016,464.90,477.00,456.30,474.70,468.098070486934933928,254572,4767,119164662.00,60995,23.96,20.70,9.80
29-September-2016,477.00,478.80,453.30,456.20,465.270700704299824453,378248,5651,175987712.00,117021,30.94,25.50,-20.80
28-September-2016,473.60,479.25,472.40,473.90,475.704078745922918192,120184,2140,57172019.00,31271,26.02,6.85,0.30
27-September-2016,469.00,478.10,468.40,471.25,474.240755975250080953,228526,3681,108376343.00,45540,19.93,9.70,2.25
26-September-2016,471.90,483.50,465.40,467.00,475.879347483915237990,282721,5411,134541085.00,50535,17.87,18.10,-4.90
23-September-2016,470.00,478.00,466.00,471.85,472.920898276987522365,212941,4001,100704249.00,37786,17.74,12.00,1.85
22-September-2016,464.00,475.60,459.25,470.75,469.338523206826091518,562313,8886,263915153.00,78082,13.89,16.35,6.75
21-September-2016,462.00,464.60,455.00,457.60,459.859902603090074624,428145,6597,196886718.00,65176,15.22,9.60,-4.40
20-September-2016,432.00,469.75,426.10,459.60,438.934976034008537119,59454248,98131,26096548921.00,42310932,71.17,43.65,27.60
19-September-2016,442.50,442.70,420.50,422.45,427.846068211068211068,310800,6387,132974558.00,96951,31.19,22.20,-20.05
16-September-2016,445.00,448.05,438.50,442.15,442.444675921600866949,107042,2497,47360163.00,32738,30.58,9.55,-2.85
15-September-2016,442.00,447.90,436.50,439.50,440.532128796400449943,99568,2443,43862903.00,17898,17.98,11.40,-2.50
14-September-2016,463.05,464.00,440.10,444.75,447.825433164874383256,233687,4030,104650982.00,97939,41.91,23.90,-18.30
12-September-2016,469.55,472.10,456.25,463.30,465.624358506627751428,82230,2456,38288291.00,27936,33.97,15.85,-6.25
9-September-2016,471.35,478.40,464.50,470.40,472.492397281593691637,385520,2882,182155269.00,282585,73.30,13.90,-0.95
8-September-2016,467.20,471.40,463.55,470.05,468.691069375239555385,57398,1490,26901930.00,19608,34.16,7.85,2.85
7-September-2016,474.00,474.00,465.40,467.20,469.700250504063053705,81835,1825,38437920.00,27153,33.18,8.60,-6.80
6-September-2016,465.00,474.90,463.00,472.00,470.703759084185478165,124392,2828,58551782.00,39011,31.36,11.90,7.00
2-September-2016,465.00,470.50,457.90,459.95,462.405975828552276177,202884,4705,93814774.00,91778,45.24,12.60,-5.05
1-September-2016,447.00,474.35,447.00,463.20,463.353692696738496120,462670,11487,214379853.00,85900,18.57,27.35,16.20
31-August-2016,427.00,451.25,427.00,447.90,442.635046232450885085,353864,8107,156632608.00,148028,41.83,24.25,20.90
30-August-2016,426.80,430.00,425.40,426.90,427.710787867072601040,62079,1445,26551858.00,19843,31.96,4.60,0.10
29-August-2016,430.00,430.00,424.65,425.80,427.362726088556115701,100569,2467,42979442.00,29290,29.12,5.35,-4.20
26-August-2016,426.00,436.65,421.95,426.70,428.383889072747043448,296122,4621,126853894.00,126571,42.74,14.70,0.70
25-August-2016,427.00,435.00,424.30,426.00,428.809636198922424069,796974,6321,341750131.00,84417,10.59,10.70,-1.00
24-August-2016,403.70,429.10,402.55,426.15,419.818150628025214253,836511,18568,351182501.00,104641,12.51,26.55,22.45
23-August-2016,414.00,419.50,411.20,417.10,416.558877294538807220,157548,3912,65628018.00,27810,17.65,8.30,3.10
22-August-2016,403.15,425.00,403.15,417.70,416.520245098039215686,306000,6879,127455195.00,97729,31.94,21.85,14.55
19-August-2016,402.00,410.60,397.10,406.25,405.144882224829269590,338399,6086,137100623.00,91441,27.02,13.50,4.25
18-August-2016,414.00,417.25,403.15,405.30,407.692727914125888222,198430,4865,80898468.00,78010,39.31,14.10,-8.70
17-August-2016,416.80,418.00,411.15,412.10,414.868019964492680802,59706,1804,24770110.00,14717,24.65,6.85,-4.70
16-August-2016,408.00,417.75,390.10,414.05,408.885985877156385755,644771,9604,263637826.00,315980,49.01,27.65,6.05
12-August-2016,407.95,410.30,404.05,406.95,407.119351363610591370,52911,2348,21541092.00,20089,37.97,6.25,-1.00
11-August-2016,408.50,408.70,402.00,405.65,405.091238806166994183,75823,2858,30715233.00,30144,39.76,6.70,-2.85
10-August-2016,420.10,423.00,400.70,405.05,410.214427225767243998,164550,4414,67500784.00,52318,31.79,22.30,-15.05
9-August-2016,425.00,425.00,415.60,418.50,418.830756545042259327,53361,1688,22349228.00,17737,33.24,9.40,-6.50
8-August-2016,425.00,425.00,415.55,417.00,418.851633708748035620,305440,2133,127934043.00,236908,77.56,9.45,-8.00
5-August-2016,421.95,428.45,415.00,421.45,421.837655675567841773,210534,5154,88811169.00,58257,27.67,13.45,-0.50
4-August-2016,435.85,435.85,421.20,423.90,425.905609657131263948,78864,1881,33588620.00,23162,29.37,14.65,-11.95
3-August-2016,430.00,437.80,426.40,428.20,431.056985402516363870,186539,3043,80408939.00,36099,19.35,11.40,-1.80
2-August-2016,444.00,444.00,425.30,428.95,431.290299010791366906,124544,3431,53714619.00,35056,28.15,18.70,-15.05
1-August-2016,447.00,449.85,437.45,440.25,441.741900361945678721,203898,3149,90070290.00,25508,12.51,12.40,-6.75
29-July-2016,436.50,446.10,435.55,441.80,442.340222152477382203,146566,3746,64832037.00,35903,24.50,10.55,5.30
28-July-2016,422.40,453.40,417.50,435.80,435.248647998287438454,639977,13534,278549124.00,203753,31.84,35.90,13.40
27-July-2016,412.90,423.50,412.15,419.40,418.374301861518108702,180659,4226,75583083.00,52736,29.19,11.35,6.50
26-July-2016,415.55,418.00,408.50,411.05,414.710562723207104018,62162,2283,25779238.00,25730,41.39,9.50,-4.50
25-July-2016,414.35,415.95,410.70,412.00,413.223449848621869225,50866,1395,21019024.00,18277,35.93,5.25,-2.35
22-July-2016,415.00,417.25,412.00,414.15,414.742632772020725388,37056,1550,15368703.00,12541,33.84,5.25,-0.85
21-July-2016,417.00,419.70,410.15,411.25,415.927538709028755278,99460,2867,41368153.00,32287,32.46,9.55,-5.75
20-July-2016,410.00,416.15,410.00,413.75,414.640520679788433191,184528,2096,76512786.00,111590,60.47,6.15,3.75
19-July-2016,409.50,413.00,405.65,408.15,409.361006199672201239,98231,2751,40211941.00,28567,29.08,7.35,-1.35
18-July-2016,402.15,413.50,401.80,405.25,407.981083267808507971,87753,2583,35801564.00,21395,24.38,11.70,3.10
15-July-2016,405.65,406.00,400.10,401.75,401.926258029978586723,37360,2090,15015965.00,15421,41.28,5.90,-3.90
14-July-2016,401.35,406.50,401.30,402.20,403.575002904837522754,51638,1659,20839806.00,17110,33.13,5.20,0.85
13-July-2016,406.80,409.60,400.10,401.85,404.996623316482074634,51826,2455,20989355.00,11959,23.08,9.50,-4.95
12-July-2016,403.40,412.40,403.15,404.85,406.642673385492640233,75410,2038,30664924.00,30758,40.79,9.25,1.45
11-July-2016,402.55,405.35,401.00,401.90,402.110438112570854423,738486,2577,296952929.00,644508,87.27,4.35,-0.65
8-July-2016,406.00,406.00,398.50,400.50,401.066581312736450500,190579,1575,76434868.00,158569,83.20,7.50,-5.50
7-July-2016,405.35,410.20,404.00,405.20,408.008506748857476883,235225,4439,95973801.00,148637,63.19,6.20,-0.15
5-July-2016,400.00,406.20,394.90,403.10,400.749764663655264423,147661,4177,59175111.00,60915,41.25,11.30,3.10
4-July-2016,395.00,402.60,395.00,399.05,399.130834523769974419,120404,2719,48056949.00,46981,39.02,7.60,4.05
1-July-2016,379.45,396.50,379.35,393.55,389.255178874743901798,114214,3411,44458391.00,51817,45.37,17.15,14.10
30-June-2016,380.80,383.20,377.35,379.10,380.730634036744899561,82787,2447,31519547.00,34763,41.99,5.85,-1.70
29-June-2016,374.85,379.50,374.85,378.15,378.358034553223109790,53830,1077,20367013.00,26517,49.26,4.65,3.30
28-June-2016,373.85,376.95,373.00,374.90,375.087537045702698486,32055,1225,12023431.00,13417,41.86,3.95,1.05
27-June-2016,371.80,375.90,370.00,373.40,373.040757749712973593,76648,2277,28592828.00,31456,41.04,5.90,1.60
24-June-2016,368.25,371.00,361.60,369.95,366.428231422442923045,170165,3058,62353260.00,81015,47.61,9.40,1.70
23-June-2016,374.35,378.40,373.50,374.15,375.126871667518807976,27382,956,10271724.00,11667,42.61,4.90,-0.20
22-June-2016,375.75,381.60,374.20,374.95,377.608725081333653573,45799,1400,17294102.00,11269,24.61,7.40,-0.80
21-June-2016,375.50,377.40,373.75,376.55,376.414626647707620767,26021,810,9794685.00,11161,42.89,3.65,1.05
20-June-2016,370.20,375.60,370.20,373.70,373.187002980643489120,84881,1091,31676486.00,64811,76.36,5.40,3.50
17-June-2016,373.60,379.50,373.00,373.70,375.839013857714453010,81976,2679,30809779.00,21116,25.76,6.50,0.10
16-June-2016,376.80,376.80,371.05,374.80,373.777904311173556163,67615,1621,25272993.00,27454,40.60,5.75,-2.00
15-June-2016,374.55,378.60,372.40,375.95,375.930788524017652101,94493,2219,35522828.00,32817,34.73,6.20,1.40
14-June-2016,383.10,383.70,374.05,375.30,376.466885778362075632,517240,2809,194723732.00,429989,83.13,9.65,-7.80
13-June-2016,384.75,384.75,380.80,382.20,382.470261668384600083,55299,1488,21150223.00,19126,34.59,3.95,-2.55
10-June-2016,390.00,390.05,383.90,384.40,386.909525933040614709,58304,1280,22558373.00,25382,43.53,6.15,-5.60
9-June-2016,389.90,391.50,383.75,388.25,388.180712924526908247,67693,1735,26277117.00,26488,39.13,7.75,-1.65
8-June-2016,386.90,389.75,381.20,387.65,385.819788678438429877,56123,1593,21653364.00,18274,32.56,8.55,0.75
7-June-2016,388.75,390.60,383.15,384.80,386.972272457593801153,139897,3963,54136260.00,83074,59.38,7.45,-3.95
6-June-2016,380.00,388.00,379.50,384.85,385.215980831037649219,139392,4464,53696026.00,49915,35.81,8.50,4.85
3-June-2016,378.00,384.90,376.80,379.50,380.647285755546080952,145418,3007,55352967.00,55744,38.33,8.10,1.50
2-June-2016,375.00,376.90,371.60,372.90,373.210913778592203530,93863,1545,35030696.00,41686,44.41,5.30,-2.10
1-June-2016,377.00,377.00,371.70,374.00,373.553002816632453334,83788,2300,31299259.00,34892,41.64,5.30,-3.00
31-May-2016,376.20,379.45,373.25,374.25,376.693838674239768132,85566,1953,32232185.00,27196,31.78,6.20,-1.95
30-May-2016,379.80,379.80,373.25,376.20,375.730458959363401038,73013,1855,27433208.00,27052,37.05,6.55,-3.60
27-May-2016,376.95,382.70,375.35,376.55,378.551081533581807015,118859,2585,44994203.00,49546,41.68,7.35,-0.40
26-May-2016,373.50,379.00,369.35,376.25,373.571029080400751940,235657,4254,88034628.00,72172,30.63,9.65,2.75
25-May-2016,367.00,374.45,366.35,372.40,371.935277263597337639,203128,2286,75550469.00,101301,49.87,8.10,5.40
24-May-2016,374.50,374.50,363.75,365.75,367.845928316267272715,159283,3525,58591603.00,73514,46.15,10.75,-8.75
23-May-2016,378.90,378.90,369.00,370.40,371.490967540295575300,111985,2600,41601416.00,51312,45.82,9.90,-8.50
20-May-2016,378.05,380.80,372.50,373.90,375.600177014481291075,265515,4225,99727481.00,102021,38.42,8.30,-4.15
19-May-2016,373.00,381.00,364.40,372.85,366.626840150326765071,67960752,62119,24916235760.00,56888609,83.71,16.60,-0.15
18-May-2016,395.00,400.60,384.10,385.25,393.679308400863257181,402661,6806,158519304.00,198161,49.21,16.50,-9.75
17-May-2016,414.10,418.30,395.10,396.55,401.431717993891508889,129983,3895,52179299.00,45341,34.88,23.20,-17.55
16-May-2016,423.60,424.00,412.50,415.25,416.747330624586601152,42332,1567,17641748.00,14002,33.08,11.50,-8.35
13-May-2016,426.40,432.65,421.85,423.55,426.751580653877330451,37010,1208,15794076.00,8936,24.14,10.80,-2.85
12-May-2016,426.00,429.30,423.60,427.70,426.734621119928697530,58343,1882,24896978.00,17508,30.01,5.70,1.70
11-May-2016,420.30,429.30,418.85,423.55,424.430003523043909938,62446,1907,26503956.00,18420,29.50,10.45,3.25
10-May-2016,422.00,429.35,418.00,424.80,424.823146124523506988,98375,2904,41791977.00,31923,32.45,11.35,2.80
9-May-2016,415.15,421.60,411.10,420.30,417.497595632240226787,142865,2615,59645794.00,68450,47.91,10.50,5.15
6-May-2016,414.20,419.00,405.75,413.10,413.411667475161249752,222636,6357,92040320.00,36507,16.40,13.25,-1.10
5-May-2016,394.95,414.05,386.85,411.55,402.327256980083716038,511491,12151,205786771.00,84787,16.58,27.20,16.60
4-May-2016,397.00,400.50,386.55,388.60,395.402201275196148687,54423,1621,21518974.00,18170,33.39,13.95,-8.40
3-May-2016,395.85,401.10,394.90,396.80,398.042309076964014588,63887,1753,25429729.00,16233,25.41,6.20,0.95
2-May-2016,396.40,398.80,391.60,394.85,395.244577412116679132,34762,1028,13739492.00,9975,28.70,7.20,-1.55
29-April-2016,388.00,398.00,388.00,396.35,394.785040758136838493,84523,2066,33368416.00,25963,30.72,10.00,8.35
28-April-2016,390.95,395.75,386.55,389.70,390.015972307398776183,73377,1399,28618202.00,40524,55.23,9.20,-1.25
27-April-2016,390.00,397.80,388.00,389.40,392.385756716619414067,74070,2587,29064013.00,25168,33.98,9.80,-0.60
26-April-2016,397.95,398.00,392.00,395.05,396.158409453035497166,227821,1977,90253205.00,177059,77.72,6.00,-2.90
25-April-2016,396.90,400.90,392.90,395.45,396.950947294433380547,93899,2892,37273297.00,28766,30.64,8.00,-1.45
22-April-2016,384.95,395.90,381.70,393.20,389.073724695996660182,112581,3470,43802309.00,36169,32.13,14.20,8.25
21-April-2016,379.70,385.15,377.45,383.35,378.482076065658655798,509849,2393,192968708.00,467143,91.62,7.70,3.65
20-April-2016,379.00,381.50,376.50,377.50,377.566493844202956708,62299,2980,23522015.00,35120,56.37,5.00,-1.50
18-April-2016,382.00,382.10,378.00,378.95,379.508880469917625386,28771,1008,10918850.00,12916,44.89,4.10,-3.05
13-April-2016,383.05,387.40,379.00,380.45,383.217834685433160655,61386,2361,23524210.00,24497,39.91,8.40,-2.60
