Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,3.06,3.12,3.02,3.06,3.068483356006097061,488104,311,1497739.00,351458,72.00,0.10,0.00
29-December-2016,3.15,3.18,2.98,3.00,3.042632581619372958,520189,545,1582744.00,343038,65.94,0.20,-0.15
28-December-2016,3.27,3.28,3.13,3.15,3.192419143765189755,235356,195,751355.00,148014,62.89,0.15,-0.12
27-December-2016,3.20,3.27,3.15,3.24,3.209923870786090986,92343,138,296414.00,60727,65.76,0.12,0.04
26-December-2016,3.24,3.30,3.12,3.16,3.214069900164756557,193619,156,622305.00,115359,59.58,0.18,-0.08
23-December-2016,3.19,3.36,3.17,3.26,3.282190890252326195,196888,202,646224.00,112236,57.00,0.19,0.07
22-December-2016,3.27,3.30,3.18,3.21,3.219469026548672566,86445,123,278307.00,62619,72.44,0.12,-0.06
21-December-2016,3.25,3.35,3.24,3.26,3.279297115369180306,373774,245,1225716.00,237068,63.43,0.11,0.01
20-December-2016,3.35,3.38,3.25,3.27,3.293690403733008723,246450,149,811730.00,144165,58.50,0.13,-0.08
19-December-2016,3.30,3.35,3.28,3.31,3.306493036119982878,121484,155,401686.00,69639,57.32,0.07,0.01
16-December-2016,3.29,3.35,3.23,3.27,3.284730685499411476,96003,147,315344.00,67557,70.37,0.12,-0.02
15-December-2016,3.20,3.36,3.20,3.28,3.287807644461789887,163988,194,539161.00,111985,68.29,0.16,0.08
14-December-2016,3.31,3.37,3.27,3.29,3.296985904969728595,168641,228,556007.00,108645,64.42,0.10,-0.02
13-December-2016,3.35,3.40,3.30,3.33,3.344026198315993283,167339,249,559586.00,130515,77.99,0.10,-0.02
12-December-2016,3.36,3.50,3.32,3.38,3.408314556415307339,437594,380,1491458.00,177605,40.59,0.18,0.02
9-December-2016,3.42,3.46,3.35,3.39,3.400240085991583913,382363,295,1300126.00,218241,57.08,0.11,-0.03
8-December-2016,3.41,3.49,3.35,3.38,3.432168404569557635,393386,258,1350167.00,200018,50.85,0.14,-0.03
7-December-2016,3.40,3.47,3.33,3.36,3.414440633843498862,136753,138,466935.00,83661,61.18,0.14,-0.04
6-December-2016,3.57,3.57,3.30,3.41,3.421350799928689807,302902,344,1036334.00,146563,48.39,0.27,-0.16
5-December-2016,3.44,3.55,3.35,3.47,3.452611732094965530,222228,254,767267.00,122703,55.21,0.20,0.03
2-December-2016,3.50,3.50,3.33,3.36,3.391498043134315929,216162,208,733113.00,117019,54.13,0.17,-0.14
1-December-2016,3.55,3.60,3.45,3.49,3.522445176533226847,180306,198,635118.00,111725,61.96,0.15,-0.06
30-November-2016,3.50,3.55,3.45,3.50,3.495343333128419499,325340,204,1137175.00,251889,77.42,0.10,0.00
29-November-2016,3.69,3.69,3.43,3.47,3.501763115684175675,311097,302,1089388.00,174640,56.14,0.26,-0.22
28-November-2016,3.58,3.60,3.43,3.58,3.530337370977990583,199869,191,705605.00,108739,54.41,0.17,0.00
25-November-2016,3.25,3.70,3.24,3.57,3.454582495921406431,618473,598,2136566.00,404650,65.43,0.46,0.32
24-November-2016,3.15,3.22,3.11,3.17,3.173065355816895857,192852,221,611932.00,112454,58.31,0.11,0.02
23-November-2016,3.15,3.24,3.02,3.14,3.126800219754346034,509660,396,1593605.00,298631,58.59,0.22,-0.01
22-November-2016,3.25,3.30,3.05,3.13,3.169086081540484875,523887,494,1660243.00,343600,65.59,0.25,-0.12
21-November-2016,3.40,3.40,3.20,3.21,3.252586986209151583,207964,242,676421.00,129980,62.50,0.20,-0.19
18-November-2016,3.40,3.42,3.22,3.33,3.312220277855684111,506306,475,1676997.00,264258,52.19,0.20,-0.07
17-November-2016,3.45,3.55,3.35,3.38,3.427796346321139141,305774,300,1048131.00,136766,44.73,0.20,-0.07
16-November-2016,3.49,3.59,3.37,3.45,3.498577223840846806,323663,355,1132360.00,152643,47.16,0.22,-0.04
15-November-2016,3.68,3.68,3.40,3.44,3.483507637462155473,452179,270,1575169.00,245450,54.28,0.28,-0.24
11-November-2016,3.68,3.78,3.61,3.69,3.707738625219657469,553703,270,2052986.00,289845,52.35,0.17,0.01
10-November-2016,3.75,3.92,3.68,3.71,3.805141490382188115,633824,381,2411790.00,287591,45.37,0.24,-0.04
9-November-2016,3.50,3.77,3.22,3.72,3.589900894324231333,1217791,1016,4371749.00,632401,51.93,0.55,0.22
8-November-2016,3.95,4.08,3.90,3.96,3.952689720253527840,616737,605,2437770.00,283202,45.92,0.18,0.01
7-November-2016,3.65,4.00,3.65,3.92,3.886565119551842056,1176728,894,4573430.00,573055,48.70,0.35,0.27
4-November-2016,3.81,3.81,3.62,3.65,3.680068736839557567,619755,586,2280741.00,346636,55.93,0.19,-0.16
3-November-2016,3.98,4.01,3.76,3.81,3.851332541490673830,832657,772,3206839.00,422042,50.69,0.25,-0.17
2-November-2016,4.04,4.06,3.95,3.98,4.001267948863220733,697189,362,2789640.00,417677,59.91,0.11,-0.06
1-November-2016,4.15,4.25,4.05,4.09,4.131036648448909623,929862,624,3841294.00,549661,59.11,0.20,-0.06
30-October-2016,4.10,4.19,4.09,4.13,4.134961595413964201,461924,330,1910038.00,350969,75.98,0.10,0.03
28-October-2016,4.05,4.19,4.03,4.07,4.083423835960611095,493540,338,2015333.00,280691,56.87,0.16,0.02
27-October-2016,4.10,4.12,4.01,4.05,4.066059109925992079,394147,402,1602625.00,204293,51.83,0.11,-0.05
26-October-2016,3.96,4.25,3.89,4.12,4.103664243144786379,1312140,955,5384582.00,740248,56.42,0.36,0.16
25-October-2016,3.91,4.09,3.91,4.01,4.001872501481312496,653137,437,2613771.00,392279,60.06,0.18,0.10
24-October-2016,4.18,4.28,3.95,4.01,4.057854998585826155,1831458,1048,7431791.00,1045893,57.11,0.33,-0.17
21-October-2016,3.75,4.40,3.67,4.13,4.142095159938379943,3075622,1994,12739519.00,1390301,45.20,0.73,0.38
20-October-2016,3.70,3.72,3.59,3.67,3.645568918886160814,577534,394,2105440.00,295439,51.16,0.13,-0.03
19-October-2016,3.70,3.70,3.62,3.65,3.666311964409024531,265011,203,971613.00,137054,51.72,0.08,-0.05
18-October-2016,3.60,3.70,3.53,3.63,3.596917628135729530,387948,274,1395417.00,236087,60.86,0.17,0.03
17-October-2016,3.69,3.79,3.40,3.52,3.630134918820032014,655950,483,2381187.00,294059,44.83,0.39,-0.17
14-October-2016,3.74,3.76,3.60,3.69,3.674548521153737919,550801,279,2023945.00,260462,47.29,0.16,-0.05
13-October-2016,3.90,3.90,3.60,3.66,3.709643182047912665,474864,302,1761576.00,331178,69.74,0.30,-0.24
10-October-2016,3.79,4.00,3.75,3.84,3.866178923458906765,1418506,818,5484198.00,706386,49.80,0.25,0.05
7-October-2016,3.63,3.92,3.63,3.74,3.730684832505178107,877251,511,3272747.00,434525,49.53,0.29,0.11
6-October-2016,3.75,3.77,3.50,3.59,3.678475589463174612,474754,315,1746371.00,226148,47.63,0.27,-0.16
5-October-2016,3.83,3.97,3.61,3.66,3.777317380859715754,1192208,1025,4503348.00,559714,46.95,0.36,-0.17
5-October-2016,3.83,3.97,3.61,3.66,3.777317380859715754,1192208,1025,4503348.00,559714,46.95,0.36,-0.17
4-October-2016,3.43,4.00,3.38,3.80,3.785937574398070014,3024272,2427,11449705.00,1505119,49.77,0.62,0.37
3-October-2016,3.06,3.39,3.06,3.36,3.301676054734794261,579814,441,1914358.00,366559,63.22,0.33,0.30
30-September-2016,3.12,3.21,3.02,3.19,3.171330676137565548,359276,294,1139383.00,282420,78.61,0.19,0.07
29-September-2016,3.40,3.43,3.09,3.12,3.240557822098955917,845144,546,2738738.00,551255,65.23,0.34,-0.28
28-September-2016,3.26,3.44,3.20,3.38,3.318396226415094339,417640,415,1385895.00,246111,58.93,0.24,0.12
27-September-2016,3.32,3.35,3.25,3.26,3.306888636903999853,218708,186,723243.00,152630,69.79,0.10,-0.06
26-September-2016,3.47,3.47,3.29,3.31,3.323939216868787555,320023,239,1063737.00,268830,84.00,0.18,-0.16
23-September-2016,3.45,3.50,3.33,3.37,3.420493189513787170,273769,244,936425.00,148771,54.34,0.17,-0.08
22-September-2016,3.44,3.49,3.35,3.43,3.422729303266974782,472333,388,1616668.00,284662,60.27,0.14,-0.01
21-September-2016,3.36,3.40,3.29,3.34,3.362657388999337309,150900,181,507425.00,76103,50.43,0.11,-0.02
20-September-2016,3.38,3.39,3.27,3.31,3.336613185683552212,324913,229,1084109.00,172268,53.02,0.12,-0.07
19-September-2016,3.42,3.42,3.31,3.37,3.354196683484945956,376178,213,1261775.00,229004,60.88,0.11,-0.05
16-September-2016,3.47,3.48,3.36,3.39,3.435215053763440860,279000,198,958425.00,170277,61.03,0.12,-0.08
15-September-2016,3.53,3.62,3.40,3.44,3.487984451705096931,427571,271,1491361.00,271723,63.55,0.22,-0.09
14-September-2016,3.39,3.60,3.38,3.54,3.497637526916701522,387306,366,1354656.00,237866,61.42,0.22,0.15
12-September-2016,3.31,3.49,3.30,3.35,3.386062638073773235,358504,320,1213917.00,220845,61.60,0.19,0.04
9-September-2016,3.70,3.70,3.45,3.52,3.515443570829947988,312622,320,1099005.00,181230,57.97,0.25,-0.18
8-September-2016,3.58,3.74,3.58,3.65,3.659169555837106442,305451,367,1117697.00,194533,63.69,0.16,0.07
7-September-2016,3.20,3.76,3.18,3.61,3.568825198962857540,855813,774,3054247.00,397586,46.46,0.58,0.41
6-September-2016,3.17,3.26,3.17,3.22,3.214380162796193042,198899,198,639337.00,110588,55.60,0.09,0.05
2-September-2016,3.16,3.20,3.10,3.17,3.148400309974537805,180660,162,568790.00,137045,75.86,0.10,0.01
1-September-2016,3.11,3.21,3.10,3.16,3.152663484672530574,359942,244,1134776.00,181649,50.47,0.11,0.05
31-August-2016,3.15,3.15,3.05,3.13,3.102113336746299981,431687,371,1339142.00,250705,58.08,0.10,-0.02
30-August-2016,3.10,3.20,3.10,3.12,3.145050578034682080,226976,210,713851.00,137627,60.64,0.10,0.02
29-August-2016,3.11,3.17,3.10,3.11,3.124939043112323225,221468,155,692074.00,153841,69.46,0.07,0.00
26-August-2016,3.20,3.20,3.12,3.15,3.163421676930818815,166924,165,528051.00,109977,65.88,0.08,-0.05
