Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,231.70,234.85,229.65,230.25,231.955641205631395597,229357,4361,53200650.00,37635,16.41,5.20,-1.45
29-December-2016,228.55,231.20,227.20,229.75,229.284925260242366858,183771,3110,42135920.00,54556,29.69,4.00,1.20
28-December-2016,229.00,233.50,226.85,227.70,229.602559186439253465,380746,5593,87420256.00,72833,19.13,6.65,-1.30
27-December-2016,220.70,225.20,217.25,224.10,222.094618855683843720,311365,4308,69152491.00,44273,14.22,7.95,3.40
26-December-2016,223.80,225.60,218.00,219.00,221.469854606235059813,381103,4803,84402826.00,47038,12.34,7.60,-4.80
23-December-2016,232.90,233.90,222.20,224.70,229.713717042101812391,298942,5259,68671078.00,64419,21.55,11.70,-8.20
22-December-2016,237.70,238.20,231.30,232.70,233.407585097504827869,248039,4527,57894184.00,56732,22.87,6.90,-5.00
21-December-2016,235.50,243.80,233.60,239.70,238.591653245546198216,563788,8254,134515111.00,68698,12.19,10.20,4.20
20-December-2016,241.70,242.00,231.80,233.40,236.090395167281400289,306908,4644,72458031.00,64357,20.97,10.20,-8.30
19-December-2016,242.10,247.50,238.50,240.45,243.979552328309954633,306832,5820,74860734.00,53820,17.54,9.00,-1.65
16-December-2016,245.50,247.50,237.10,238.80,242.980367285779001289,286970,4457,69728076.00,60641,21.13,10.40,-6.70
15-December-2016,246.50,249.70,242.85,243.80,245.669495007892715746,352857,5498,86686201.00,67120,19.02,6.85,-2.70
14-December-2016,254.65,256.50,248.10,248.70,252.327317939609236234,295575,7107,74581647.00,56505,19.12,8.40,-5.95
13-December-2016,263.00,263.00,253.60,254.65,257.734627716694549728,393907,5850,101523474.00,82800,21.02,9.40,-8.35
12-December-2016,256.50,265.60,256.50,261.85,262.358909420119411181,1041611,15488,273275926.00,157663,15.14,9.10,5.35
