Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,90.60,92.40,90.60,91.75,91.684892488131806757,35810,476,3283236.00,17113,47.79,1.80,1.15
29-December-2016,90.60,91.15,89.95,90.50,90.382828872779743704,29107,594,2630773.00,15688,53.90,1.20,-0.10
28-December-2016,90.70,91.40,90.05,90.90,90.942996385938013361,36524,359,3321602.00,18083,49.51,1.35,0.20
27-December-2016,89.80,91.60,89.05,90.00,90.125212496168101886,35883,471,3233963.00,17364,48.39,2.55,0.20
26-December-2016,91.95,91.95,89.20,89.40,89.964296233957500525,47530,568,4276003.00,29634,62.35,2.75,-2.55
23-December-2016,92.30,92.50,90.75,91.90,91.805065574271651737,65422,560,6006071.00,47276,72.26,1.75,-0.40
22-December-2016,94.80,94.85,91.50,92.40,92.878138453319925839,63646,849,5911322.00,38856,61.05,3.35,-2.40
21-December-2016,93.00,94.35,92.25,93.55,93.516007802573417562,55879,687,5225581.00,20401,36.51,2.10,0.55
20-December-2016,93.50,93.70,91.90,92.20,92.546059389298720702,42836,479,3964303.00,16303,38.06,1.80,-1.30
19-December-2016,93.00,93.65,92.15,92.65,92.819971927826033890,49159,497,4562937.00,23931,48.68,1.50,-0.35
16-December-2016,96.00,96.35,93.75,94.20,94.682851307727781803,91074,1086,8623146.00,28809,31.63,2.60,-1.80
15-December-2016,97.00,97.30,95.70,96.05,96.642684522295308354,110068,952,10637267.00,45813,41.62,1.60,-0.95
14-December-2016,99.60,99.75,97.00,97.35,97.939950701014476233,140368,1666,13747635.00,58533,41.70,2.75,-2.25
13-December-2016,103.00,104.30,100.50,101.05,101.904787672644815501,116424,1149,11864163.00,72818,62.55,3.80,-1.95
12-December-2016,101.30,105.80,100.50,102.80,103.502375435341069621,214487,2947,22199914.00,66413,30.96,5.30,1.50
9-December-2016,99.90,101.60,99.00,101.30,100.718380674088182753,84529,964,8513624.00,31128,36.83,2.60,1.40
8-December-2016,100.50,101.90,98.60,99.05,99.971601501779102134,193637,1379,19358201.00,100303,51.80,3.30,-1.45
7-December-2016,98.80,100.05,98.60,99.00,99.633466374576118596,66646,645,6640172.00,31535,47.32,1.45,0.20
6-December-2016,101.00,101.30,97.50,98.15,99.359198998748435544,98277,624,9764724.00,56494,57.48,3.80,-2.85
5-December-2016,105.90,105.90,99.00,100.10,100.754521911748405364,99239,1052,9998778.00,41697,42.02,6.90,-5.80
2-December-2016,100.20,102.50,99.20,100.40,100.798194251756043739,183082,1800,18454335.00,30881,16.87,3.30,0.20
1-December-2016,106.90,107.35,100.90,101.35,104.755372966006122120,93105,1026,9753249.00,48376,51.96,6.45,-5.55
30-November-2016,107.50,108.10,101.50,106.15,106.482127762934175370,102925,1088,10959673.00,41592,40.41,6.60,-1.35
29-November-2016,104.95,107.15,103.70,106.65,105.542436399734497159,170243,1423,17967861.00,71916,42.24,3.45,1.70
28-November-2016,104.90,107.25,102.80,103.85,104.968768122720044897,106910,1259,11222211.00,21446,20.06,4.45,-1.05
25-November-2016,103.00,106.00,102.50,105.10,104.137382085001158274,185621,1548,19330085.00,97506,52.53,3.50,2.10
24-November-2016,100.15,104.35,99.55,102.55,101.409151880159523230,222162,2259,22529260.00,72218,32.51,4.80,2.40
23-November-2016,96.25,100.70,95.40,100.00,97.963452376486476347,106628,1365,10445647.00,32918,30.87,5.30,3.75
22-November-2016,93.50,96.45,91.70,95.40,93.322224588562741886,136169,1499,12707594.00,29541,21.69,4.75,1.90
21-November-2016,97.50,97.50,91.05,91.50,93.232980766723737843,115061,1080,10727480.00,36969,32.13,6.45,-6.00
18-November-2016,96.45,98.60,94.50,95.65,96.625814663951120162,117840,1133,11386386.00,28323,24.04,4.10,-0.80
17-November-2016,98.55,105.00,94.00,95.70,97.563668090549471373,126649,1244,12356341.00,35779,28.25,11.00,-2.85
16-November-2016,100.95,101.70,97.05,98.55,99.134170204910467048,108340,1167,10740196.00,19900,18.37,4.65,-2.40
15-November-2016,103.85,104.00,98.20,98.50,99.501701102172449232,112868,1159,11230558.00,52200,46.25,5.80,-5.35
11-November-2016,104.95,108.25,101.25,102.70,105.833523693703317200,243398,2279,25759668.00,82912,34.06,7.00,-2.25
10-November-2016,107.40,110.55,102.00,104.05,107.239187486639285730,219861,2541,23577715.00,77407,35.21,8.55,-3.35
9-November-2016,95.10,105.35,91.65,104.40,101.111221275916965623,319723,2398,32327583.00,80377,25.14,13.70,9.30
8-November-2016,106.00,107.50,104.40,105.05,106.181029341029341029,155925,1412,16556277.00,36466,23.39,3.10,-0.95
7-November-2016,105.00,108.00,104.20,104.80,105.758288121864091701,171601,1563,18148228.00,36064,21.02,3.80,-0.20
4-November-2016,111.00,111.35,101.30,104.05,105.340218072801435561,277522,2893,29234228.00,86322,31.10,10.05,-6.95
3-November-2016,112.60,117.55,109.15,110.45,114.141031699700701452,215838,2118,24635972.00,68567,31.77,8.40,-2.15
2-November-2016,113.85,117.55,112.50,113.45,115.117098991750687442,218200,2331,25118551.00,51571,23.63,5.05,-0.40
1-November-2016,114.00,119.30,112.15,114.90,116.258575484240150556,405429,3950,47134598.00,130337,32.15,7.15,0.90
30-October-2016,112.35,114.15,111.50,113.40,112.728561815035570082,124824,1219,14071230.00,54876,43.96,2.65,1.05
28-October-2016,107.45,114.75,106.40,110.75,111.181854596883195932,446868,5018,49683613.00,122922,27.51,8.35,3.30
27-October-2016,109.90,110.45,105.50,107.90,107.734726180707623435,205957,2096,22188721.00,63266,30.72,4.95,-2.00
26-October-2016,105.25,111.70,104.00,108.90,108.219652830328831610,430798,4388,46620810.00,114512,26.58,7.70,3.65
