Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,373.00,373.00,366.00,367.70,370.081432811185703629,63009,1696,23318461.00,14315,22.72,7.00,-5.30
29-December-2016,367.55,370.00,363.60,365.45,366.472971383771070168,51020,1588,18697451.00,12942,25.37,6.40,-2.10
28-December-2016,359.00,369.40,355.85,366.25,364.734559858784962279,95174,4028,34713247.00,22536,23.68,13.55,7.25
27-December-2016,351.50,359.80,348.55,358.15,354.699078534031413612,95500,2723,33873762.00,26759,28.02,11.25,6.65
26-December-2016,357.90,357.90,343.50,346.15,347.474772642332129064,72243,2032,25102620.00,18952,26.23,14.40,-11.75
23-December-2016,362.15,363.05,356.50,357.90,358.943658206749064377,63594,1352,22826663.00,8967,14.10,6.55,-4.25
22-December-2016,356.95,364.75,351.00,362.15,357.730477772824897677,123385,3137,44138575.00,18604,15.08,13.75,5.20
21-December-2016,374.75,374.75,357.85,359.70,363.607998802857390386,126969,3499,46166944.00,43827,34.52,16.90,-15.05
20-December-2016,388.55,390.45,372.10,372.85,378.877390980381466437,110049,3660,41695078.00,34004,30.90,18.35,-15.70
19-December-2016,378.70,389.90,378.60,387.50,387.287099630084620716,145709,3854,56431216.00,34158,23.44,11.30,8.80
16-December-2016,379.25,380.05,371.40,376.05,375.225858580180990388,71164,2733,26702573.00,26259,36.90,8.65,-3.20
15-December-2016,379.10,381.50,374.00,379.20,378.223990709747933602,58556,2340,22147284.00,11559,19.74,7.50,0.10
14-December-2016,376.30,382.40,371.55,379.70,378.643330782963529711,54894,2555,20785247.00,10517,19.16,10.85,3.40
13-December-2016,378.30,379.60,373.00,376.30,376.361239947236287817,47002,1480,17689731.00,11979,25.49,6.60,-2.00
12-December-2016,388.95,388.95,378.20,380.40,381.294218454045278253,55435,1122,21137045.00,17757,32.03,10.75,-8.55
9-December-2016,384.00,390.00,384.00,386.35,387.906429451129939311,67393,1699,26142178.00,18096,26.85,6.00,2.35
8-December-2016,386.90,391.55,384.70,385.45,387.554432552263354866,83902,1871,32516592.00,22654,27.00,6.85,-1.45
7-December-2016,390.00,394.00,371.20,384.80,388.002978946097178052,248410,4736,96383820.00,37017,14.90,22.80,-5.20
6-December-2016,380.00,387.00,377.25,383.05,383.823687752355316285,94361,3016,36217987.00,25059,26.56,9.75,3.05
5-December-2016,378.50,381.35,374.40,375.85,376.554830711701824980,49206,1626,18528757.00,7761,15.77,6.95,-2.65
2-December-2016,382.00,385.70,376.00,378.05,380.424339152119700748,90225,2184,34323786.00,23031,25.53,9.70,-3.95
1-December-2016,392.90,396.90,379.00,381.50,386.951891211757825652,169283,4457,65504377.00,43968,25.97,17.90,-11.40
30-November-2016,374.00,390.50,371.00,388.55,383.660588646330297335,166008,5221,63690727.00,51883,31.25,19.50,14.55
29-November-2016,375.00,376.70,368.30,370.15,372.232329169728141072,54440,1916,20264328.00,18722,34.39,8.40,-4.85
28-November-2016,378.00,378.00,367.50,370.15,371.735733329448272847,68639,1844,25515569.00,9650,14.06,10.50,-7.85
25-November-2016,372.70,375.85,369.00,372.95,372.936654913383412540,65230,2048,24326658.00,9092,13.94,6.85,0.25
24-November-2016,376.50,378.25,368.75,371.40,374.220095373919244139,89752,2431,33587002.00,25201,28.08,9.50,-5.10
23-November-2016,384.00,384.50,373.00,376.75,378.955889468308155475,186010,4354,70489585.00,24903,13.39,11.50,-7.25
22-November-2016,372.00,379.80,368.50,377.55,375.835877750106836032,135722,4182,51009197.00,30587,22.54,11.30,5.55
21-November-2016,377.00,382.90,365.00,367.15,376.188268291079606459,273822,6632,103008624.00,37322,13.63,17.90,-9.85
18-November-2016,368.00,378.85,363.00,376.45,370.525591723746397243,894801,18175,331546670.00,63090,7.05,15.85,8.45
17-November-2016,356.25,356.80,343.35,347.35,348.319983875986535034,141404,5482,49253839.00,34290,24.25,13.45,-8.90
16-November-2016,363.15,365.80,352.00,352.80,356.197361151015536941,90494,2499,32233724.00,17823,19.70,13.80,-10.35
15-November-2016,368.00,370.80,333.10,359.25,355.146143060197456878,208248,3865,73958474.00,97298,46.72,37.70,-8.75
11-November-2016,390.00,390.00,359.40,361.25,366.794958520537802682,118854,3296,43595048.00,46028,38.73,30.60,-28.75
10-November-2016,367.00,392.30,367.00,388.35,382.508679973506251379,122293,3878,46778134.00,41140,33.64,25.30,21.35
9-November-2016,349.00,368.20,325.80,366.40,352.217409212286133440,216081,5875,76107490.00,50443,23.34,42.40,17.40
8-November-2016,358.00,363.65,354.50,361.65,358.673795591459099304,57933,1722,20779049.00,18286,31.56,9.15,3.65
7-November-2016,363.00,364.95,353.00,356.35,357.031022717069228697,66822,1657,23857527.00,15850,23.72,11.95,-6.65
4-November-2016,356.00,364.30,350.85,360.25,357.295024852510800390,107635,2697,38457450.00,24656,22.91,13.45,4.25
3-November-2016,366.00,369.35,352.05,355.50,362.036721828211189913,57105,1855,20674107.00,14265,24.98,17.30,-10.50
2-November-2016,380.50,380.50,365.00,367.00,372.002310277999802914,91331,3868,33975343.00,26972,29.53,15.50,-13.50
1-November-2016,392.20,394.50,381.00,382.75,388.363181120225760489,72289,2418,28074386.00,24350,33.68,13.50,-9.45
30-October-2016,393.95,393.95,385.45,386.95,387.224482637670992634,14255,447,5519885.00,4688,32.89,8.50,-7.00
28-October-2016,383.65,391.40,381.90,388.05,387.365045051938859449,52273,1842,20248733.00,10168,19.45,9.50,4.40
27-October-2016,382.70,384.90,376.00,380.80,379.695978135874191669,66959,2868,25424063.00,14768,22.06,8.90,-1.90
26-October-2016,383.00,387.10,378.30,383.05,383.385676600999045855,89085,2805,34153913.00,15877,17.82,8.80,0.05
25-October-2016,387.00,387.00,376.60,382.00,381.009866573972566111,74798,2047,28498776.00,11758,15.72,10.40,-5.00
24-October-2016,394.90,394.90,385.35,386.85,389.380576364986164540,74085,1705,28847260.00,14085,19.01,9.55,-8.05
21-October-2016,388.00,393.00,383.40,389.20,388.732312017286110550,133749,4281,51992558.00,20791,15.54,9.60,1.20
20-October-2016,383.55,388.05,376.50,384.65,382.889126514865601543,166929,3784,63915299.00,41255,24.71,11.55,1.10
19-October-2016,400.00,401.65,381.25,383.00,386.130092549110271434,276826,7469,106890849.00,93396,33.74,20.40,-17.00
18-October-2016,406.00,407.65,397.50,400.20,401.667112733333600439,249589,5108,100251693.00,39865,15.97,10.15,-5.80
17-October-2016,403.90,410.85,399.35,402.45,405.070110962740626070,253869,4761,102834744.00,56775,22.36,11.50,-1.45
14-October-2016,385.00,403.80,382.95,400.70,397.838451323761307992,361470,5477,143806665.00,59110,16.35,20.85,15.70
13-October-2016,369.00,384.50,367.95,380.40,380.190907507402891482,206676,4093,78576336.00,63402,30.68,16.55,11.40
10-October-2016,374.00,377.30,364.90,369.45,371.230278623847584783,48919,1222,18160214.00,11626,23.77,12.40,-4.55
7-October-2016,375.00,381.30,371.75,373.20,375.680632438719381553,114351,2219,42959456.00,15647,13.68,9.55,-1.80
6-October-2016,371.40,383.30,370.80,374.00,377.652174817551655557,240342,4044,90765679.00,61684,25.67,12.50,2.60
5-October-2016,368.00,372.55,364.55,369.85,369.280500655765046585,131907,2667,48710683.00,27801,21.08,8.00,1.85
5-October-2016,368.00,372.55,364.55,369.85,369.280500655765046585,131907,2667,48710683.00,27801,21.08,8.00,1.85
4-October-2016,353.10,370.00,352.05,367.80,362.495073666508244068,218824,5357,79322622.00,48444,22.14,17.95,14.70
3-October-2016,348.55,355.60,346.00,353.45,351.899435904763848912,146961,4016,51715493.00,33582,22.85,9.60,4.90
30-September-2016,339.85,351.35,339.55,344.95,346.116107714385634866,82923,2465,28700986.00,14416,17.38,11.80,5.10
29-September-2016,349.00,354.00,333.50,337.55,345.805919219524111239,130997,3008,45299538.00,21216,16.20,20.50,-11.45
28-September-2016,349.75,350.00,345.20,348.40,348.500022673166307674,88210,1975,30741187.00,11140,12.63,4.80,-1.35
27-September-2016,345.00,349.70,344.35,345.95,346.695681901856624414,38026,1814,13183450.00,13290,34.95,5.35,0.95
26-September-2016,344.00,347.25,340.45,344.40,344.055184865374048198,89173,2913,30680433.00,20011,22.44,6.80,0.40
23-September-2016,341.20,346.90,338.90,343.95,343.600591022938176838,55497,1781,19068802.00,22616,40.75,8.00,2.75
22-September-2016,335.00,342.00,335.00,341.10,338.177293441648504061,75705,2312,25601712.00,22024,29.09,7.00,6.10
21-September-2016,335.50,338.00,331.15,334.00,334.924057095922036983,45047,2212,15087324.00,13728,30.47,6.85,-1.50
20-September-2016,337.35,341.40,333.80,334.50,337.181319138318223405,36069,1186,12161793.00,10888,30.19,7.60,-2.85
19-September-2016,333.10,340.00,332.00,339.00,335.424375067829106826,193501,4636,64904952.00,38390,19.84,8.00,5.90
16-September-2016,336.50,343.00,330.05,332.40,337.327497818846440421,314054,5062,105939050.00,62854,20.01,12.95,-4.10
15-September-2016,331.05,337.00,329.45,335.60,333.357912201921325445,252534,4712,84184207.00,19787,7.84,7.55,4.55
14-September-2016,330.00,335.25,326.45,334.20,331.487243166755707004,69257,2382,22957812.00,20284,29.29,8.80,4.20
12-September-2016,345.00,345.00,325.05,329.80,334.961928476904163436,127707,3829,42776983.00,50788,39.77,19.95,-15.20
9-September-2016,351.50,355.35,348.15,350.10,352.458448296191486852,84810,2498,29892001.00,25883,30.52,7.20,-1.40
8-September-2016,348.85,353.30,345.15,351.45,350.119791878792815541,98212,2711,34385965.00,18115,18.44,8.15,2.60
7-September-2016,357.00,357.35,338.65,345.05,342.946206204657094905,374783,5563,128530408.00,197397,52.67,18.70,-11.95
6-September-2016,361.00,366.30,353.65,356.40,358.607215842114203647,194267,4520,69665548.00,54847,28.23,12.65,-4.60
2-September-2016,350.00,358.35,350.00,353.20,354.203608077884488883,121616,1931,43076826.00,64609,53.13,8.35,3.20
1-September-2016,352.00,354.45,346.95,348.90,350.176971712766124350,63739,1470,22319930.00,18769,29.45,7.50,-3.10
31-August-2016,342.50,354.30,341.90,351.35,351.010065321884885583,121705,3226,42719680.00,46585,38.28,12.40,8.85
30-August-2016,338.90,345.00,338.70,343.40,343.013007864183031798,67267,1534,23073456.00,21453,31.89,6.30,4.50
29-August-2016,340.90,340.90,337.20,338.40,338.843358138387534432,48646,1167,16483374.00,16760,34.45,3.70,-2.50
26-August-2016,336.00,341.00,334.25,337.40,338.356588277304494210,98015,2674,33164021.00,38588,39.37,6.75,1.40
25-August-2016,340.00,342.00,335.55,336.35,338.109645403436037563,63678,2887,21530146.00,18927,29.72,6.45,-3.65
24-August-2016,335.00,340.95,335.00,339.35,338.091071190305794446,82441,2052,27872566.00,20321,24.65,5.95,4.35
23-August-2016,333.00,349.00,332.80,334.45,340.633700078701478425,189323,5068,64489794.00,43595,23.03,16.20,1.45
22-August-2016,344.00,344.25,330.00,332.40,335.046976503256595986,117761,3326,39455467.00,45050,38.26,14.25,-11.60
19-August-2016,327.00,345.00,324.55,343.85,339.143915949340753647,192265,4466,65205505.00,42676,22.20,20.45,16.85
18-August-2016,322.80,328.00,321.70,326.80,325.091746658160615996,67403,1431,21912159.00,24931,36.99,6.30,4.00
17-August-2016,321.00,322.90,318.50,320.50,320.653615982374132849,33587,1659,10769793.00,13732,40.88,4.40,-0.50
16-August-2016,315.00,322.50,313.60,320.40,319.317610187123875742,75939,2479,24248660.00,33576,44.21,8.90,5.40
12-August-2016,318.00,322.80,312.50,313.55,314.441965915422598804,52047,1693,16365761.00,19050,36.60,10.30,-4.45
11-August-2016,311.40,321.00,310.40,314.55,316.621325760739441521,179595,4010,56863607.00,35148,19.57,10.60,3.15
10-August-2016,312.00,314.70,307.95,309.95,310.738009094020437099,40906,1767,12711049.00,9205,22.50,6.75,-2.05
9-August-2016,312.05,315.00,307.60,310.05,310.272953619037126804,45385,1286,14081738.00,8975,19.78,7.40,-2.00
8-August-2016,312.10,313.60,309.00,312.05,311.573123571805238178,34134,1093,10635237.00,12777,37.43,4.60,-0.05
5-August-2016,313.00,314.55,308.70,310.40,311.318111412291862587,36154,977,11255395.00,12940,35.79,5.85,-2.60
4-August-2016,307.00,313.90,302.70,311.45,310.020597808141637447,63599,2029,19717000.00,13098,20.59,11.20,4.45
3-August-2016,311.00,311.00,303.60,305.55,305.621754683581649210,54232,1276,16574479.00,15082,27.81,7.40,-5.45
2-August-2016,314.00,317.65,308.10,310.10,312.207293626977264635,98305,2315,30691538.00,31850,32.40,9.55,-3.90
1-August-2016,297.10,313.60,297.10,311.60,307.479065716286018268,181401,3778,55777010.00,66612,36.72,16.50,14.50
29-July-2016,295.55,301.00,295.55,297.80,299.114253945869718500,36874,1297,11029539.00,9626,26.11,5.45,2.25
28-July-2016,299.95,301.70,296.00,296.95,298.605439445103586748,54785,1121,16359099.00,10468,19.11,5.70,-3.00
27-July-2016,298.00,302.75,296.15,298.15,299.292762897218480069,100952,2457,30214203.00,32531,32.22,6.60,0.15
26-July-2016,295.60,299.00,295.40,296.35,296.779819029339182890,25529,766,7576492.00,8357,32.74,3.60,0.75
25-July-2016,294.10,297.80,294.10,297.00,296.579202879674142136,42227,1405,12523650.00,12428,29.43,3.70,2.90
22-July-2016,292.45,295.25,292.45,294.45,294.327763149010870299,29622,1424,8718577.00,10203,34.44,2.80,2.00
21-July-2016,292.50,297.25,290.50,291.55,294.117537342431260394,64337,1981,18922640.00,11832,18.39,6.75,-0.95
20-July-2016,285.25,293.90,285.25,292.45,291.689712610960001686,47427,1315,13833968.00,17580,37.07,8.65,7.20
19-July-2016,286.55,290.00,282.25,284.60,286.029326006504429740,35668,1064,10202094.00,10735,30.10,7.75,-1.95
18-July-2016,290.10,292.70,286.00,286.95,289.601284990518241770,35331,847,10231903.00,12188,34.50,6.70,-3.15
15-July-2016,289.00,292.50,286.15,290.70,289.412540501072422762,65739,1754,19025691.00,28652,43.58,6.35,1.70
14-July-2016,287.50,289.95,285.00,288.75,287.606290087856411362,37106,1357,10671919.00,7635,20.58,4.95,1.25
13-July-2016,294.65,295.50,286.55,287.70,289.571828087486478642,37903,1212,10975641.00,9861,26.02,8.95,-6.95
12-July-2016,296.45,298.60,293.30,294.65,295.802353388771128865,36798,1035,10884935.00,12106,32.90,5.30,-1.80
11-July-2016,291.15,297.90,291.15,294.50,295.746442263011152416,68864,2023,20366283.00,17131,24.88,6.75,3.35
8-July-2016,295.95,296.00,291.10,292.50,292.542517158392013548,22438,575,6564069.00,5641,25.14,4.90,-3.45
7-July-2016,298.00,299.45,293.30,294.15,295.284948018683139972,33185,1429,9799031.00,11728,35.34,6.15,-3.85
5-July-2016,295.65,299.90,293.65,295.20,295.947202602804604328,48563,1269,14372084.00,11557,23.80,6.25,-0.45
4-July-2016,299.65,299.65,293.70,295.95,295.406350649350649350,77000,1678,22746289.00,26296,34.15,5.95,-3.70
1-July-2016,292.60,301.80,292.60,298.40,299.560296650770704905,180549,5407,54085312.00,73172,40.53,9.20,5.80
30-June-2016,291.45,296.00,289.00,294.30,292.597669761514655015,65916,2834,19286868.00,31653,48.02,7.00,2.85
29-June-2016,286.60,291.70,284.85,290.15,289.611141060197663971,105735,2329,30622034.00,30087,28.46,6.85,3.55
28-June-2016,287.00,288.20,283.65,284.70,285.192895670053938075,33557,945,9570218.00,7961,23.72,4.55,-2.30
27-June-2016,291.45,293.30,287.00,288.10,290.172758132023860527,60686,1321,17609424.00,13695,22.57,6.30,-3.35
24-June-2016,283.00,291.50,274.90,289.75,285.093678345968835679,102489,2125,29218966.00,25416,24.80,16.60,6.75
23-June-2016,292.00,292.70,286.00,287.20,288.637427461512637283,62553,1326,18055137.00,16715,26.72,6.70,-4.80
22-June-2016,285.25,291.75,285.25,290.15,289.746409691312677354,138846,3304,40230130.00,35806,25.79,6.50,4.90
21-June-2016,287.55,288.00,283.05,283.95,284.989507076622742801,28686,882,8175209.00,7707,26.87,4.95,-3.60
20-June-2016,286.00,290.00,285.00,287.05,287.510487681551095845,57353,1766,16489589.00,17373,30.29,5.00,1.05
17-June-2016,284.95,287.95,283.00,285.45,285.736270282169819872,77223,2037,22065412.00,22001,28.49,4.95,0.50
16-June-2016,281.00,284.00,277.65,282.00,281.223756668387540870,69732,1754,19610295.00,19511,27.98,6.35,1.00
15-June-2016,280.00,283.20,278.50,279.30,280.099223107856844290,69379,1614,19433004.00,23202,33.44,4.70,-0.70
14-June-2016,274.10,282.25,271.05,279.45,278.335406390735577954,135227,2937,37638462.00,30400,22.48,11.20,5.35
13-June-2016,275.60,275.60,269.25,274.05,273.002616956443807133,27895,962,7615408.00,7542,27.04,6.35,-1.55
10-June-2016,272.55,278.50,272.55,275.60,275.760995013726259174,53547,2405,14766174.00,18963,35.41,5.95,3.05
9-June-2016,273.05,277.55,271.65,274.00,274.551942171737230915,62945,1992,17281672.00,17801,28.28,5.90,0.95
8-June-2016,273.05,274.35,272.10,273.05,273.207377273973855014,21878,794,5977231.00,8006,36.59,2.25,0.00
7-June-2016,270.10,274.85,269.80,272.50,272.415333274787037850,56935,1932,15509967.00,24193,42.49,5.05,2.40
6-June-2016,270.00,273.10,265.70,270.00,270.058848652015303852,56195,1939,15175957.00,16654,29.64,7.40,0.00
3-June-2016,275.00,276.65,267.85,269.50,271.318832830462513844,52366,1373,14207882.00,14409,27.52,8.80,-5.50
2-June-2016,272.40,275.90,267.10,274.95,271.750782678124934339,47593,1317,12933435.00,11948,25.10,8.80,2.55
1-June-2016,277.95,277.95,271.50,272.40,273.011353658905810045,33029,790,9017292.00,6033,18.27,6.45,-5.55
31-May-2016,278.75,278.75,273.30,274.20,274.628976670201484623,45264,1180,12430806.00,12622,27.89,5.45,-4.55
30-May-2016,274.00,279.50,270.35,277.65,276.585020102110373801,71883,2069,19881761.00,18801,26.16,9.15,3.65
27-May-2016,270.00,276.40,269.00,272.50,273.082390953150242326,53853,1636,14706306.00,15653,29.07,7.40,2.50
26-May-2016,268.55,270.65,264.90,269.95,267.608024016382035428,50299,1376,13460416.00,11937,23.73,5.75,1.40
25-May-2016,256.95,268.80,254.20,267.00,263.650294888276105708,101903,2592,26866756.00,27810,27.29,14.60,10.05
24-May-2016,259.00,259.05,253.10,254.35,255.568756057040011075,57784,1167,14767785.00,14564,25.20,5.95,-4.65
23-May-2016,265.55,265.55,258.80,259.95,261.338640219235286441,45978,1444,12015828.00,10580,23.01,6.75,-5.60
20-May-2016,267.40,267.85,263.00,264.35,265.311824317972436873,53187,1300,14111140.00,11231,21.12,4.85,-3.05
19-May-2016,274.10,274.30,265.10,267.15,270.868500127323656735,117810,1086,31911018.00,50966,43.26,9.20,-6.95
18-May-2016,276.10,279.40,273.20,274.80,276.278325205424544057,59876,1727,16542441.00,24358,40.68,6.20,-1.30
