Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,444.35,452.00,442.00,450.65,448.644829958718301552,40696,1533,18258050.00,24834,61.02,10.00,6.30
29-December-2016,438.25,444.85,438.25,444.35,443.623800205013512254,21462,1128,9521054.00,10185,47.46,6.60,6.10
28-December-2016,437.20,439.80,434.55,437.20,437.798434670872028503,17121,716,7495547.00,5506,32.16,5.25,0.00
27-December-2016,430.00,438.00,426.75,436.05,433.966097179205381823,30027,1219,13030700.00,7642,25.45,11.25,6.05
26-December-2016,441.00,441.00,428.40,429.65,433.393976742939821017,18661,697,8087565.00,6240,33.44,12.60,-11.35
23-December-2016,445.00,445.00,436.00,436.90,437.647776868521549372,14664,1096,6417667.00,5556,37.89,9.00,-8.10
22-December-2016,440.00,444.00,437.05,438.55,439.691267998142127264,21530,1081,9466553.00,7237,33.61,6.95,-1.45
21-December-2016,441.00,443.50,437.20,438.25,440.704980569717280473,28049,915,12361334.00,17186,61.27,6.30,-2.75
20-December-2016,447.40,447.40,436.00,437.20,439.293249836720580890,26029,1916,11434364.00,15064,57.87,11.40,-10.20
19-December-2016,440.60,446.70,440.00,441.05,443.394297905352986811,15468,1121,6858423.00,5743,37.13,6.70,0.45
16-December-2016,439.70,443.30,436.00,439.30,439.008308512306004075,12758,764,5600868.00,3236,25.36,7.30,-0.40
15-December-2016,442.00,451.00,437.00,441.15,443.036820400605958592,23764,1441,10528327.00,6604,27.79,14.00,-0.85
14-December-2016,433.00,451.90,431.00,447.00,447.046162723600692440,31194,1270,13945158.00,15142,48.54,20.90,14.00
13-December-2016,444.00,448.15,441.60,443.90,445.028061366806136680,17925,864,7977128.00,6529,36.42,6.55,-0.10
12-December-2016,453.80,453.80,442.05,443.25,448.151354345861154036,34297,1258,15370247.00,11067,32.27,11.75,-10.55
9-December-2016,445.00,446.15,442.50,442.95,443.444581365098925172,29214,851,12954790.00,15627,53.49,3.65,-2.05
8-December-2016,436.95,444.55,436.40,442.50,439.209949701012456015,92646,1638,40691045.00,72151,77.88,8.15,5.55
7-December-2016,437.40,438.85,433.00,436.65,436.803182764108213979,40845,826,17841226.00,27520,67.38,5.85,-0.75
6-December-2016,439.95,440.10,435.35,436.80,437.153697683868346200,19688,668,8606682.00,8828,44.84,4.75,-3.15
