Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,643.05,649.80,635.00,640.00,641.016460905349794238,243,30,155767.00,180,74.07,14.80,-3.05
29-December-2016,620.00,648.60,615.10,638.25,634.373695198329853862,479,113,303865.00,279,58.25,33.50,18.25
28-December-2016,605.00,630.95,605.00,620.15,621.708818635607321131,601,71,373647.00,290,48.25,25.95,15.15
27-December-2016,604.60,604.60,589.00,597.60,596.007408234847300105,223805,149,133389438.00,223198,99.73,15.60,-7.00
26-December-2016,644.00,644.00,577.00,594.20,608.984955752212389380,1130,153,688153.00,708,62.65,67.00,-49.80
23-December-2016,646.00,646.00,627.00,631.45,635.156164383561643835,365,53,231832.00,280,76.71,19.00,-14.55
22-December-2016,641.50,677.05,635.00,642.00,645.981243830207305034,1013,91,654379.00,670,66.14,42.05,0.50
21-December-2016,655.00,671.85,653.50,655.00,659.789815817984832069,923,27,608986.00,870,94.26,18.35,0.00
20-December-2016,670.00,670.00,656.00,657.40,663.328467153284671532,274,58,181752.00,110,40.15,14.00,-12.60
19-December-2016,691.95,691.95,663.75,664.85,668.980066445182724252,301,45,201363.00,157,52.16,28.20,-27.10
16-December-2016,670.00,690.00,670.00,676.25,679.632711621233859397,697,106,473704.00,263,37.73,20.00,6.25
15-December-2016,660.00,680.00,656.40,677.70,674.137850467289719626,428,70,288531.00,238,55.61,23.60,17.70
14-December-2016,683.00,683.00,648.00,656.55,660.061946902654867256,678,90,447522.00,455,67.11,35.00,-26.45
13-December-2016,685.00,699.00,669.00,669.60,675.119437939110070257,1281,135,864828.00,817,63.78,30.00,-15.40
12-December-2016,700.00,700.00,686.00,690.95,692.928870292887029288,239,43,165610.00,137,57.32,14.00,-9.05
9-December-2016,705.00,720.00,692.00,694.85,702.030550774526678141,2324,240,1631519.00,1050,45.18,28.00,-10.15
8-December-2016,710.00,719.80,707.10,716.05,712.202702702702702702,222,31,158109.00,170,76.58,12.70,6.05
7-December-2016,718.90,718.90,706.60,707.40,710.823953823953823953,693,100,492601.00,547,78.93,12.30,-11.50
6-December-2016,725.00,725.00,710.00,712.20,714.697478991596638655,238,45,170098.00,183,76.89,15.00,-12.80
5-December-2016,705.00,739.90,702.00,729.80,725.125941872981700753,929,101,673642.00,572,61.57,37.90,24.80
2-December-2016,720.00,730.00,705.00,711.65,713.495268138801261829,317,69,226178.00,151,47.63,25.00,-8.35
1-December-2016,692.20,756.00,691.60,717.70,727.196695921528136293,1937,260,1408580.00,661,34.12,64.40,25.50
30-November-2016,696.00,702.00,686.10,687.15,693.345622119815668202,434,72,300912.00,220,50.69,15.90,-8.85
29-November-2016,689.10,697.60,681.10,683.10,690.858757062146892655,531,85,366846.00,210,39.55,16.50,-6.00
28-November-2016,660.00,696.00,659.00,690.60,675.726582278481012658,2765,152,1868384.00,400,14.47,37.00,30.60
25-November-2016,670.00,684.85,651.00,660.30,671.253207869974337040,5845,129,3923475.00,343,5.87,33.85,-9.70
24-November-2016,663.05,670.00,651.00,663.00,657.364628820960698689,2748,71,1806438.00,391,14.23,19.00,-0.05
