Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,521.00,534.00,515.50,522.05,525.375527426160337552,3555,347,1867710.00,1599,44.98,18.50,1.05
29-December-2016,517.00,521.00,517.00,518.80,519.722357525572333170,2053,97,1066990.00,1307,63.66,4.00,1.80
28-December-2016,525.00,525.50,517.30,518.25,521.168457031250000000,2048,131,1067353.00,1011,49.37,8.20,-6.75
27-December-2016,511.00,522.00,503.75,518.95,517.638321369409166206,1811,190,937443.00,685,37.82,18.25,7.95
26-December-2016,520.00,525.00,500.00,504.45,512.073780015491866769,5164,325,2644349.00,2233,43.24,25.00,-15.55
23-December-2016,525.00,527.40,512.05,515.05,520.212316715542521994,3410,193,1773924.00,1800,52.79,15.35,-9.95
22-December-2016,536.85,537.00,521.25,526.70,530.006506180871828236,1537,148,814620.00,802,52.18,15.75,-10.15
21-December-2016,545.35,545.35,536.60,539.65,540.009480222294867603,76475,95,41297225.00,75838,99.17,8.75,-5.70
20-December-2016,550.00,550.00,540.05,541.55,542.912343470483005366,1118,89,606976.00,855,76.48,9.95,-8.45
19-December-2016,552.00,555.00,542.55,549.25,549.152608047690014903,3355,185,1842407.00,1720,51.27,12.45,-2.75
16-December-2016,545.00,557.50,544.90,550.45,552.344522968197879858,3962,468,2188389.00,1033,26.07,12.60,5.45
15-December-2016,535.00,558.00,535.00,540.60,545.109605613355915799,4133,274,2252938.00,1609,38.93,23.00,5.60
14-December-2016,547.95,558.00,539.70,544.00,546.414395409670070036,11851,302,6475557.00,973,8.21,18.30,-3.95
13-December-2016,550.00,550.55,541.00,544.15,543.396610169491525423,2065,182,1122114.00,1119,54.19,9.55,-5.85
12-December-2016,560.00,565.00,550.00,552.70,556.073052870949403069,3518,200,1956265.00,1983,56.37,15.00,-7.30
9-December-2016,541.75,555.50,541.00,550.65,550.287946864621996483,5119,576,2816924.00,2782,54.35,14.50,8.90
8-December-2016,542.50,543.85,539.55,541.15,541.342164781906300484,3095,249,1675454.00,1917,61.94,4.30,-1.35
7-December-2016,544.80,545.00,532.60,534.50,538.237619642114024136,2403,172,1293385.00,1303,54.22,12.40,-10.30
6-December-2016,541.80,542.20,538.60,540.15,540.659653465346534653,1616,118,873706.00,680,42.08,3.60,-1.65
5-December-2016,535.60,544.05,535.60,538.45,539.627928772258669165,1067,87,575783.00,378,35.43,8.45,2.85
2-December-2016,535.30,544.60,532.60,534.80,536.577723802914642609,2882,164,1546417.00,1419,49.24,12.00,-0.50
1-December-2016,542.00,549.00,538.55,540.25,541.269708029197080291,2740,117,1483079.00,1658,60.51,10.45,-1.75
30-November-2016,542.00,549.90,539.45,545.25,544.781386514719848053,5265,369,2868274.00,3296,62.60,10.45,3.25
29-November-2016,531.40,544.50,531.40,539.70,538.835055283668660503,5517,305,2972753.00,2479,44.93,13.10,8.30
28-November-2016,529.25,531.65,524.30,527.10,526.461397670549084858,6010,277,3164033.00,2980,49.58,7.35,-2.15
25-November-2016,530.00,538.95,527.45,529.95,531.728335991493886230,5643,393,3000543.00,2660,47.14,11.50,-0.05
24-November-2016,526.00,540.00,518.10,529.90,529.716628701594533029,4390,481,2325456.00,1648,37.54,21.90,3.90
23-November-2016,525.00,527.30,516.00,524.10,522.140032948929159802,4856,302,2535512.00,2097,43.18,11.30,-0.90
22-November-2016,537.00,540.25,511.60,519.45,521.350011600030933415,12931,767,6741577.00,5756,44.51,28.65,-17.55
21-November-2016,553.00,560.90,530.25,534.55,545.091815871438671583,52333,2285,28526290.00,10398,19.87,30.65,-18.45
18-November-2016,525.00,535.00,524.00,527.90,528.507480916030534351,6550,610,3461724.00,2601,39.71,11.00,2.90
