Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,56.30,58.50,56.20,57.65,57.529569044280857905,728938,3485,41935489.00,180494,24.76,2.30,1.35
29-December-2016,55.65,56.80,55.60,56.20,56.166042670486608499,552888,2259,31053531.00,96746,17.50,1.20,0.55
28-December-2016,56.25,57.20,55.50,55.75,56.355560452552472196,571779,3076,32222926.00,170186,29.76,1.70,-0.50
27-December-2016,54.15,56.25,53.30,55.70,54.882559653972637665,1121761,5028,61565115.00,207319,18.48,2.95,1.55
26-December-2016,57.20,57.55,53.80,54.25,55.580718185779963202,672333,3212,37368751.00,227893,33.90,3.75,-2.95
23-December-2016,57.60,59.10,57.35,57.75,58.113406928915713740,707470,3346,41113492.00,161390,22.81,1.75,0.15
22-December-2016,59.40,59.70,57.60,57.85,58.266220204146214022,679415,3112,39586944.00,194407,28.61,2.10,-1.55
21-December-2016,59.90,61.30,59.45,59.70,60.397149803923444632,836153,3886,50501258.00,151854,18.16,1.85,-0.20
20-December-2016,61.60,62.15,58.85,59.35,60.097549516436028524,1204701,5425,72399578.00,318062,26.40,3.30,-2.25
19-December-2016,59.80,63.10,59.80,61.30,61.798491527822786413,2147736,10097,132726845.00,454832,21.18,3.30,1.50
16-December-2016,58.30,59.90,57.35,58.50,58.753245779496766225,1187003,4811,69740279.00,226731,19.10,2.55,0.20
15-December-2016,58.45,60.40,57.65,57.90,59.033418636912244151,998395,4489,58938670.00,247041,24.74,2.75,-0.55
14-December-2016,61.65,61.90,58.60,58.95,60.371363483719022104,1128587,4756,68134336.00,250853,22.23,3.30,-2.70
13-December-2016,63.05,63.70,60.75,61.60,62.145874397475061454,1716319,7722,106662145.00,259161,15.10,2.95,-1.45
12-December-2016,60.95,64.40,60.35,62.75,62.935156884843399002,2747971,12619,172943986.00,519235,18.90,4.05,1.80
9-December-2016,61.05,63.80,60.25,61.35,62.026448235125180266,3405369,16341,211222944.00,673306,19.77,3.55,0.30
8-December-2016,55.15,61.25,54.80,60.55,58.860777404072437941,3437646,13545,202342516.00,823539,23.96,6.45,5.40
7-December-2016,56.95,57.50,54.00,54.35,55.587077294796691778,1090979,3873,60644334.00,231088,21.18,3.50,-2.60
6-December-2016,56.10,58.65,55.25,56.50,57.249461982267285459,1828936,7518,104705602.00,356398,19.49,3.40,0.40
5-December-2016,55.25,56.90,55.10,55.65,56.031328374036066984,1247623,4870,69905974.00,238179,19.09,1.80,0.40
2-December-2016,53.20,56.80,52.65,54.65,54.845325682915958347,2039453,9582,111854464.00,359608,17.63,4.15,1.45
1-December-2016,54.60,55.80,52.25,54.00,54.267488581835000289,1660512,6810,90111816.00,312297,18.81,3.55,-0.60
30-November-2016,49.70,55.80,49.70,54.10,53.303093689933352526,2511273,11276,133858620.00,507422,20.21,6.10,4.40
29-November-2016,50.80,51.75,49.15,49.65,50.769608435721036551,727952,2562,36957838.00,146614,20.14,2.60,-1.15
28-November-2016,51.30,52.55,49.80,50.50,51.159331465297805171,1465354,6827,74966531.00,359441,24.53,2.75,-0.80
25-November-2016,42.55,50.80,42.40,50.80,47.781216257726536391,1617963,8181,77308240.00,490658,30.33,8.40,8.25
24-November-2016,42.80,43.30,41.90,42.35,42.754877647594706075,237102,1099,10137267.00,88116,37.16,1.40,-0.45
23-November-2016,42.85,43.40,41.45,42.95,42.491760433664842218,304567,1385,12941588.00,75646,24.84,1.95,0.10
22-November-2016,41.00,43.80,40.15,41.90,41.950004406016677146,669539,3314,28087164.00,151442,22.62,3.65,0.90
21-November-2016,42.50,42.60,39.20,39.55,40.738836687395786360,381428,1375,15538933.00,174879,45.85,3.40,-2.95
18-November-2016,41.80,42.70,41.30,42.20,42.092230930593895664,319871,962,13464084.00,151083,47.23,1.40,0.40
17-November-2016,41.60,42.70,41.20,41.50,41.815605965133375341,428490,1454,17917569.00,76913,17.95,1.50,-0.10
16-November-2016,43.00,43.30,41.25,41.55,42.157547108015458852,366392,1384,15446188.00,101908,27.81,2.05,-1.45
15-November-2016,45.50,45.50,41.15,41.60,42.456130774144155979,441494,1564,18744127.00,186922,42.34,4.35,-3.90
11-November-2016,46.65,47.00,43.70,44.10,45.776685345764595058,828020,1912,37904011.00,148995,17.99,3.30,-2.55
10-November-2016,46.70,48.20,46.25,47.30,47.283506327961394883,790776,2211,37390662.00,113869,14.40,1.95,0.60
9-November-2016,42.90,45.60,40.95,45.10,43.461327127544469610,1109072,3601,48201741.00,224470,20.24,4.65,2.20
8-November-2016,48.30,48.70,47.20,47.95,47.813698077758182156,451348,1215,21580617.00,109766,24.32,1.50,-0.35
