Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,60.35,61.70,60.25,60.50,60.873168524070826497,212124,2519,12912660.00,80003,37.72,1.45,0.15
29-December-2016,59.90,61.25,59.60,60.10,60.260079040986894452,152073,1532,9163931.00,54655,35.94,1.65,0.20
28-December-2016,61.00,61.85,59.60,59.75,60.652863188644620051,267010,2716,16194921.00,82407,30.86,2.25,-1.25
27-December-2016,60.30,61.60,59.50,60.40,60.599054309377822926,302213,3352,18313822.00,72697,24.05,2.10,0.10
26-December-2016,62.80,62.80,59.00,59.35,60.069007986226529272,234654,2468,14095433.00,82192,35.03,3.80,-3.45
23-December-2016,63.25,63.90,61.60,61.85,62.734292979271385599,305182,3734,19145377.00,93272,30.56,2.30,-1.40
22-December-2016,65.00,65.95,62.90,63.15,63.912144075810413925,399734,4484,25547857.00,113326,28.35,3.05,-1.85
21-December-2016,64.30,68.30,63.50,65.30,66.425077452314678666,731095,7507,48563042.00,110722,15.14,4.80,1.00
20-December-2016,67.75,68.05,64.20,64.60,65.821806947557848639,384538,3686,25310986.00,146421,38.08,3.85,-3.15
19-December-2016,69.00,69.60,67.05,67.50,68.448534408254550492,303154,2765,20750447.00,110159,36.34,2.55,-1.50
16-December-2016,70.00,71.40,67.50,68.25,69.493894500058069997,490787,6066,34106700.00,140314,28.59,3.90,-1.75
15-December-2016,67.45,70.95,66.80,69.75,69.543672314954608457,711366,6540,49471004.00,130132,18.29,4.15,2.30
14-December-2016,71.70,71.70,68.00,68.30,69.771033771373133984,1043132,9546,72780398.00,224205,21.49,3.70,-3.40
13-December-2016,67.50,74.30,67.25,72.55,71.775112445231730740,4125564,34267,296112820.00,686997,16.65,7.05,5.05
12-December-2016,57.00,65.55,56.40,65.55,63.942370938798763216,2682119,14510,171501048.00,486808,18.15,9.15,8.55
9-December-2016,53.05,57.70,52.95,54.65,55.627411196003732468,712665,9288,39643709.00,195926,27.49,4.75,1.60
8-December-2016,52.45,53.70,52.45,52.75,53.086041989125689566,75591,899,4012827.00,29092,38.49,1.25,0.30
7-December-2016,53.25,53.35,52.25,52.40,52.579792562908833755,33938,416,1784453.00,18185,53.58,1.10,-0.85
6-December-2016,52.85,53.15,52.40,52.55,52.793596237337192474,49752,630,2626587.00,23717,47.67,0.75,-0.30
5-December-2016,52.35,52.85,52.15,52.50,52.520358106450821682,48924,554,2569506.00,20584,42.07,0.70,0.15
2-December-2016,52.95,53.40,52.20,52.50,52.749523119642641554,82830,1006,4369243.00,45246,54.63,1.20,-0.45
1-December-2016,52.45,54.00,52.00,52.65,53.028434465223694659,137263,2149,7278842.00,55400,40.36,2.00,0.20
30-November-2016,55.50,55.80,51.75,52.90,53.804015199063629115,117902,1111,6343601.00,79294,67.25,4.05,-2.60
29-November-2016,55.45,56.25,55.40,55.65,55.878807329951340718,48295,607,2698667.00,21470,44.46,0.85,0.20
28-November-2016,54.25,55.75,54.15,55.20,55.267689704603670716,42553,534,2351806.00,16805,39.49,1.60,0.95
25-November-2016,52.85,55.25,52.60,54.45,54.168700867569201910,81031,1004,4389344.00,34335,42.37,2.65,1.60
24-November-2016,52.60,53.45,52.50,52.70,52.895495781008596442,50486,538,2670482.00,19898,39.41,0.95,0.10
23-November-2016,52.60,53.05,52.40,52.65,52.727070336391437308,40875,485,2155219.00,20372,49.84,0.65,0.05
22-November-2016,53.85,53.90,52.65,52.90,53.205830961028762147,50935,566,2710039.00,26069,51.18,1.25,-0.95
