Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,1386.00,1418.65,1386.00,1402.55,1407.422378441710603397,66573,3528,93696330.00,8915,13.39,32.65,16.55
29-December-2016,1360.00,1386.00,1355.50,1379.55,1377.176305970149253731,62176,3246,85627314.00,9333,15.01,30.50,19.55
28-December-2016,1342.00,1372.50,1335.85,1351.55,1353.957576100967463206,70597,4322,95585343.00,9573,13.56,36.65,9.55
27-December-2016,1300.00,1333.95,1289.00,1328.65,1317.167825097940098571,63304,3474,83381992.00,8002,12.64,44.95,28.65
26-December-2016,1312.00,1314.45,1286.90,1295.80,1298.693400767032866288,65447,1897,84995587.00,33291,50.87,27.55,-16.20
23-December-2016,1355.00,1355.00,1311.00,1324.10,1326.378589980520453523,80084,3689,106221703.00,8339,10.41,44.00,-30.90
22-December-2016,1397.25,1398.80,1353.25,1359.00,1367.463965903859576174,67339,3072,92083656.00,11098,16.48,45.55,-38.25
21-December-2016,1431.75,1435.45,1403.05,1408.85,1414.894713558947135589,31647,1610,44777173.00,6130,19.37,32.40,-22.90
20-December-2016,1420.70,1448.25,1415.55,1422.85,1429.301940001892684773,52835,2779,75517168.00,7875,14.90,32.70,2.15
19-December-2016,1453.00,1453.95,1407.95,1414.15,1417.838916626402533956,37254,1908,52820171.00,8537,22.92,46.00,-38.85
16-December-2016,1460.00,1471.95,1442.05,1446.00,1452.198763825634352635,39962,1866,58032767.00,5220,13.06,29.90,-14.00
15-December-2016,1440.00,1488.00,1438.00,1457.70,1466.576318982755379330,58511,3597,85810847.00,9349,15.98,50.00,17.70
14-December-2016,1490.00,1490.00,1450.10,1454.70,1466.922433229275060700,46128,2483,67666198.00,9445,20.48,39.90,-35.30
13-December-2016,1487.60,1498.80,1465.25,1483.85,1484.214958699570338859,117069,5794,173755561.00,16924,14.46,33.55,-3.75
12-December-2016,1431.00,1492.90,1425.00,1483.85,1470.535843125758353081,245598,11204,361160662.00,57170,23.28,67.90,52.85
9-December-2016,1395.00,1436.15,1378.00,1425.30,1415.973833529745537078,137466,6841,194648259.00,20435,14.87,58.15,30.30
8-December-2016,1395.05,1405.00,1375.25,1387.45,1390.958628257039532655,64706,3376,90003369.00,10716,16.56,29.75,-7.60
7-December-2016,1393.00,1404.00,1366.00,1378.75,1382.086461514882809506,91347,4523,126249452.00,12974,14.20,38.00,-14.25
6-December-2016,1356.00,1394.30,1356.00,1379.80,1378.396206861622135471,128337,6978,176899234.00,20815,16.22,38.30,23.80
5-December-2016,1327.00,1354.40,1318.80,1343.60,1341.236781126929788593,104869,5515,140654160.00,17593,16.78,35.60,16.60
2-December-2016,1297.00,1327.50,1297.00,1314.20,1315.952819995678167543,152713,7131,200963103.00,37880,24.80,30.50,17.20
1-December-2016,1270.00,1314.90,1264.00,1300.40,1295.992768345184540221,165384,8481,214336468.00,20125,12.17,50.90,30.40
30-November-2016,1264.40,1289.50,1255.00,1268.60,1273.591037102531355404,61074,3459,77783299.00,9054,14.82,34.50,4.20
29-November-2016,1273.50,1278.85,1241.05,1252.90,1255.210475840920661607,84461,4202,106016332.00,9509,11.26,37.80,-20.60
28-November-2016,1244.70,1294.00,1241.00,1258.15,1272.691229703175095666,212718,9887,270724333.00,42291,19.88,53.00,13.45
25-November-2016,1158.00,1269.00,1146.05,1242.85,1223.403098137228548388,349694,18855,427816723.00,35755,10.22,122.95,84.85
24-November-2016,1098.00,1189.00,1077.30,1156.90,1129.573190444524016573,195490,11759,220820263.00,22618,11.57,111.70,58.90
23-November-2016,1047.00,1097.00,1032.00,1089.15,1071.234872227579556412,116144,5499,124417503.00,18239,15.70,65.00,42.15
22-November-2016,1044.00,1046.00,1021.90,1036.10,1033.787947531146521285,54661,2974,56507883.00,9824,17.97,24.10,-7.90
21-November-2016,1070.00,1076.35,1021.65,1028.75,1046.982326869806094182,54150,2727,56694093.00,13474,24.88,54.70,-41.25
18-November-2016,1070.00,1076.00,1050.00,1066.65,1062.920116557752987223,57997,2835,61646178.00,18646,32.15,26.00,-3.35
17-November-2016,1073.00,1086.30,1061.10,1068.60,1071.545385612601814935,40883,2299,43807990.00,8444,20.65,25.20,-4.40
16-November-2016,1110.00,1111.00,1058.00,1072.15,1078.499802499565499044,63291,3346,68259331.00,8422,13.31,53.00,-37.85
15-November-2016,1150.00,1150.00,1051.80,1077.85,1080.828215153993524317,89257,4934,96471484.00,21631,24.23,98.20,-72.15
11-November-2016,1205.00,1205.00,1135.00,1140.30,1165.538118971061093247,62200,3201,72496471.00,14958,24.05,70.00,-64.70
10-November-2016,1225.00,1232.00,1203.50,1208.85,1219.069760231500620090,67732,3214,82570033.00,15654,23.11,28.50,-16.15
9-November-2016,1161.00,1202.20,1115.10,1189.60,1168.661128683884572469,97689,5106,114165337.00,16835,17.23,87.10,28.60
8-November-2016,1232.00,1265.00,1232.00,1239.00,1245.222253821542836829,42195,2309,52542153.00,8695,20.61,33.00,7.00
7-November-2016,1251.00,1264.00,1230.00,1232.55,1245.235770693185141854,34190,1875,42574611.00,7871,23.02,34.00,-18.45
4-November-2016,1264.00,1266.95,1237.00,1243.10,1247.456793691424796664,48442,2516,60429302.00,11837,24.44,29.95,-20.90
3-November-2016,1270.00,1282.00,1250.95,1257.10,1267.830066621608573911,62142,3041,78785496.00,13342,21.47,31.05,-12.90
2-November-2016,1298.10,1303.00,1264.00,1273.15,1288.296442417331812998,43850,2489,56491799.00,12187,27.79,39.00,-24.95
1-November-2016,1297.00,1353.75,1284.50,1312.40,1322.142449472219949267,97768,5613,129263223.00,11440,11.70,69.25,15.40
30-October-2016,1307.00,1307.00,1289.40,1296.90,1300.036437246963562753,20748,1118,26973156.00,7978,38.45,17.60,-10.10
28-October-2016,1247.00,1303.40,1236.00,1294.00,1283.706765188573784398,126131,7355,161915218.00,22870,18.13,67.40,47.00
27-October-2016,1261.90,1303.00,1224.00,1241.85,1255.935143683542459995,240285,13759,301782376.00,27132,11.29,79.00,-20.05
26-October-2016,1314.00,1317.00,1258.95,1272.90,1290.201888574126534466,68835,4446,88811047.00,24570,35.69,58.05,-41.10
25-October-2016,1325.10,1330.00,1302.35,1314.35,1316.941496598639455782,49980,2529,65820736.00,13763,27.54,27.65,-10.75
24-October-2016,1346.00,1353.55,1328.25,1333.05,1340.123207040402308703,34998,1881,46901632.00,8360,23.89,25.30,-12.95
21-October-2016,1358.00,1358.00,1334.20,1342.65,1344.503607146174567297,32297,1636,43423433.00,6752,20.91,23.80,-15.35
20-October-2016,1360.00,1371.75,1350.00,1352.90,1360.353335283013851593,37613,1796,51166970.00,9954,26.46,21.75,-7.10
19-October-2016,1345.00,1377.80,1340.35,1353.55,1358.932179673385525523,112916,5861,153445186.00,26560,23.52,37.45,8.55
18-October-2016,1317.00,1344.00,1305.00,1338.50,1324.586557550158394931,94700,4823,125438347.00,23094,24.39,39.00,21.50
17-October-2016,1322.00,1338.00,1301.10,1304.15,1316.825910151317338355,46723,2753,61526057.00,11927,25.53,36.90,-17.85
14-October-2016,1331.15,1354.75,1318.85,1323.50,1329.895546045332065303,50472,3033,67122488.00,13421,26.59,35.90,-7.65
13-October-2016,1349.00,1357.95,1314.00,1324.85,1334.132018476427890607,68195,3472,90981133.00,20280,29.74,43.95,-24.15
10-October-2016,1347.00,1411.00,1336.00,1345.65,1373.867295352099814880,120463,7462,165500176.00,22813,18.94,75.00,-1.35
7-October-2016,1369.00,1377.20,1342.00,1345.75,1354.911157930220798921,59330,3707,80386879.00,14552,24.53,35.20,-23.25
6-October-2016,1392.00,1404.50,1360.00,1369.00,1382.617438291341603785,62552,3488,86485486.00,13055,20.87,44.50,-23.00
5-October-2016,1422.00,1422.00,1389.50,1396.15,1403.575511662328382585,39186,2247,55000510.00,12807,32.68,32.50,-25.85
5-October-2016,1422.00,1422.00,1389.50,1396.15,1403.575511662328382585,39186,2247,55000510.00,12807,32.68,32.50,-25.85
4-October-2016,1406.00,1436.25,1402.85,1414.55,1421.518880953985043454,59372,3363,84398419.00,9069,15.27,33.40,8.55
3-October-2016,1404.95,1417.65,1395.00,1403.20,1405.479882389353141442,45234,2960,63575477.00,11950,26.42,22.65,-1.75
30-September-2016,1390.00,1419.45,1385.10,1395.35,1402.098432023611879726,54210,3524,76007756.00,10485,19.34,34.35,5.35
29-September-2016,1497.05,1509.40,1371.70,1384.85,1439.968733105063975491,66588,4392,95884638.00,22438,33.70,137.70,-112.20
28-September-2016,1499.00,1505.35,1491.25,1494.30,1497.814542590891193069,30476,1506,45647396.00,9901,32.49,14.10,-4.70
27-September-2016,1515.00,1523.05,1494.00,1497.95,1510.060462023445965914,40604,2257,61314495.00,9100,22.41,29.05,-17.05
26-September-2016,1524.40,1528.70,1510.15,1512.80,1517.604138482351494281,32524,2169,49358557.00,7698,23.67,18.55,-11.60
23-September-2016,1554.00,1556.95,1529.90,1532.40,1541.550490527740189445,23648,1754,36454586.00,5881,24.87,27.05,-21.60
22-September-2016,1568.15,1571.60,1544.00,1547.60,1554.978494115422791511,21157,1309,32898680.00,4813,22.75,27.60,-20.55
21-September-2016,1549.95,1574.75,1546.00,1552.50,1561.054236556487419832,32432,2245,50628111.00,5968,18.40,28.75,2.55
20-September-2016,1554.00,1560.00,1540.85,1548.10,1549.040856383621210291,33116,2197,51298037.00,4506,13.61,19.15,-5.90
19-September-2016,1552.75,1570.00,1536.20,1551.85,1555.579727311676201517,39679,2534,61723848.00,8818,22.22,33.80,-0.90
16-September-2016,1560.00,1563.50,1538.00,1549.25,1551.277666724108219886,58030,3374,90020643.00,7191,12.39,25.50,-10.75
15-September-2016,1517.25,1563.90,1515.95,1541.40,1547.046785599756957923,59249,3567,91660975.00,9046,15.27,47.95,24.15
14-September-2016,1509.00,1525.00,1508.00,1516.15,1517.625151148730350665,40523,2541,61498724.00,7148,17.64,17.00,7.15
12-September-2016,1525.00,1527.00,1500.75,1509.05,1514.293602784630461964,29591,1821,44809462.00,8529,28.82,26.25,-15.95
9-September-2016,1530.00,1550.00,1525.00,1532.40,1537.408335483479290300,65887,3204,101295223.00,11891,18.05,25.00,2.40
8-September-2016,1540.35,1550.00,1527.70,1535.30,1536.550599667337827190,45692,2662,70208070.00,6236,13.65,22.30,-5.05
7-September-2016,1539.00,1564.00,1538.00,1543.80,1548.365161474707059159,34990,2068,54177297.00,7230,20.66,26.00,4.80
6-September-2016,1580.00,1580.00,1531.00,1537.30,1549.552044726427539418,47757,2837,74001957.00,17740,37.15,49.00,-42.70
2-September-2016,1555.00,1589.45,1555.00,1568.85,1574.170386881069893329,31405,2253,49436821.00,5331,16.98,34.45,13.85
1-September-2016,1575.00,1580.00,1554.55,1562.95,1566.132524041315445803,33692,2317,52766137.00,8223,24.41,25.45,-12.05
31-August-2016,1600.00,1615.00,1572.00,1580.00,1599.265441041441367912,49009,2907,78378400.00,12715,25.94,43.00,-20.00
30-August-2016,1575.75,1601.00,1538.00,1588.35,1578.969613137589379623,113141,6967,178646201.00,18839,16.65,63.00,12.60
29-August-2016,1609.00,1609.40,1556.55,1564.65,1572.994305733065546832,87632,5099,137844637.00,25783,29.42,52.85,-44.35
26-August-2016,1614.00,1631.80,1603.25,1611.95,1615.371932382241660592,28809,1855,46537250.00,8887,30.85,28.55,-2.05
25-August-2016,1637.00,1638.00,1601.05,1614.25,1626.955623484768630757,37948,2375,61739712.00,12091,31.86,36.95,-22.75
24-August-2016,1629.00,1645.00,1619.00,1628.65,1633.632320512522921937,43081,2988,70378514.00,9331,21.66,26.00,-0.35
23-August-2016,1615.00,1638.30,1612.50,1621.25,1624.586312839731253587,29619,2080,48118622.00,6434,21.72,25.80,6.25
22-August-2016,1624.00,1634.40,1615.10,1618.80,1623.045552842692710149,28670,1773,46532716.00,7171,25.01,19.30,-5.20
19-August-2016,1634.00,1643.40,1616.80,1623.40,1625.737664152571980517,48659,2562,79106769.00,18048,37.09,26.60,-10.60
18-August-2016,1645.75,1655.50,1628.05,1633.15,1641.052222153350275832,32266,1969,52950191.00,6873,21.30,27.45,-12.60
17-August-2016,1628.00,1652.00,1622.00,1639.05,1639.205228187291387216,32057,1938,52548002.00,5877,18.33,30.00,11.05
16-August-2016,1661.00,1661.00,1610.85,1628.00,1628.009333716255025847,41784,2867,68024742.00,10921,26.14,50.15,-33.00
12-August-2016,1674.80,1681.00,1645.00,1653.90,1661.570014031929257896,37771,2438,62759161.00,10277,27.21,36.00,-20.90
11-August-2016,1670.00,1682.50,1645.00,1658.15,1663.859487818814607033,57753,3358,96092877.00,7373,12.77,37.50,-11.85
10-August-2016,1711.75,1725.50,1661.25,1669.20,1689.225562737181375522,57709,3814,97483518.00,13491,23.38,64.25,-42.55
9-August-2016,1745.05,1755.00,1698.00,1704.10,1719.788134873449974520,94192,6083,161990284.00,19672,20.89,57.00,-40.95
8-August-2016,1654.00,1749.00,1644.00,1739.00,1708.719021729710366822,173081,9953,295746797.00,34671,20.03,105.00,85.00
5-August-2016,1632.50,1649.40,1632.00,1639.65,1641.220704706255060016,28409,1622,46625439.00,9674,34.05,17.40,7.15
4-August-2016,1630.00,1640.95,1622.05,1628.45,1630.042975460122699386,32600,2004,53139401.00,6549,20.09,18.90,-1.55
3-August-2016,1634.00,1655.00,1620.40,1623.45,1633.225731090026026190,48797,2771,79696516.00,8295,17.00,34.60,-10.55
2-August-2016,1640.00,1659.90,1626.00,1631.85,1643.760150794141276806,32362,2126,53195366.00,10330,31.92,33.90,-8.15
1-August-2016,1651.05,1663.00,1637.95,1644.55,1648.962285355845377799,38261,2859,63090946.00,9623,25.15,25.05,-6.50
29-July-2016,1646.45,1671.30,1632.10,1649.50,1654.741289602004957912,36709,2548,60743898.00,7300,19.89,39.20,3.05
28-July-2016,1670.00,1674.40,1633.00,1640.70,1654.065636967714119049,39429,2540,65218154.00,13366,33.90,41.40,-29.30
27-July-2016,1677.50,1684.45,1651.00,1665.50,1667.801001127096731419,60332,4189,100621770.00,10606,17.58,33.45,-12.00
26-July-2016,1623.00,1706.00,1620.00,1656.90,1662.808230476183675436,280081,18648,465720992.00,26770,9.56,86.00,33.90
25-July-2016,1669.75,1680.40,1601.95,1614.15,1641.883794299247229975,118230,6274,194119921.00,34336,29.04,78.45,-55.60
22-July-2016,1659.90,1677.00,1652.45,1663.80,1663.797767087228828174,33051,2570,54990180.00,6767,20.47,24.55,3.90
21-July-2016,1668.00,1690.00,1657.00,1661.05,1670.623165439124092849,55531,3282,92771375.00,10273,18.50,33.00,-6.95
20-July-2016,1664.00,1680.00,1645.50,1666.40,1664.527099495906474562,55942,3673,93116975.00,8796,15.72,34.50,2.40
19-July-2016,1650.00,1683.00,1647.00,1664.75,1670.053818799426782017,56523,3719,94396452.00,8897,15.74,36.00,14.75
18-July-2016,1635.00,1665.90,1595.40,1650.90,1639.337351807787066478,94978,6373,155700983.00,13967,14.71,70.50,15.90
15-July-2016,1675.00,1684.80,1621.00,1627.70,1652.602203095163450850,70174,4177,115969707.00,23049,32.85,63.80,-47.30
14-July-2016,1680.00,1695.75,1663.30,1675.80,1680.323915432857050494,61868,3876,103958280.00,21899,35.40,32.45,-4.20
13-July-2016,1702.10,1713.55,1673.00,1679.20,1690.494162409291051073,65181,3787,110188100.00,21017,32.24,40.55,-22.90
12-July-2016,1732.00,1735.25,1699.45,1703.15,1711.222813675719191023,60867,4045,104156999.00,18027,29.62,35.80,-28.85
11-July-2016,1749.00,1753.40,1727.00,1731.50,1739.304191908641459508,28722,2051,49956295.00,5862,20.41,26.40,-17.50
8-July-2016,1705.00,1750.00,1697.00,1731.95,1725.403717044628210982,59133,3975,102028298.00,9444,15.97,53.00,26.95
7-July-2016,1735.45,1739.95,1703.55,1711.85,1719.190608754935658892,35203,2566,60520667.00,8048,22.86,36.40,-23.60
5-July-2016,1770.00,1770.00,1730.00,1735.45,1746.187233724493609387,53516,3470,93448956.00,8697,16.25,40.00,-34.55
4-July-2016,1765.00,1783.00,1755.00,1763.75,1769.137789929536112742,54496,3755,96410933.00,11700,21.47,28.00,-1.25
1-July-2016,1708.00,1769.00,1708.00,1748.75,1750.140688690871172622,84392,5179,147697873.00,18212,21.58,61.00,40.75
30-June-2016,1704.00,1709.85,1689.05,1695.75,1699.250629987400251994,57144,3799,97101978.00,15439,27.02,20.80,-8.25
29-June-2016,1699.00,1707.00,1688.00,1693.80,1697.360073582340238342,50012,4886,84888372.00,14647,29.29,19.00,-5.20
28-June-2016,1690.00,1707.20,1685.00,1690.75,1694.803243656649271189,44456,2941,75344173.00,14513,32.65,22.20,0.75
27-June-2016,1700.10,1722.00,1685.00,1693.65,1706.732569065965044164,47889,2854,81733716.00,13768,28.75,37.00,-6.45
24-June-2016,1750.00,1750.00,1612.15,1711.60,1690.311100065911030913,92549,6584,156436602.00,16019,17.31,137.85,-38.40
23-June-2016,1784.50,1788.00,1770.00,1775.85,1777.928327196212519726,22812,1431,40558101.00,3915,17.16,18.00,-8.65
22-June-2016,1783.60,1792.85,1776.00,1779.95,1784.637036206703284385,26763,1931,47762241.00,6229,23.27,16.85,-3.65
21-June-2016,1790.00,1807.00,1777.60,1784.05,1792.287951636852153008,28286,1916,50696657.00,6573,23.24,29.40,-5.95
20-June-2016,1756.00,1798.50,1755.05,1790.65,1782.536593059936908517,50720,3795,90410256.00,9516,18.76,43.45,34.65
17-June-2016,1797.95,1797.95,1764.00,1770.30,1778.664535437355461841,36755,2159,65374815.00,7649,20.81,33.95,-27.65
16-June-2016,1800.00,1803.90,1775.10,1783.70,1786.879949042040316738,40033,2648,71534165.00,8798,21.98,28.80,-16.30
