Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,940.00,959.00,937.50,954.50,951.399744572158365261,783,101,744946.00,401,51.21,21.50,14.50
29-December-2016,930.00,958.60,930.00,939.55,945.618473895582329317,1494,90,1412754.00,83,5.56,28.60,9.55
28-December-2016,923.00,929.00,920.00,923.45,925.320185614849187935,431,62,398813.00,300,69.61,9.00,0.45
27-December-2016,930.00,931.45,920.00,923.30,924.976772616136919315,818,64,756631.00,502,61.37,11.45,-6.70
26-December-2016,940.00,940.00,910.00,919.70,923.334645669291338582,762,148,703581.00,385,50.52,30.00,-20.30
23-December-2016,945.05,950.70,925.00,945.25,942.845033112582781456,755,132,711848.00,195,25.83,25.70,0.20
22-December-2016,965.00,970.60,945.10,954.05,953.907324364723467862,669,91,638164.00,354,52.91,25.50,-10.95
21-December-2016,999.00,1000.00,961.20,968.20,974.965202982601491300,1207,152,1176783.00,567,46.98,38.80,-30.80
20-December-2016,1004.25,1004.25,975.95,980.50,987.827272727272727272,110,35,108661.00,61,55.45,28.30,-23.75
19-December-2016,1010.00,1014.00,996.00,1000.20,1003.341807909604519774,354,48,355183.00,147,41.53,18.00,-9.80
16-December-2016,1010.00,1027.00,1010.00,1015.95,1016.321428571428571428,280,47,284570.00,117,41.79,17.00,5.95
15-December-2016,1010.00,1028.00,990.00,1025.65,1020.817120622568093385,1028,113,1049400.00,497,48.35,38.00,15.65
14-December-2016,1000.00,1020.00,997.00,1015.35,1014.948108108108108108,925,101,938827.00,603,65.19,23.00,15.35
13-December-2016,1000.00,1004.50,1000.00,1000.15,1000.487323943661971830,1065,94,1065519.00,833,78.22,4.50,0.15
12-December-2016,1005.00,1013.35,1004.00,1010.45,1008.284782608695652173,460,59,463811.00,289,62.83,9.35,5.45
9-December-2016,1000.00,1015.00,981.00,1009.95,1003.113402061855670103,3686,139,3697476.00,2359,64.00,34.00,9.95
8-December-2016,986.30,999.05,986.30,995.90,990.387978142076502732,1464,64,1449928.00,1291,88.18,12.75,9.60
7-December-2016,982.05,993.30,982.05,989.90,985.298611111111111111,288,21,283766.00,240,83.33,11.25,7.85
6-December-2016,984.95,986.00,977.00,981.25,978.661290322580645161,310,20,303385.00,257,82.90,9.00,-3.70
5-December-2016,994.00,994.00,976.00,982.50,981.354581673306772908,251,45,246320.00,134,53.39,18.00,-11.50
2-December-2016,997.00,999.90,994.00,995.15,995.409027777777777777,4320,118,4300167.00,3773,87.34,5.90,-1.85
1-December-2016,1005.55,1005.65,996.00,998.00,998.368421052631578947,133,16,132783.00,129,96.99,9.65,-7.55
30-November-2016,1000.00,1005.00,1000.00,1002.35,1001.881355932203389830,295,34,295555.00,143,48.47,5.00,2.35
29-November-2016,1011.80,1020.00,1003.00,1007.65,1007.137318255250403877,619,66,623418.00,378,61.07,17.00,-4.15
28-November-2016,1010.00,1012.60,1000.90,1006.40,1008.883428571428571428,875,71,882773.00,580,66.29,11.70,-3.60
25-November-2016,983.90,1015.00,982.80,1010.00,1004.534071550255536626,1174,116,1179323.00,615,52.39,32.20,26.10
24-November-2016,984.00,998.00,981.20,990.60,988.893617021276595744,235,36,232390.00,127,54.04,16.80,6.60
23-November-2016,989.05,992.00,976.45,987.20,987.452857142857142857,700,66,691217.00,377,53.86,15.55,-1.85
22-November-2016,987.00,1000.00,985.00,993.75,989.167906482465462274,941,74,930807.00,700,74.39,15.00,6.75
21-November-2016,997.00,997.00,984.10,986.45,986.486440677966101694,590,47,582027.00,402,68.14,12.90,-10.55
18-November-2016,980.00,1004.90,978.20,997.20,984.764250527797325826,1421,165,1399350.00,798,56.16,26.70,17.20
17-November-2016,977.30,993.35,977.15,982.05,980.958195819581958195,909,67,891691.00,794,87.35,16.20,4.75
16-November-2016,990.00,995.00,980.70,987.15,983.288956787429070274,2291,194,2252715.00,1678,73.24,14.30,-2.85
15-November-2016,955.25,989.00,954.00,980.55,962.070247933884297520,6776,396,6518988.00,4128,60.92,35.00,25.30
11-November-2016,950.00,970.00,940.90,953.75,951.972465581977471839,1598,164,1521252.00,793,49.62,29.10,3.75
10-November-2016,975.85,977.00,955.05,959.20,960.662601626016260162,1476,157,1417938.00,811,54.95,21.95,-16.65
9-November-2016,912.50,978.75,890.95,956.85,938.863016973464021037,4183,455,3927264.00,1062,25.39,87.80,44.35
