Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,645.00,654.00,641.85,646.55,649.019545640605812525,9772,607,6342219.00,3624,37.09,12.15,1.55
29-December-2016,648.95,649.25,635.00,637.50,641.124019607843137254,2040,218,1307893.00,1051,51.52,14.25,-11.45
28-December-2016,640.80,658.60,639.05,641.00,647.618310053934448900,7231,606,4682928.00,2945,40.73,19.55,0.20
27-December-2016,636.00,641.05,630.00,634.70,635.580823431887261674,3619,341,2300167.00,1809,49.99,11.05,-1.30
26-December-2016,659.90,659.90,630.00,633.20,638.789473684210526315,6555,731,4187265.00,2959,45.14,29.90,-26.70
23-December-2016,666.05,670.50,650.00,656.00,661.466593818295348111,6406,551,4237355.00,1878,29.32,20.50,-10.05
22-December-2016,665.75,665.75,652.50,655.45,656.815578216532870470,4609,442,3027263.00,2268,49.21,13.25,-10.30
21-December-2016,676.05,679.00,661.00,664.50,665.672187981510015408,12980,571,8640425.00,5953,45.86,18.00,-11.55
20-December-2016,653.00,701.90,651.00,670.15,681.420708237105465742,38970,3326,26554965.00,4743,12.17,50.90,17.15
19-December-2016,683.00,683.00,635.00,639.55,650.944611867401018393,9623,759,6264040.00,5461,56.75,48.00,-43.45
16-December-2016,683.00,692.80,680.00,683.05,686.352132786007495984,5603,533,3845631.00,2141,38.21,12.80,0.05
15-December-2016,679.00,692.00,675.00,683.05,686.394160583941605839,4247,512,2915116.00,1150,27.08,17.00,4.05
14-December-2016,681.00,694.15,679.00,682.10,687.106280193236714975,2070,267,1422310.00,865,41.79,15.15,1.10
13-December-2016,689.40,693.00,650.00,680.55,685.719642342082492068,3467,375,2377390.00,1095,31.58,43.00,-8.85
12-December-2016,700.00,705.00,686.90,691.90,699.263759982732570688,4633,259,3239689.00,3101,66.93,18.10,-8.10
9-December-2016,697.50,710.00,693.30,697.60,702.161753868828297715,5428,479,3811334.00,1655,30.49,16.70,0.10
8-December-2016,691.80,703.10,684.00,694.05,695.304662088904951210,2767,285,1923908.00,1127,40.73,19.10,2.25
7-December-2016,700.00,700.10,678.10,683.70,690.235324947589098532,1908,202,1316969.00,1035,54.25,22.00,-16.30
6-December-2016,709.00,709.00,686.05,691.65,698.470996216897856242,1586,203,1107775.00,336,21.19,22.95,-17.35
5-December-2016,685.00,708.00,662.15,694.55,693.884415905161768337,4049,374,2809538.00,1122,27.71,45.85,9.55
2-December-2016,704.00,704.00,679.00,681.85,686.934635793535938253,4146,388,2848031.00,1875,45.22,25.00,-22.15
1-December-2016,721.20,725.95,696.00,704.35,710.333829700825775010,7387,616,5247236.00,1545,20.92,29.95,-16.85
30-November-2016,720.00,730.00,715.50,718.70,721.179101562500000000,5120,418,3692437.00,1370,26.76,14.50,-1.30
29-November-2016,725.45,735.00,710.00,712.55,724.897863818424566088,7490,523,5429485.00,2381,31.79,25.00,-12.90
28-November-2016,675.00,724.60,675.00,712.85,704.206196814313768274,9166,935,6454754.00,2993,32.65,49.60,37.85
25-November-2016,647.55,688.70,630.00,679.10,658.597712441232194231,14251,1070,9385676.00,5523,38.76,58.70,31.55
24-November-2016,599.05,654.95,590.70,632.35,629.180928208846990572,8274,957,5205843.00,1796,21.71,64.25,33.30
23-November-2016,607.50,615.00,597.05,601.10,606.240411714250704570,8161,618,4947528.00,3408,41.76,17.95,-6.40
