Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,6.55,6.82,6.47,6.73,6.671738510357614005,112188,199,748489.00,69641,62.08,0.35,0.18
29-December-2016,6.52,6.66,6.52,6.56,6.578599338743612864,43251,131,284531.00,25211,58.29,0.14,0.04
28-December-2016,6.32,6.78,6.32,6.62,6.626028189972306038,48386,111,320607.00,22954,47.44,0.46,0.30
27-December-2016,6.60,6.60,6.40,6.53,6.495522971652003910,25575,69,166123.00,12281,48.02,0.20,-0.07
26-December-2016,6.63,6.77,6.39,6.49,6.566298468804753561,65635,145,430979.00,41269,62.88,0.38,-0.14
23-December-2016,6.70,6.74,6.63,6.69,6.686834708077968757,43402,93,290222.00,25650,59.10,0.11,-0.01
22-December-2016,6.70,6.73,6.61,6.67,6.652593259776326653,26646,90,177265.00,12088,45.37,0.12,-0.03
21-December-2016,6.82,6.91,6.71,6.79,6.805103361707135292,50986,117,346965.00,25937,50.87,0.20,-0.03
20-December-2016,6.90,6.97,6.81,6.86,6.894531644546795143,99006,244,682600.00,65290,65.95,0.16,-0.04
19-December-2016,6.82,6.88,6.70,6.85,6.833567110036275695,20675,71,141284.00,14508,70.17,0.18,0.03
16-December-2016,7.00,7.00,6.70,6.75,6.802873383491841577,54361,165,369811.00,30646,56.37,0.30,-0.25
15-December-2016,6.80,6.96,6.80,6.90,6.884723824170190952,15606,54,107443.00,7052,45.19,0.16,0.10
14-December-2016,6.60,6.97,6.60,6.87,6.907343969967151572,42620,92,294391.00,33356,78.26,0.37,0.27
13-December-2016,6.80,6.98,6.77,6.96,6.920975269172821813,54426,135,376681.00,36218,66.55,0.21,0.16
12-December-2016,6.90,7.00,6.76,6.90,6.859747127720983930,53703,144,368389.00,32981,61.41,0.24,0.00
9-December-2016,7.10,7.10,6.83,6.92,6.926933485258510183,28084,81,194536.00,17255,61.44,0.27,-0.18
8-December-2016,7.02,7.02,6.83,6.89,6.874157897054290872,68133,123,468357.00,44921,65.93,0.19,-0.13
7-December-2016,6.96,6.96,6.77,6.90,6.885037239850714646,61359,107,422459.00,39050,63.64,0.19,-0.06
6-December-2016,6.70,7.00,6.70,6.96,6.888567884801548886,66112,129,455417.00,44662,67.56,0.30,0.26
5-December-2016,6.70,6.88,6.68,6.75,6.742971828500852790,68012,129,458603.00,39269,57.74,0.20,0.05
2-December-2016,7.00,7.00,6.66,6.73,6.749443757725587144,48540,156,327618.00,27152,55.94,0.34,-0.27
1-December-2016,6.93,7.00,6.86,6.91,6.944415312008390141,49582,110,344318.00,31495,63.52,0.14,-0.02
30-November-2016,7.19,7.19,6.77,6.89,6.925169745925624295,105599,216,731291.00,47496,44.98,0.42,-0.30
29-November-2016,7.24,7.24,6.59,6.94,6.973202129952323130,190239,389,1326575.00,131602,69.18,0.65,-0.30
28-November-2016,6.67,6.78,6.53,6.68,6.693303971334726784,80376,146,537981.00,46182,57.46,0.25,0.01
25-November-2016,6.45,6.67,6.20,6.60,6.567026485945404864,73926,124,485474.00,45679,61.79,0.47,0.15
24-November-2016,6.80,6.80,6.35,6.46,6.441617225398084864,55453,152,357207.00,22155,39.95,0.45,-0.34
23-November-2016,6.31,6.56,6.31,6.54,6.512288480247523962,62701,115,408327.00,38972,62.16,0.25,0.23
22-November-2016,6.56,6.73,6.32,6.49,6.506080408060508543,91359,243,594389.00,69381,75.94,0.41,-0.07
21-November-2016,6.60,6.71,6.51,6.60,6.621978998037333638,69803,168,462234.00,42646,61.09,0.20,0.00
18-November-2016,7.00,7.00,6.42,6.57,6.636516799326082965,92593,327,614495.00,56210,60.71,0.58,-0.43
17-November-2016,6.35,6.92,6.35,6.73,6.795422210689263312,111757,213,759436.00,71315,63.81,0.57,0.38
16-November-2016,7.10,7.10,6.66,6.75,6.785184136779234013,176635,377,1198501.00,128437,72.71,0.44,-0.35
15-November-2016,7.28,7.28,6.80,6.81,7.030961121084644034,149284,254,1049610.00,110343,73.91,0.48,-0.47
11-November-2016,8.18,8.18,7.25,7.34,7.373038759337889693,44041,194,324716.00,28638,65.03,0.93,-0.84
10-November-2016,7.75,7.75,7.56,7.62,7.642000216649515246,73852,191,564377.00,41656,56.40,0.19,-0.13
9-November-2016,7.49,7.60,6.45,7.43,7.186706331586892815,270264,519,1942308.00,152158,56.30,1.15,-0.06
8-November-2016,7.98,7.98,7.70,7.72,7.748519193026504234,56557,126,438233.00,34678,61.32,0.28,-0.26
7-November-2016,8.09,8.09,7.71,7.75,7.779741821185791207,100473,271,781654.00,58253,57.98,0.38,-0.34
4-November-2016,8.24,8.24,7.65,7.70,7.767911111634784760,169741,425,1318533.00,126095,74.29,0.59,-0.54
3-November-2016,8.25,8.25,7.88,7.94,8.043693850988857496,157505,312,1266922.00,77483,49.19,0.37,-0.31
