Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,564.05,569.70,545.65,565.55,560.792476888747210710,3137,460,1759206.00,1060,33.79,24.05,1.50
29-December-2016,558.50,565.50,546.50,561.65,557.243313521545319465,5384,424,3000198.00,2185,40.58,19.00,3.15
28-December-2016,548.75,561.00,543.95,555.20,552.071394910461828463,4244,325,2342991.00,1777,41.87,17.05,6.45
27-December-2016,537.10,552.45,526.05,549.15,547.625263474856970791,6642,386,3637327.00,4721,71.08,26.40,12.05
26-December-2016,552.00,552.00,519.90,530.60,533.981571290009699321,6186,651,3303210.00,1854,29.97,32.10,-21.40
23-December-2016,540.50,558.45,540.00,554.80,551.283532219570405727,8380,471,4619756.00,4399,52.49,18.45,14.30
22-December-2016,557.05,559.20,541.60,545.40,548.578376794608848520,3413,269,1872298.00,762,22.33,17.60,-11.65
21-December-2016,563.00,571.60,542.35,553.40,564.828409763800250016,45597,785,25754481.00,38690,84.85,29.25,-9.60
20-December-2016,565.50,573.00,552.55,560.50,559.691439188223524367,13994,842,7832322.00,5297,37.85,20.45,-5.00
19-December-2016,565.00,579.45,551.85,566.50,570.471354806983034177,16268,1539,9280428.00,5091,31.29,27.60,1.50
16-December-2016,550.00,567.00,549.25,562.20,558.029397300693951150,18301,1275,10212496.00,11357,62.06,17.75,12.20
15-December-2016,530.00,555.00,528.00,548.90,541.247621856795221591,13561,1454,7339859.00,6239,46.01,27.00,18.90
14-December-2016,519.40,540.90,519.40,533.15,534.862332356337152500,11259,1137,6022015.00,4521,40.15,21.50,13.75
13-December-2016,512.00,522.85,507.70,518.55,515.620290812954395241,6052,779,3120534.00,3960,65.43,15.15,6.55
12-December-2016,515.00,520.35,510.00,515.90,515.121684108055487953,4109,555,2116635.00,1579,38.43,10.35,0.90
9-December-2016,516.80,523.00,511.05,517.15,517.552358490566037735,2120,325,1097211.00,709,33.44,11.95,0.35
8-December-2016,513.80,519.00,513.15,516.85,516.516000000000000000,3000,342,1549548.00,1800,60.00,5.85,3.05
7-December-2016,517.05,519.55,510.00,511.05,515.308401276143211627,2821,111,1453685.00,355,12.58,9.55,-6.00
6-December-2016,520.70,524.00,515.00,517.00,520.401188707280832095,2019,264,1050690.00,554,27.44,9.00,-3.70
5-December-2016,521.80,529.75,517.55,522.00,525.608494921514312096,3249,347,1707702.00,1457,44.84,12.20,0.20
2-December-2016,525.00,525.50,517.15,521.90,522.193703703703703703,2700,239,1409923.00,1005,37.22,8.35,-3.10
1-December-2016,527.20,530.90,525.00,527.75,529.091913611250627825,3982,225,2106844.00,1591,39.95,5.90,0.55
30-November-2016,521.00,533.00,518.90,524.35,525.836200334906378444,6569,578,3454218.00,1633,24.86,14.10,3.35
29-November-2016,513.05,523.00,513.00,517.00,519.430056179775280898,3560,313,1849171.00,1392,39.10,10.00,3.95
28-November-2016,515.00,520.00,510.00,514.35,516.694470477975632614,1067,116,551313.00,462,43.30,10.00,-0.65
25-November-2016,506.90,523.00,506.90,520.60,518.283056400655277322,17092,1233,8858494.00,12201,71.38,16.10,13.70
24-November-2016,505.00,513.30,505.00,509.35,509.929971988795518207,714,69,364090.00,276,38.66,8.30,4.35
23-November-2016,508.00,511.35,508.00,509.90,510.000000000000000000,508,79,259080.00,292,57.48,3.35,1.90
22-November-2016,518.55,525.00,506.80,512.80,511.785116610290190493,5617,345,2874697.00,3060,54.48,18.20,-5.75
21-November-2016,511.10,522.00,511.10,518.05,518.602997400214100015,13078,740,6782290.00,5820,44.50,10.90,6.95
18-November-2016,495.25,514.65,495.00,513.05,505.501217285453438831,6572,534,3322154.00,3467,52.75,19.65,17.80
17-November-2016,495.50,500.00,492.00,494.70,495.275496077526534379,2167,200,1073262.00,849,39.18,8.00,-0.80
16-November-2016,503.50,503.50,497.15,499.55,497.926860799285720928,107521,170,53537594.00,106634,99.18,6.35,-3.95
15-November-2016,504.15,504.15,495.05,498.40,499.672492806138761590,9383,661,4688427.00,4923,52.47,9.10,-5.75
11-November-2016,503.95,513.95,495.55,500.25,504.989589712186160440,11431,388,5772536.00,1846,16.15,18.40,-3.70
10-November-2016,515.70,519.20,504.00,505.65,510.325268817204301075,8556,556,4366343.00,3236,37.82,15.20,-10.05
9-November-2016,500.00,518.00,455.25,515.85,503.123154653824899344,25334,1685,12746122.00,11050,43.62,62.75,15.85
8-November-2016,511.00,519.00,502.00,515.30,514.308399861159319680,11524,647,5926890.00,6969,60.47,17.00,4.30
7-November-2016,425.00,515.15,425.00,510.85,504.642317515795133754,37195,1026,18770171.00,25997,69.89,90.15,85.85
4-November-2016,515.00,516.00,476.50,511.25,498.371131416522063830,91054,2596,45378685.00,69333,76.14,39.50,-3.75
3-November-2016,525.00,525.00,503.65,505.45,513.510700472711645896,11635,785,5974697.00,4142,35.60,21.35,-19.55
2-November-2016,512.35,523.90,509.20,521.30,509.738042365061499305,197238,426,100539712.00,194203,98.46,14.70,8.95
1-November-2016,515.00,519.50,511.70,516.85,514.233508084225457403,104339,457,53654610.00,102336,98.08,7.80,1.85
30-October-2016,514.00,515.00,512.00,512.20,512.708333333333333333,192,23,98440.00,130,67.71,3.00,-1.80
28-October-2016,507.40,514.45,507.40,511.30,511.979475100942126514,2972,250,1521603.00,1286,43.27,7.05,3.90
27-October-2016,511.00,512.00,504.15,506.35,508.428781564108850208,4079,203,2073881.00,2849,69.85,7.85,-4.65
26-October-2016,508.75,512.00,502.00,508.25,506.846891591025860592,5839,480,2959479.00,2480,42.47,10.00,-0.50
25-October-2016,510.80,513.20,506.45,508.75,508.913904761904761904,5250,553,2671798.00,3033,57.77,6.75,-2.05
24-October-2016,518.35,518.40,509.00,510.30,511.345806451612903225,4650,333,2377758.00,2886,62.06,9.40,-8.05
21-October-2016,518.00,523.00,510.00,516.60,513.704724409448818897,6350,694,3262025.00,2062,32.47,13.00,-1.40
20-October-2016,519.50,524.75,518.00,521.20,520.139855072463768115,4140,367,2153379.00,1664,40.19,6.75,1.70
