Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,205.95,208.90,205.95,207.15,207.652652309800059939,70071,879,14550429.00,23447,33.46,2.95,1.20
29-December-2016,201.65,207.80,201.10,205.85,205.530627203562813137,107780,1499,22152091.00,24818,23.03,6.70,4.20
28-December-2016,200.00,203.80,199.40,201.65,202.009079876595558024,68393,1043,13816007.00,9974,14.58,4.40,1.65
27-December-2016,201.00,201.05,194.50,198.50,197.287176157793853954,97038,1417,19144353.00,24791,25.55,6.55,-2.50
26-December-2016,205.00,205.00,200.00,201.65,202.469076978331138513,41765,489,8456121.00,21590,51.69,5.00,-3.35
23-December-2016,207.00,207.00,203.30,204.25,204.552660427653215476,86659,757,17726329.00,31863,36.77,3.70,-2.75
22-December-2016,206.00,206.80,201.50,203.25,203.637693724937682887,27681,508,5636895.00,6467,23.36,5.30,-2.75
21-December-2016,207.55,208.70,205.60,206.55,207.074932662162758864,45294,814,9379252.00,14028,30.97,3.10,-1.00
20-December-2016,208.90,209.95,204.20,205.40,206.390840458215246850,41989,718,8666145.00,10805,25.73,5.75,-3.50
19-December-2016,206.90,209.30,205.90,207.25,207.441453276764370167,46433,611,9632129.00,15366,33.09,3.40,0.35
16-December-2016,207.80,209.00,205.25,205.95,206.631298938695331896,36653,473,7573657.00,11674,31.85,3.75,-1.85
15-December-2016,207.00,211.80,205.50,206.60,209.189266482520018972,71682,1182,14995105.00,17796,24.83,6.30,-0.40
14-December-2016,209.45,213.50,205.80,207.10,210.396076074408197755,168046,2221,35356219.00,29779,17.72,7.70,-2.35
13-December-2016,205.55,209.50,205.50,208.55,207.535172519200641931,52342,801,10862806.00,12206,23.32,4.00,3.00
12-December-2016,208.90,210.00,204.55,205.20,206.730221412177669771,59256,791,12250006.00,17359,29.29,5.45,-3.70
9-December-2016,199.05,209.55,199.05,207.80,207.779113924050632911,105860,1865,21995497.00,23080,21.80,10.50,8.75
8-December-2016,202.50,204.50,201.75,202.55,202.814197446107373335,36415,763,7385479.00,7956,21.85,2.75,0.05
7-December-2016,204.25,204.50,200.25,201.45,202.383914183322510041,41577,549,8414516.00,9528,22.92,4.25,-2.80
6-December-2016,202.10,206.20,202.00,202.60,203.936352396242779899,54189,1084,11051107.00,12150,22.42,4.20,0.50
5-December-2016,201.00,204.90,200.30,203.45,202.961001013266724792,42437,599,8613056.00,5143,12.12,4.60,2.45
2-December-2016,205.00,210.70,199.90,202.55,206.180808978136244240,156469,2753,32260905.00,33241,21.24,10.80,-2.45
1-December-2016,206.00,210.75,203.55,206.45,207.840716352389504140,80184,1341,16665500.00,15699,19.58,7.20,0.45
30-November-2016,205.00,207.80,203.30,205.85,205.397637172342258399,56881,905,11683223.00,10107,17.77,4.50,0.85
29-November-2016,201.85,206.25,201.85,203.55,204.047764292220033466,47211,678,9633299.00,7669,16.24,4.40,1.70
28-November-2016,204.35,209.95,203.20,204.55,206.836751972291706753,129925,2043,26873265.00,23003,17.70,6.75,0.20
25-November-2016,190.95,205.90,190.75,204.40,201.955919068524527581,261950,3149,52902353.00,50755,19.38,15.15,13.45
24-November-2016,189.35,192.55,188.65,190.45,190.670432313960843151,67983,1078,12962348.00,8183,12.04,3.90,1.10
23-November-2016,192.90,192.90,186.50,189.35,188.772075363564725266,139590,1997,26350694.00,16882,12.09,6.40,-3.55
22-November-2016,190.30,192.85,187.50,190.55,190.016624564757288181,87882,1369,16699041.00,10810,12.30,5.35,0.25
21-November-2016,195.00,196.50,187.20,188.05,191.499135996186465926,50347,610,9641407.00,13183,26.18,9.30,-6.95
18-November-2016,195.00,196.80,191.75,195.30,195.086513823331085637,74150,1289,14465665.00,13153,17.74,5.05,0.30
17-November-2016,186.05,194.00,186.05,191.80,192.442786069651741293,34974,830,6730494.00,5654,16.17,7.95,5.75
16-November-2016,186.60,194.40,186.60,191.45,191.888909834401554479,68962,906,13233043.00,16129,23.39,7.80,4.85
15-November-2016,191.80,191.80,186.10,187.90,188.410743898916195020,93467,878,17610187.00,16624,17.79,5.70,-3.90
11-November-2016,195.10,196.55,190.50,191.75,193.693784760280923963,49266,814,9542518.00,13508,27.42,6.05,-3.35
10-November-2016,196.50,200.65,196.25,197.50,198.318015780245470485,54752,755,10858308.00,12773,23.33,4.40,1.00
9-November-2016,198.00,198.00,185.25,195.20,191.760932909861219528,167819,2448,32181128.00,26834,15.99,12.75,-2.80
8-November-2016,203.50,207.00,202.85,203.75,204.846699268763924454,108173,1733,22158882.00,29495,27.27,4.15,0.25
7-November-2016,196.10,204.25,196.10,202.25,202.560550458715596330,94830,1377,19208817.00,21410,22.58,8.15,6.15
4-November-2016,198.00,200.50,194.95,198.00,197.376403578586017432,104287,1521,20583793.00,22877,21.94,5.55,0.00
3-November-2016,201.00,201.50,197.25,198.00,199.495762778983383757,63131,851,12594367.00,23974,37.98,4.25,-3.00
2-November-2016,204.05,204.05,200.10,201.05,202.007412207225716724,63274,812,12781817.00,21850,34.53,3.95,-3.00
1-November-2016,201.10,208.15,201.10,204.05,204.735790888783318003,98933,1454,20255126.00,27053,27.34,7.05,2.95
30-October-2016,205.50,206.00,203.95,204.35,204.565738301342366077,15942,399,3261187.00,6761,42.41,2.05,-1.15
28-October-2016,200.00,205.60,198.85,204.20,203.973700713964108831,124376,2104,25369433.00,46113,37.08,6.75,4.20
27-October-2016,201.05,201.60,196.20,200.55,198.954287825317661698,102861,1362,20464637.00,37760,36.71,5.40,-0.50
26-October-2016,203.00,206.00,200.00,201.60,203.436157430112800392,163120,2489,33184506.00,37697,23.11,6.00,-1.40
25-October-2016,197.50,210.60,194.95,202.40,203.536603167053459403,731658,10490,148919184.00,97958,13.39,15.65,4.90
24-October-2016,199.70,199.95,196.15,197.10,197.871346179432743091,172867,2034,34205426.00,71334,41.27,3.80,-2.60
21-October-2016,194.80,197.25,193.35,196.65,195.737168035583148004,192001,3101,37581732.00,62972,32.80,3.90,1.85
20-October-2016,189.75,193.40,188.80,191.70,191.712845359781398643,79048,1353,15154517.00,31094,39.34,4.60,1.95
19-October-2016,183.95,190.35,183.50,188.30,187.469159947389489334,87435,1338,16391366.00,26107,29.86,6.85,4.35
18-October-2016,178.80,184.90,178.30,183.30,180.984485397404448917,95394,1881,17264834.00,33586,35.21,6.60,4.50
17-October-2016,182.35,183.70,178.10,178.80,180.065911015569018304,76755,1114,13820959.00,25968,33.83,5.60,-3.55
14-October-2016,183.55,185.85,180.00,182.35,182.589223287697986446,51203,852,9349116.00,17207,33.61,5.85,-1.20
13-October-2016,186.00,186.55,181.05,182.85,183.773520093380023345,59970,907,11020898.00,20704,34.52,5.50,-3.15
10-October-2016,184.10,188.20,184.10,185.45,186.140418431523552817,54537,869,10151540.00,12888,23.63,4.10,1.35
7-October-2016,185.00,185.50,183.30,184.00,184.140043551228172374,72099,906,13276313.00,22423,31.10,2.20,-1.00
6-October-2016,189.95,190.45,185.75,186.25,188.169911419218178316,103860,1148,19543327.00,27149,26.14,4.70,-3.70
5-October-2016,193.30,195.00,189.00,190.35,192.581046936956321273,325330,2866,62652392.00,37775,11.61,6.00,-2.95
5-October-2016,193.30,195.00,189.00,190.35,192.581046936956321273,325330,2866,62652392.00,37775,11.61,6.00,-2.95
4-October-2016,191.15,194.10,190.50,192.20,192.552701004563525599,136079,1635,26202379.00,12136,8.92,3.60,1.05
3-October-2016,189.00,192.45,189.00,191.00,190.649645486773929642,58672,746,11185796.00,13220,22.53,3.45,2.00
30-September-2016,191.00,191.00,183.95,188.70,187.790092393994390364,48488,765,9105566.00,12617,26.02,7.05,-2.30
29-September-2016,196.00,196.05,184.00,187.25,191.925557019828986484,130516,1457,25049356.00,24722,18.94,12.05,-8.75
28-September-2016,196.45,198.80,193.60,194.65,195.578965008320152408,170069,1759,33261919.00,6454,3.79,5.20,-1.80
27-September-2016,193.50,197.90,193.00,196.45,195.875024167665596844,77583,993,15196572.00,25919,33.41,4.90,2.95
26-September-2016,196.10,196.15,192.00,193.10,193.735577447380857174,55018,901,10658944.00,17894,32.52,4.15,-3.00
23-September-2016,195.10,198.05,195.00,196.10,196.357553214995949031,81462,944,15995679.00,29428,36.12,3.05,1.00
22-September-2016,197.70,198.90,193.50,195.10,195.339762991843225773,77972,1098,15231032.00,23816,30.54,5.40,-2.60
21-September-2016,196.00,197.45,192.10,196.30,194.805988056858147713,109184,1866,21269697.00,20315,18.61,5.35,0.30
20-September-2016,198.25,201.30,195.50,196.40,198.618994858714280020,125455,964,24917746.00,86071,68.61,5.80,-1.85
19-September-2016,201.15,202.60,199.55,200.05,200.761610534312484173,39490,655,7928076.00,12416,31.44,3.05,-1.10
16-September-2016,201.90,202.70,198.55,200.60,200.822971862266757602,57183,1079,11483660.00,14773,25.83,4.15,-1.30
