Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,192.50,198.00,192.00,193.00,195.278019219348917561,148184,4096,28937078.00,38458,25.95,6.00,0.50
29-December-2016,187.75,193.30,187.00,191.15,191.041822864866243337,117639,2262,22473969.00,23896,20.31,6.30,3.40
28-December-2016,192.00,195.50,183.60,186.05,191.672185643511270294,139881,2555,26811297.00,41215,29.46,11.90,-5.95
27-December-2016,183.00,192.60,182.00,189.80,188.669403438288330374,171248,3757,32309258.00,37616,21.97,10.60,6.80
26-December-2016,188.75,189.45,180.00,181.35,183.327024170821591155,73808,1825,13531001.00,15754,21.34,9.45,-7.40
23-December-2016,180.00,190.90,180.00,188.75,186.159986804222648752,166720,3875,31036593.00,26781,16.06,10.90,8.75
22-December-2016,186.90,188.95,178.20,180.70,181.807745836732735038,104185,2412,18941640.00,21641,20.77,10.75,-6.20
21-December-2016,197.70,197.70,184.20,186.00,190.134742037090063838,118738,2196,22576219.00,37410,31.51,13.50,-11.70
20-December-2016,197.80,202.10,192.50,193.90,196.830165125518537609,285177,5451,56131436.00,56930,19.96,9.60,-3.90
19-December-2016,187.40,198.55,184.55,195.45,193.897869873425575479,515744,9839,100001663.00,115047,22.31,14.00,8.05
16-December-2016,184.40,187.30,180.65,183.40,184.325189546323376031,234903,3557,43298540.00,73289,31.20,6.65,-1.00
15-December-2016,172.00,188.60,171.50,183.30,182.559982947278669887,527775,10188,96350595.00,85692,16.24,17.10,11.30
14-December-2016,173.90,177.50,170.40,170.70,173.266790232494495515,80389,1960,13928744.00,35012,43.55,7.10,-3.20
13-December-2016,169.00,178.80,165.00,173.10,174.422046302542771182,312769,6273,54553809.00,108125,34.57,13.80,4.10
12-December-2016,163.00,169.00,163.00,166.70,166.367003666259304521,45005,1207,7487347.00,25949,57.66,6.00,3.70
9-December-2016,160.85,166.00,157.85,163.55,163.468998832931999822,67691,1539,11065380.00,20301,29.99,8.15,2.70
8-December-2016,159.00,162.25,157.70,159.30,159.638601823708206686,13160,432,2100844.00,6129,46.57,4.55,0.30
7-December-2016,163.50,163.50,156.50,157.05,158.699576244386819303,15811,425,2509199.00,5474,34.62,7.00,-6.45
6-December-2016,155.55,166.20,155.40,158.15,160.709258656518364587,79882,1990,12837777.00,29428,36.84,10.80,2.60
5-December-2016,156.30,157.65,153.00,154.45,155.061248211731044349,22368,577,3468410.00,14387,64.32,4.65,-1.85
2-December-2016,153.50,162.75,153.00,155.05,157.625112845839307524,37662,892,5936477.00,13960,37.07,9.75,1.55
1-December-2016,155.00,158.00,153.20,153.85,154.976297629762976297,6666,187,1033072.00,3628,54.43,4.80,-1.15
30-November-2016,157.50,157.75,155.65,156.50,156.649875621890547263,3216,120,503786.00,2164,67.29,2.10,-1.00
29-November-2016,159.00,159.90,156.00,156.30,157.896432066909867425,11239,393,1774598.00,4684,41.68,3.90,-2.70
28-November-2016,159.70,160.40,157.65,158.40,158.744420534890869966,16265,445,2581978.00,8535,52.47,2.75,-1.30
25-November-2016,151.00,159.00,147.85,158.10,155.655809410565653134,23548,857,3665383.00,13917,59.10,11.15,7.10
24-November-2016,148.20,151.25,147.00,148.10,148.773013201027731017,11287,298,1679201.00,4010,35.53,4.25,-0.10
23-November-2016,150.00,150.95,145.75,146.45,147.748815819728673258,21745,419,3212798.00,15299,70.36,5.20,-3.55
22-November-2016,153.35,153.35,144.00,147.35,147.114500843827080358,46218,1168,6799338.00,29464,63.75,9.35,-6.00
21-November-2016,153.50,155.40,149.75,150.60,150.371002528633050721,53784,380,8087554.00,46344,86.17,5.65,-2.90
18-November-2016,153.50,153.90,152.50,152.55,152.901090028259991925,2477,169,378736.00,1862,75.17,1.40,-0.95
17-November-2016,154.00,155.75,152.00,153.25,153.525122111457053900,35009,681,5374761.00,25481,72.78,3.75,-0.75
16-November-2016,156.95,156.95,150.00,152.70,152.007786571355629308,15668,401,2381658.00,9855,62.90,6.95,-4.25
15-November-2016,151.70,153.45,149.60,150.25,150.786871458923512747,22592,384,3406577.00,19017,84.18,3.85,-1.45
11-November-2016,154.55,154.55,150.55,151.50,152.042903619357462383,39344,326,5981976.00,31959,81.23,4.00,-3.05
10-November-2016,159.20,161.95,157.00,157.65,158.322277545775778991,12452,332,1971429.00,6445,51.76,4.95,-1.55
9-November-2016,152.00,159.80,147.75,157.05,155.020050896277860119,35759,674,5543362.00,15220,42.56,12.05,5.05
8-November-2016,165.15,165.15,160.25,161.10,162.560105619122620095,21587,485,3509185.00,10313,47.77,4.90,-4.05
7-November-2016,164.00,166.00,160.40,163.75,163.943609188307393853,22681,443,3718405.00,9298,40.99,5.60,-0.25
4-November-2016,161.00,164.90,156.25,159.80,160.600020332779829882,29509,619,4739146.00,13801,46.77,8.65,-1.20
3-November-2016,155.00,174.00,152.50,162.45,165.395348391945126533,208917,4385,34553900.00,50325,24.09,21.50,7.45
2-November-2016,156.00,156.90,153.95,154.15,155.464012329822758797,19465,431,3026107.00,8878,45.61,2.95,-1.85
1-November-2016,157.50,158.45,154.80,156.20,155.930284493640159238,10299,202,1605926.00,5400,52.43,3.65,-1.30
30-October-2016,156.35,158.00,154.80,156.45,156.375500519056799644,6743,148,1054440.00,4254,63.09,3.20,0.10
28-October-2016,154.00,155.50,152.10,153.10,153.813901216068238141,17351,398,2668825.00,6133,35.35,3.40,-0.90
27-October-2016,155.00,155.00,152.85,153.35,154.108270989193682460,4812,67,741569.00,3360,69.83,2.15,-1.65
26-October-2016,153.50,155.90,153.45,154.60,154.720938805603342344,16276,304,2518238.00,10360,63.65,2.45,1.10
25-October-2016,156.25,156.30,153.50,153.85,154.274663530641578465,7653,193,1180664.00,4118,53.81,2.80,-2.40
24-October-2016,156.00,156.80,154.60,155.00,155.561251707761368811,15371,300,2391132.00,7377,47.99,2.20,-1.00
21-October-2016,154.75,156.90,154.75,156.10,156.137493389740877842,13237,257,2066792.00,5170,39.06,2.15,1.35
