Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,819.60,830.35,816.70,827.40,825.257267631338808499,46026,2219,37983291.00,11785,25.61,13.65,7.80
29-December-2016,807.40,825.00,806.55,819.60,816.221470817477419650,130866,1620,106815639.00,103324,78.95,18.45,12.20
28-December-2016,810.00,818.00,804.80,807.35,811.970791118775598189,27834,1183,22600395.00,9902,35.58,13.20,-2.65
27-December-2016,790.00,809.50,787.70,803.10,801.319876813476308856,26951,1250,21596372.00,5677,21.06,21.80,13.10
26-December-2016,792.00,797.80,783.95,791.00,791.023518041237113402,27936,1303,22098033.00,7336,26.26,13.85,-1.00
23-December-2016,815.00,815.00,791.05,794.10,800.007307860740091964,36536,1370,29229067.00,7910,21.65,23.95,-20.90
22-December-2016,820.00,822.50,807.40,817.90,814.929296328897633718,38626,1705,31477459.00,13385,34.65,15.10,-2.10
21-December-2016,833.00,836.90,816.00,820.30,827.052176326379573523,43238,2156,35760082.00,18987,43.91,20.90,-12.70
20-December-2016,825.00,832.00,825.00,829.00,830.495685191577493959,98498,1707,81802164.00,71741,72.83,7.00,4.00
19-December-2016,817.00,826.70,813.70,824.75,820.401184970743734743,81521,824,66879925.00,65995,80.95,13.00,7.75
16-December-2016,834.00,834.00,816.00,820.55,820.989291663361624494,25214,1809,20700424.00,7028,27.87,18.00,-13.45
15-December-2016,824.80,840.00,822.00,831.75,833.462411223827379395,103209,4179,86020822.00,24289,23.53,18.00,6.95
14-December-2016,804.60,822.95,797.00,819.90,815.045512247353489861,90591,3665,73835788.00,25442,28.08,25.95,15.30
13-December-2016,801.15,803.00,791.70,799.75,797.245431346723740533,24296,986,19369875.00,7626,31.39,11.30,-1.40
12-December-2016,795.00,803.00,790.30,799.60,796.256752972326179383,117837,972,93828507.00,102350,86.86,12.70,4.60
9-December-2016,799.10,805.60,783.00,801.25,798.862637195585418503,197346,3948,157652346.00,16920,8.57,22.60,2.15
8-December-2016,778.00,798.90,778.00,795.15,794.532917454137240134,140746,1396,111827330.00,9060,6.44,20.90,17.15
7-December-2016,787.00,788.40,772.00,784.75,783.760681351547015749,337036,2220,264155565.00,305406,90.62,16.40,-2.25
6-December-2016,795.00,801.55,782.60,785.00,790.106474958370692967,31228,1535,24673445.00,9873,31.62,18.95,-10.00
5-December-2016,791.00,800.20,782.85,792.55,791.195999678689051329,24898,1169,19699198.00,3858,15.50,17.35,1.55
2-December-2016,804.00,816.00,787.20,793.35,805.213470632268901425,54771,2189,44102347.00,11279,20.59,28.80,-10.65
1-December-2016,803.15,806.40,792.00,801.70,799.019441287312316803,33434,1398,26714416.00,11762,35.18,14.40,-1.45
30-November-2016,810.60,810.75,798.95,802.80,803.031979284673895452,30895,1381,24809673.00,8270,26.77,11.80,-7.80
29-November-2016,810.00,813.15,800.00,805.65,807.848166416470083637,37304,1354,30135968.00,10251,27.48,13.15,-4.35
28-November-2016,804.20,811.85,791.70,803.15,804.592427053466014504,59290,2340,47704285.00,13857,23.37,20.15,-1.05
25-November-2016,771.70,812.00,771.05,800.95,798.332000511349109400,140804,7008,112408339.00,42975,30.52,40.95,29.25
24-November-2016,763.00,771.90,753.95,766.15,765.108644151837364332,54453,2399,41662461.00,5987,10.99,17.95,3.15
23-November-2016,764.05,767.00,756.00,762.75,761.979238599165956683,22301,939,16992899.00,4199,18.83,11.00,-1.30
22-November-2016,761.40,766.50,755.60,760.90,762.227879937329924960,24254,1038,18487075.00,4483,18.48,10.90,-0.50
21-November-2016,765.00,778.90,756.55,759.15,768.648029657618478977,56107,2040,43126535.00,10177,18.14,22.35,-5.85
18-November-2016,760.50,779.00,760.10,762.45,768.084978260033090923,51978,2235,39923521.00,9372,18.03,18.90,1.95
17-November-2016,768.80,774.90,756.05,760.20,761.216482683982683982,739200,2506,562691224.00,710298,96.09,18.85,-8.60
