Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,247.30,251.55,247.30,250.20,249.582526458004953839,4441,170,1108396.00,2097,47.22,4.25,2.90
29-December-2016,248.00,248.50,246.90,247.30,247.747105966162065894,1123,68,278220.00,816,72.66,1.60,-0.70
28-December-2016,245.00,248.25,243.70,244.25,246.051853992450376578,55367,183,13623153.00,53395,96.44,4.55,-0.75
27-December-2016,245.90,247.90,243.00,243.40,244.836489288182446440,7235,238,1771392.00,4083,56.43,4.90,-2.50
26-December-2016,243.15,245.90,228.80,241.20,240.936586932091828543,6229,337,1500794.00,3447,55.34,17.10,-1.95
23-December-2016,248.00,248.00,241.65,243.15,245.747685924034471752,6266,182,1539855.00,5157,82.30,6.35,-4.85
22-December-2016,250.50,251.00,247.00,249.15,249.267655367231638418,1416,94,352963.00,740,52.26,4.00,-1.35
21-December-2016,254.90,255.35,245.05,250.00,251.998858610358111000,7009,212,1766260.00,4219,60.19,10.30,-4.90
20-December-2016,254.65,255.90,251.00,253.00,253.407798078734224901,5309,154,1345342.00,3087,58.15,4.90,-1.65
19-December-2016,251.00,254.00,249.80,252.15,251.199931938063637910,5877,145,1476302.00,4800,81.67,4.20,1.15
16-December-2016,255.00,255.05,248.60,250.10,251.075388026607538802,4510,151,1132350.00,2258,50.07,6.45,-4.90
15-December-2016,255.00,258.35,251.20,252.25,254.624686346863468634,27100,1047,6900329.00,7804,28.80,7.15,-2.75
14-December-2016,241.35,253.85,240.00,250.35,249.614966624023103522,78949,1777,19706852.00,11113,14.08,13.85,9.00
13-December-2016,240.50,240.50,239.20,239.20,239.655677655677655677,2457,25,588834.00,2384,97.03,1.30,-1.30
12-December-2016,240.45,243.00,238.00,240.30,240.593859649122807017,3420,168,822831.00,1570,45.91,5.00,-0.15
9-December-2016,237.00,242.50,237.00,240.85,240.909334763948497854,1864,83,449055.00,1205,64.65,5.50,3.85
8-December-2016,238.05,240.80,233.00,239.35,239.455180442374854481,3436,230,822768.00,1369,39.84,7.80,1.30
7-December-2016,237.50,238.00,236.00,236.50,237.185000000000000000,600,51,142311.00,210,35.00,2.00,-1.00
6-December-2016,240.00,241.35,235.85,236.00,237.724740640505187189,8868,234,2108143.00,5904,66.58,5.50,-4.00
5-December-2016,240.50,240.50,237.35,238.25,238.327868852459016393,122,18,29076.00,66,54.10,3.15,-2.25
2-December-2016,242.50,244.00,238.45,238.75,242.093226256983240223,2864,72,693355.00,2128,74.30,5.55,-3.75
1-December-2016,241.95,242.80,237.00,240.70,239.980744266551276503,4622,165,1109191.00,1005,21.74,5.80,-1.25
