Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,134.25,135.30,133.35,134.00,134.282136969210889809,22443,351,3013694.00,7330,32.66,1.95,-0.25
29-December-2016,134.90,136.10,132.80,133.45,134.536144578313253012,23406,332,3148953.00,5054,21.59,3.30,-1.45
28-December-2016,135.00,136.30,134.50,134.90,135.228792614668895834,27514,384,3720685.00,8691,31.59,1.80,-0.10
27-December-2016,135.50,135.80,132.80,134.10,134.134203990064898645,49924,481,6696516.00,22732,45.53,3.00,-1.40
26-December-2016,137.35,137.35,133.50,134.70,134.728591389979373211,60116,573,8099344.00,25379,42.22,3.85,-2.65
23-December-2016,138.05,138.40,136.10,136.80,137.216653713183072923,37313,717,5119965.00,10316,27.65,2.30,-1.25
22-December-2016,136.95,138.20,135.30,137.20,136.620002184837229626,54924,1417,7503717.00,18039,32.84,2.90,0.25
21-December-2016,139.70,139.70,136.90,137.95,137.844470873906687479,40359,729,5563265.00,11873,29.42,2.80,-1.75
20-December-2016,141.00,141.00,136.05,136.75,138.078839268062298178,91046,1082,12571526.00,24375,26.77,4.95,-4.25
19-December-2016,137.95,139.00,136.10,137.90,137.271101383914754388,45234,506,6209321.00,18188,40.21,2.90,-0.05
16-December-2016,138.85,139.80,136.65,137.25,138.145000974468914441,51310,876,7088220.00,16928,32.99,3.15,-1.60
15-December-2016,135.85,140.45,135.10,138.45,138.672330903476714416,204676,3723,28382898.00,53789,26.28,5.35,2.60
14-December-2016,134.50,138.40,134.35,135.10,136.542382656782751776,176853,3151,24147930.00,45211,25.56,4.05,0.60
13-December-2016,131.70,135.20,130.50,133.95,132.802277312678277405,86242,941,11453134.00,30752,35.66,4.70,2.25
12-December-2016,133.50,133.50,130.60,131.15,131.760285474391267842,33348,461,4393942.00,10300,30.89,2.90,-2.35
9-December-2016,134.00,134.90,132.80,133.60,133.930016989586175934,113599,1763,15214316.00,27789,24.46,2.10,-0.40
8-December-2016,132.85,132.85,130.45,131.75,131.407223660896824315,36685,724,4820674.00,13672,37.27,2.40,-1.10
