Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,101.00,104.40,99.00,100.55,102.163036162271308817,32686,601,3339301.00,10110,30.93,5.40,-0.45
29-December-2016,101.60,103.55,98.60,100.15,100.657173310594755915,46910,652,4721828.00,14576,31.07,4.95,-1.45
28-December-2016,102.20,105.50,101.00,101.65,103.370037563526552257,54308,1647,5613820.00,15000,27.62,4.50,-0.55
27-December-2016,97.70,104.20,97.70,101.25,101.947542608873142923,68589,1696,6992480.00,6689,9.75,6.50,3.55
26-December-2016,107.40,107.50,97.00,97.70,101.809777700084491448,34323,774,3494417.00,15444,45.00,10.50,-9.70
23-December-2016,108.10,111.80,106.00,106.80,109.156357388316151202,37248,955,4065856.00,9945,26.70,5.80,-1.30
22-December-2016,110.55,112.50,106.60,107.55,108.946350101659342821,60988,1728,6644420.00,13557,22.23,5.90,-3.00
21-December-2016,108.00,114.95,106.15,109.95,111.345610447748634707,118839,2895,13232201.00,15297,12.87,8.80,1.95
20-December-2016,113.25,114.10,106.20,107.30,109.947223857170884834,35679,703,3922807.00,9914,27.79,7.90,-5.95
19-December-2016,116.00,118.60,110.20,111.40,114.761322638564932122,119186,2587,13677943.00,13749,11.54,8.40,-4.60
16-December-2016,111.30,115.90,111.00,111.65,113.293128242000924451,38942,917,4411861.00,8594,22.07,4.90,0.35
15-December-2016,110.50,117.10,110.50,112.70,114.326009414572697739,75415,1785,8621896.00,14131,18.74,6.60,2.20
14-December-2016,114.00,119.30,109.50,110.70,115.337108864209809013,108594,2264,12524918.00,18665,17.19,9.80,-3.30
13-December-2016,117.05,121.60,113.35,115.40,117.780064864353013588,84484,2191,9950531.00,14686,17.38,8.25,-1.65
12-December-2016,107.00,123.40,104.30,116.45,116.634397760240206122,492910,8101,57490261.00,79299,16.09,19.10,9.45
9-December-2016,92.50,107.30,92.50,105.90,102.261119465329991645,209475,2919,21421148.00,43065,20.56,14.80,13.40
8-December-2016,89.45,90.60,87.00,89.45,88.048392554991539763,2955,41,260183.00,1559,52.76,3.60,0.00
