Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,3101.85,3137.65,3094.85,3119.15,3117.859154929577464788,1065,235,3320520.00,371,34.84,42.80,17.30
29-December-2016,3115.15,3138.80,3090.20,3103.75,3110.778645833333333333,768,302,2389078.00,397,51.69,48.60,-11.40
28-December-2016,3156.90,3157.40,3078.00,3107.45,3118.675911251980982567,1262,469,3935769.00,645,51.11,79.40,-49.45
27-December-2016,3118.65,3180.00,3085.00,3151.10,3134.314087759815242494,866,317,2714316.00,296,34.18,95.00,32.45
26-December-2016,3183.45,3214.30,3123.00,3133.25,3148.483229813664596273,805,381,2534529.00,322,40.00,91.30,-50.20
23-December-2016,3177.80,3220.00,3156.00,3195.55,3183.416030534351145038,1310,429,4170275.00,490,37.40,64.00,17.75
22-December-2016,3166.25,3196.00,3152.60,3180.25,3178.228888888888888888,900,266,2860406.00,465,51.67,43.40,14.00
21-December-2016,3176.85,3210.00,3160.00,3174.85,3190.256312529776083849,2099,315,6696348.00,1137,54.17,50.00,-2.00
20-December-2016,3143.80,3180.00,3120.20,3163.30,3151.099264705882352941,816,289,2571297.00,348,42.65,59.80,19.50
19-December-2016,3156.60,3189.00,3136.70,3150.45,3160.579606440071556350,559,174,1766764.00,243,43.47,52.30,-6.15
16-December-2016,3137.20,3198.00,3112.50,3181.70,3148.342175066312997347,1508,303,4747700.00,779,51.66,85.50,44.50
15-December-2016,3145.00,3200.00,3114.20,3144.10,3163.457537586347013409,2461,413,7785269.00,1036,42.10,85.80,-0.90
14-December-2016,3141.60,3155.90,3124.00,3134.45,3135.919622425629290617,3496,114,10963175.00,3334,95.37,31.90,-7.15
13-December-2016,3129.50,3150.00,3090.00,3143.45,3124.604058721934369602,2316,419,7236583.00,957,41.32,60.00,13.95
12-December-2016,3130.60,3175.00,3105.30,3146.10,3138.046527424010867719,5889,865,18479956.00,3258,55.32,69.70,15.50
9-December-2016,3115.00,3175.00,3113.00,3158.90,3150.064367816091954022,1305,251,4110834.00,744,57.01,62.00,43.90
8-December-2016,3073.40,3140.00,3073.40,3122.85,3122.029890276201286416,2643,636,8251525.00,1891,71.55,66.60,49.45
7-December-2016,3012.90,3079.90,3010.00,3060.90,3051.450127877237851662,391,141,1193117.00,126,32.23,69.90,48.00
6-December-2016,3020.00,3042.65,2994.40,3026.95,3014.940298507462686567,1206,252,3636018.00,540,44.78,48.25,6.95
5-December-2016,3016.20,3051.95,2990.50,3028.60,3027.199404761904761904,336,139,1017139.00,87,25.89,61.45,12.40
2-December-2016,3022.60,3025.00,2985.10,3008.35,3004.842718446601941747,515,216,1547494.00,295,57.28,39.90,-14.25
1-December-2016,3050.05,3050.05,3011.40,3027.85,3031.838709677419354838,744,317,2255688.00,329,44.22,38.65,-22.20
30-November-2016,3100.00,3100.00,3035.45,3056.20,3047.786359530261969286,2214,485,6747799.00,733,33.11,64.55,-43.80
29-November-2016,3059.00,3109.00,3050.05,3073.10,3079.701438848920863309,1946,356,5993099.00,1139,58.53,58.95,14.10
28-November-2016,3051.60,3097.00,3040.45,3052.10,3051.990255785627283800,821,153,2505684.00,452,55.05,56.55,0.50
25-November-2016,2895.00,3070.80,2895.00,3054.65,3045.617812061711079943,1426,295,4343051.00,551,38.64,175.80,159.65
24-November-2016,2880.00,2986.25,2867.20,2943.40,2925.787362637362637362,1820,353,5324933.00,700,38.46,119.05,63.40
23-November-2016,2850.00,2965.85,2795.75,2885.70,2822.877928656863434883,14213,1008,40121564.00,11258,79.21,170.10,35.70
22-November-2016,2920.00,2972.70,2811.45,2842.75,2855.537872636585082937,8621,410,24617592.00,6536,75.81,161.25,-77.25
21-November-2016,3000.40,3060.00,2920.00,2944.05,2975.567665758401453224,1101,228,3276100.00,523,47.50,140.00,-56.35
18-November-2016,3019.60,3040.00,3000.00,3016.70,3012.953103448275862068,1450,187,4368782.00,627,43.24,40.00,-2.90
17-November-2016,3019.60,3079.05,2990.00,2996.95,3012.150489759572573463,1123,341,3382645.00,532,47.37,89.05,-22.65
16-November-2016,3099.00,3118.20,3053.00,3070.15,3084.188000000000000000,1500,270,4626282.00,691,46.07,65.20,-28.85
15-November-2016,3190.00,3194.00,2986.15,3071.60,3053.912786170378445724,6421,1227,19609174.00,3079,47.95,207.85,-118.40
11-November-2016,3166.80,3189.90,3130.00,3137.30,3149.226839826839826839,1155,162,3637357.00,522,45.19,59.90,-29.50
10-November-2016,3220.10,3220.40,3145.05,3159.55,3178.128794093519278096,1219,255,3874139.00,315,25.84,75.35,-60.55
9-November-2016,3106.00,3198.45,3054.95,3140.55,3151.167291822955738934,2666,487,8401012.00,1189,44.60,143.50,34.55
8-November-2016,3228.00,3230.00,3170.00,3221.60,3208.886792452830188679,742,133,2380994.00,407,54.85,60.00,-6.40
7-November-2016,3210.00,3215.65,3180.00,3200.05,3197.236794171220400728,1098,153,3510566.00,533,48.54,35.65,-9.95
4-November-2016,3185.00,3221.00,3150.00,3212.15,3193.449211908931698774,1142,184,3646919.00,467,40.89,71.00,27.15
3-November-2016,3174.00,3226.00,3145.70,3183.55,3181.448432343234323432,2424,354,7711831.00,1046,43.15,80.30,9.55
2-November-2016,3173.00,3204.95,3155.50,3196.00,3193.013289036544850498,602,96,1922194.00,305,50.66,49.45,23.00
1-November-2016,3213.45,3215.00,3170.00,3190.40,3197.725303292894280762,2308,665,7380350.00,1747,75.69,45.00,-23.05
30-October-2016,3320.00,3320.00,3200.00,3211.30,3214.742358078602620087,229,52,736176.00,146,63.76,120.00,-108.70
28-October-2016,3190.00,3245.00,3190.00,3199.15,3212.972369819341126461,941,191,3023407.00,231,24.55,55.00,9.15
27-October-2016,3220.00,3220.00,3170.00,3204.00,3198.083288263926446727,1849,409,5913256.00,875,47.32,50.00,-16.00
26-October-2016,3226.65,3228.00,3180.00,3211.75,3214.192521475492673067,1979,231,6360887.00,1215,61.39,48.00,-14.90
25-October-2016,3232.00,3236.45,3200.00,3212.15,3212.224918032786885245,1525,252,4898643.00,385,25.25,36.45,-19.85
24-October-2016,3295.80,3299.95,3226.00,3231.30,3249.731548480463096960,1382,288,4491129.00,733,53.04,73.95,-64.50
21-October-2016,3300.00,3310.00,3275.05,3281.55,3288.449508489722966934,1119,188,3679775.00,563,50.31,34.95,-18.45
20-October-2016,3327.55,3347.30,3288.00,3290.15,3311.862944162436548223,788,245,2609748.00,328,41.62,59.30,-37.40
19-October-2016,3280.00,3318.00,3241.15,3302.55,3285.866348448687350835,4190,812,13767780.00,2336,55.75,76.85,22.55
18-October-2016,3243.00,3258.20,3192.55,3246.60,3216.796136248093543467,1967,198,6327438.00,1265,64.31,65.65,3.60
17-October-2016,3237.10,3275.00,3105.00,3190.25,3219.202820685023505708,1489,319,4793393.00,768,51.58,170.00,-46.85
14-October-2016,3300.40,3320.00,3222.25,3233.20,3250.933678756476683937,965,210,3137151.00,421,43.63,97.75,-67.20
13-October-2016,3270.15,3293.90,3240.20,3255.85,3263.211526282457251424,1579,311,5152611.00,686,43.45,53.70,-14.30
10-October-2016,3321.45,3325.00,3290.10,3314.80,3308.823255813953488372,430,97,1422794.00,290,67.44,34.90,-6.65
7-October-2016,3293.40,3301.25,3250.10,3262.20,3270.504878048780487804,820,173,2681814.00,335,40.85,51.15,-31.20
6-October-2016,3311.90,3334.10,3270.10,3275.10,3306.518518518518518518,1080,172,3571040.00,396,36.67,64.00,-36.80
5-October-2016,3317.95,3357.00,3280.00,3302.20,3308.871046228710462287,1644,293,5439784.00,760,46.23,77.00,-15.75
5-October-2016,3317.95,3357.00,3280.00,3302.20,3308.871046228710462287,1644,293,5439784.00,760,46.23,77.00,-15.75
4-October-2016,3312.00,3334.00,3250.00,3326.55,3313.997643732327992459,2122,398,7032303.00,889,41.89,84.00,14.55
3-October-2016,3240.55,3310.00,3235.10,3264.00,3280.973791973791973791,1221,356,4006069.00,228,18.67,74.90,23.45
30-September-2016,3230.65,3319.40,3197.25,3226.15,3226.775706214689265536,1770,533,5711393.00,625,35.31,122.15,-4.50
29-September-2016,3312.10,3318.70,3180.10,3198.80,3227.730039803324748302,4271,910,13785635.00,2086,48.84,138.60,-113.30
28-September-2016,3305.45,3340.00,3100.10,3300.70,3311.544871794871794871,1092,211,3616207.00,347,31.78,239.90,-4.75
27-September-2016,3320.05,3343.95,3277.05,3302.70,3309.698044565711687130,2199,537,7278026.00,789,35.88,66.90,-17.35
26-September-2016,3365.10,3376.95,3303.60,3313.05,3346.774141803015720243,3117,598,10431895.00,1627,52.20,73.35,-52.05
23-September-2016,3365.05,3377.75,3349.50,3365.05,3366.301490256018341612,2617,279,8809611.00,1714,65.49,28.25,0.00
22-September-2016,3378.00,3379.00,3352.00,3366.00,3370.300417246175243393,1438,264,4846492.00,635,44.16,27.00,-12.00
21-September-2016,3376.00,3388.60,3356.15,3359.15,3364.274165202108963093,569,140,1914272.00,344,60.46,32.45,-16.85
20-September-2016,3364.95,3380.00,3336.95,3376.20,3371.521212121212121212,1155,351,3894107.00,563,48.74,43.05,11.25
19-September-2016,3356.00,3372.70,3345.00,3356.10,3358.077049180327868852,610,136,2048427.00,322,52.79,27.70,0.10
16-September-2016,3359.95,3379.05,3348.50,3368.20,3363.377689243027888446,2510,496,8442078.00,1322,52.67,30.55,8.25
15-September-2016,3364.85,3368.00,3342.00,3351.05,3358.032484076433121019,1570,192,5272111.00,599,38.15,26.00,-13.80
14-September-2016,3399.95,3399.95,3328.00,3368.50,3359.573565406581452270,3677,745,12353152.00,1649,44.85,71.95,-31.45
12-September-2016,3310.00,3400.00,3281.00,3374.00,3352.667516809645258520,4313,847,14460055.00,1801,41.76,119.00,64.00
9-September-2016,3375.90,3392.85,3325.00,3330.60,3351.567963286713286713,4576,517,15336775.00,2530,55.29,67.85,-45.30
8-September-2016,3379.60,3393.55,3325.15,3353.10,3361.672068636796949475,4196,899,14105576.00,2016,48.05,68.40,-26.50
7-September-2016,3456.00,3500.00,3398.00,3435.15,3427.376644081307293742,2509,432,8599288.00,1042,41.53,102.00,-20.85
6-September-2016,3493.00,3493.00,3430.10,3439.95,3444.001977587343441001,1517,276,5224551.00,641,42.25,62.90,-53.05
2-September-2016,3455.95,3483.90,3424.60,3441.95,3456.379211175020542317,2434,525,8412827.00,633,26.01,59.30,-14.00
1-September-2016,3458.00,3474.95,3425.00,3445.10,3440.183409436834094368,1314,275,4520401.00,626,47.64,49.95,-12.90
31-August-2016,3540.10,3540.10,3440.00,3457.10,3483.046528274874731567,2794,408,9731632.00,1654,59.20,100.10,-83.00
30-August-2016,3475.00,3510.65,3470.00,3477.70,3481.810601427115188583,4905,485,17078281.00,3644,74.29,40.65,2.70
29-August-2016,3607.95,3622.85,3554.75,3566.25,3572.843003029962967119,8911,756,31837604.00,7194,80.73,68.10,-41.70
26-August-2016,3642.05,3647.65,3602.05,3614.20,3611.359795355254081398,17396,494,62823215.00,15565,89.47,45.60,-27.85
25-August-2016,3679.20,3681.60,3611.10,3633.35,3645.668502916396629941,3086,446,11250533.00,1084,35.13,70.50,-45.85
24-August-2016,3677.55,3681.00,3628.55,3644.30,3650.379294548786074209,2183,326,7968778.00,629,28.81,52.45,-33.25
23-August-2016,3631.20,3675.05,3630.90,3655.05,3652.554011370814908401,3166,505,11563986.00,1821,57.52,44.15,23.85
22-August-2016,3675.00,3675.00,3618.00,3627.95,3637.380813953488372093,1376,320,5005036.00,569,41.35,57.00,-47.05
19-August-2016,3700.60,3711.60,3631.50,3661.30,3670.481391763928650077,4541,945,16667656.00,1054,23.21,80.10,-39.30
18-August-2016,3711.70,3985.65,3660.20,3681.05,3773.757003395585738539,28272,5193,106691658.00,3679,13.01,325.45,-30.65
17-August-2016,3675.05,3724.90,3658.25,3691.35,3692.409846755787414411,3067,462,11324621.00,1545,50.37,66.65,16.30
16-August-2016,3750.00,3760.00,3620.60,3674.25,3691.932008650986753176,7398,797,27312913.00,3644,49.26,139.40,-75.75
12-August-2016,3715.35,3744.30,3702.40,3713.35,3724.297239915074309978,2826,315,10524864.00,1879,66.49,41.90,-2.00
11-August-2016,3727.95,3728.00,3680.15,3694.55,3700.921664167916041979,2668,495,9874059.00,1313,49.21,47.85,-33.40
10-August-2016,3700.00,3775.20,3693.00,3710.85,3737.975135135135135135,4625,955,17288135.00,1555,33.62,82.20,10.85
