Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,122.00,132.40,121.35,127.90,127.423672216446706332,1324557,15460,168779917.00,164272,12.40,11.05,5.90
29-December-2016,113.00,123.60,112.55,121.20,119.808559740370316834,1010054,11887,121013115.00,150616,14.91,11.05,8.20
28-December-2016,111.00,117.45,110.10,112.75,114.504267866726229916,667078,9979,76383278.00,104654,15.69,7.35,1.75
27-December-2016,109.45,114.00,105.75,110.10,110.444210544294662948,702579,11086,77595783.00,114893,16.35,8.25,0.65
26-December-2016,119.65,119.65,106.90,108.50,112.248163628874256930,478253,7376,53683021.00,94769,19.82,12.75,-11.15
23-December-2016,120.30,124.70,117.60,119.65,121.208939318218612082,710345,9619,86100164.00,83134,11.70,7.10,-0.65
22-December-2016,127.90,128.70,120.25,121.85,124.370844628203089462,1081612,13554,134520998.00,189217,17.49,8.45,-6.05
21-December-2016,119.20,131.60,119.20,129.70,124.992258748716343910,2530857,32737,316337533.00,312580,12.35,12.40,10.50
20-December-2016,110.80,115.40,102.00,113.20,106.963144380566560424,1678550,12687,179542986.00,642277,38.26,13.40,2.40
19-December-2016,98.45,114.75,98.45,109.45,108.090182962765759124,1528781,18854,165246218.00,245228,16.04,16.30,11.00
16-December-2016,93.75,98.25,93.15,97.15,96.026549398041879420,256164,4164,24598545.00,65065,25.40,5.10,3.40
15-December-2016,91.90,96.00,91.65,92.85,93.293061032747771692,80891,1411,7546569.00,20624,25.50,4.35,0.95
14-December-2016,97.35,98.60,92.60,93.20,95.630485629759374566,93631,1634,8953978.00,28474,30.41,6.00,-4.15
13-December-2016,100.05,101.40,94.90,96.80,97.681922397484245210,159634,2701,15593356.00,40875,25.61,6.50,-3.25
12-December-2016,95.90,101.70,94.10,99.35,99.344870198013004717,407852,5717,40518004.00,91197,22.36,7.60,3.45
9-December-2016,92.95,99.00,91.55,95.60,96.155549302240031944,636107,8162,61165218.00,115107,18.10,7.45,2.65
8-December-2016,86.00,94.25,85.05,92.95,91.453120728162894481,237749,3304,21742888.00,77230,32.48,9.20,6.95
7-December-2016,88.40,88.70,84.00,84.50,86.837535712666092240,44102,793,3829709.00,22288,50.54,4.70,-3.90
6-December-2016,90.50,91.70,87.00,87.45,89.724471021159153633,76090,1553,6827135.00,20420,26.84,4.70,-3.05
5-December-2016,90.00,93.40,87.15,88.35,89.998488525439140567,166063,3269,14945419.00,38259,23.04,6.25,-1.65
2-December-2016,79.25,91.00,79.00,88.40,87.035789424415815401,427305,6268,37190828.00,82256,19.25,12.00,9.15
1-December-2016,82.00,83.50,80.05,80.20,81.214905871228401959,11633,456,944773.00,3089,26.55,3.45,-1.80
30-November-2016,83.70,84.30,81.00,82.05,82.583804984609274153,20142,577,1663403.00,7419,36.83,3.30,-1.65
29-November-2016,79.85,84.00,79.25,83.05,82.177088963355312939,37004,930,3040881.00,11088,29.96,4.75,3.20
28-November-2016,78.65,81.00,77.50,78.25,79.192318931329576288,23955,590,1897052.00,10550,44.04,3.50,-0.40
25-November-2016,76.10,80.00,76.10,78.50,78.559092211223223095,31417,498,2468091.00,11543,36.74,3.90,2.40
24-November-2016,74.95,76.50,71.00,76.00,74.724513155006428549,31889,769,2382890.00,10776,33.79,5.50,1.05
23-November-2016,73.40,75.80,71.20,74.25,73.776022304832713754,19368,665,1428894.00,6287,32.46,4.60,0.85
22-November-2016,76.35,76.60,72.70,73.60,73.909767045640706398,30521,578,2255800.00,16487,54.02,3.90,-2.75
21-November-2016,79.00,79.90,74.30,74.60,76.054827778058772950,19771,642,1503680.00,8818,44.60,5.60,-4.40
18-November-2016,78.95,80.75,78.00,79.10,79.498419533647899583,21829,508,1735371.00,8253,37.81,2.75,0.15
17-November-2016,79.85,81.35,77.10,79.50,79.570114061152113486,31299,959,2490465.00,12287,39.26,4.25,-0.35
16-November-2016,81.00,83.00,77.00,77.90,78.853778087824937582,54472,861,4295323.00,24965,45.83,6.00,-3.10
15-November-2016,86.00,86.00,74.95,76.45,78.801264480832294247,182051,1727,14345849.00,122501,67.29,11.05,-9.55
11-November-2016,78.00,84.60,64.20,80.20,78.474444410939902903,99489,1508,7807344.00,39301,39.50,20.40,2.20
10-November-2016,77.40,81.75,77.00,78.80,79.096602096972348911,59419,1124,4699841.00,14648,24.65,4.75,1.40
9-November-2016,65.00,76.75,65.00,74.50,72.525314628671385917,232099,1455,16833053.00,173685,74.83,11.75,9.50
8-November-2016,82.70,82.70,77.90,79.00,79.316549912434325744,34260,691,2717385.00,17032,49.71,4.80,-3.70
