Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,413.00,429.50,413.00,423.70,422.606977297040294781,16826,907,7110785.00,5189,30.84,16.50,10.70
29-December-2016,423.50,432.00,421.40,422.55,426.879996675808194132,12033,1074,5136647.00,5291,43.97,10.60,-0.95
28-December-2016,426.00,427.90,422.15,423.80,424.152097902097902097,6292,548,2668765.00,2683,42.64,5.75,-2.20
27-December-2016,402.00,428.00,402.00,423.60,415.949451170678852404,21227,1487,8829359.00,8144,38.37,26.00,21.60
26-December-2016,428.70,428.70,408.40,411.10,417.533773291925465838,10304,907,4302268.00,4053,39.33,20.30,-17.60
23-December-2016,432.00,434.80,426.00,428.25,429.375589313776846516,3818,338,1639356.00,2242,58.72,8.80,-3.75
22-December-2016,422.20,436.50,422.20,432.35,432.939640929617799317,9079,1373,3930659.00,4478,49.32,14.30,10.15
21-December-2016,430.00,440.00,426.50,431.90,433.392434888711238271,23767,1705,10300438.00,4681,19.70,13.50,1.90
20-December-2016,425.40,431.00,423.40,428.70,427.269265367316341829,10005,945,4274829.00,3862,38.60,7.60,3.30
19-December-2016,425.70,426.30,415.25,421.20,422.546049938600081866,4886,502,2064560.00,2216,45.35,11.05,-4.50
16-December-2016,428.40,428.40,425.15,426.00,426.654770575382374362,1373,182,585797.00,544,39.62,3.25,-2.40
15-December-2016,425.85,432.00,424.35,427.00,428.626033690658499234,3265,671,1399464.00,1817,55.65,7.65,1.15
14-December-2016,431.00,437.55,423.65,424.60,428.512020398251578436,8236,1015,3529225.00,3460,42.01,13.90,-6.40
13-December-2016,427.50,433.90,425.30,430.90,428.780139935414424111,3716,551,1593347.00,1338,36.01,8.60,3.40
12-December-2016,438.00,438.00,427.10,429.25,432.024322660098522167,6496,544,2806430.00,1958,30.14,10.90,-8.75
9-December-2016,428.00,441.00,427.35,438.05,437.360425473885176598,29332,1759,12828656.00,8547,29.14,13.65,10.05
8-December-2016,424.25,435.00,423.90,426.80,430.327501690331304935,11832,1036,5091635.00,5609,47.41,11.10,2.55
7-December-2016,426.05,426.50,419.85,425.25,424.106782892944701716,3671,560,1556896.00,1693,46.12,6.65,-0.80
6-December-2016,421.00,429.00,417.75,424.30,426.099137931034482758,7888,639,3361070.00,4092,51.88,11.25,3.30
5-December-2016,413.10,421.15,410.95,419.95,415.376287816843826655,12230,1324,5080052.00,5085,41.58,10.20,6.85
2-December-2016,423.95,427.00,419.85,423.55,422.716599552572706935,11175,604,4723858.00,6016,53.83,7.15,-0.40
1-December-2016,426.00,427.35,423.00,424.15,424.555432002668742355,8993,716,3818027.00,4679,52.03,4.35,-1.85
30-November-2016,412.00,428.00,412.00,425.30,426.230455472467709041,4413,517,1880955.00,1612,36.53,16.00,13.30
29-November-2016,425.55,428.05,423.45,426.00,426.416298675230830991,9964,741,4248812.00,3366,33.78,4.60,0.45
28-November-2016,420.75,430.30,420.40,422.05,425.782147381756756756,18944,1854,8066017.00,6275,33.12,9.90,1.30
25-November-2016,407.50,424.00,401.90,418.50,416.701769718155997378,41193,2862,17165196.00,11728,28.47,22.10,11.00
24-November-2016,401.00,408.20,397.50,401.20,402.137688019354160092,9507,790,3823123.00,2719,28.60,10.70,0.20
23-November-2016,413.00,413.00,398.20,400.90,401.578366445916114790,5436,520,2182980.00,1364,25.09,14.80,-12.10
22-November-2016,402.00,403.15,396.95,399.65,399.918126531723699736,11017,879,4405898.00,5399,49.01,6.20,-2.35
21-November-2016,401.80,405.85,393.60,397.45,398.503292298883481248,3493,379,1391972.00,1813,51.90,12.25,-4.35
18-November-2016,395.55,406.20,395.55,401.35,401.193479241877256317,8864,912,3556179.00,3274,36.94,10.65,5.80
17-November-2016,410.00,410.00,398.70,403.00,401.929151943462897526,11320,1266,4549838.00,4136,36.54,11.30,-7.00
16-November-2016,390.10,403.50,390.10,400.25,400.240054014750181780,9627,866,3853111.00,3550,36.88,13.40,10.15
15-November-2016,394.80,402.60,389.15,398.90,397.094478438228438228,13728,1536,5451313.00,5093,37.10,13.45,4.10
11-November-2016,403.00,406.80,394.00,395.30,397.486621454993834771,16220,777,6447233.00,5169,31.87,12.80,-7.70
10-November-2016,410.05,412.00,404.15,406.65,408.699279457473862673,14156,868,5785547.00,4083,28.84,7.85,-3.40
9-November-2016,403.00,407.25,370.00,404.40,391.465412768432788792,20629,1610,8075540.00,9171,44.46,37.25,1.40
8-November-2016,406.40,415.00,404.50,407.45,409.049655172413793103,10150,654,4151854.00,3411,33.61,10.50,1.05
7-November-2016,403.20,411.00,402.00,405.40,406.901214574898785425,7410,479,3015138.00,2258,30.47,9.00,2.20
4-November-2016,398.00,413.00,390.00,403.40,402.198909020066238067,35931,2394,14451409.00,9143,25.45,23.00,5.40
3-November-2016,409.60,411.95,390.10,398.65,403.734537097833223900,15230,924,6148877.00,6046,39.70,21.85,-10.95
2-November-2016,404.00,410.50,391.90,405.30,400.488620398988479910,24913,2204,9977373.00,8222,33.00,18.60,1.30
1-November-2016,414.00,414.00,402.30,404.45,405.350646897724053262,10589,818,4292258.00,3752,35.43,11.70,-9.55
30-October-2016,411.10,413.00,408.00,409.40,410.363028472821397756,4636,198,1902443.00,1769,38.16,5.00,-1.70
28-October-2016,412.60,413.20,406.90,408.35,409.326643633777055177,19682,1197,8056367.00,3819,19.40,6.30,-4.25
27-October-2016,421.00,421.65,406.30,409.35,413.282211581094262658,22554,1066,9321167.00,7901,35.03,15.35,-11.65
26-October-2016,423.30,428.00,419.40,424.05,423.320866141732283464,18288,1192,7741692.00,7013,38.35,8.60,0.75
25-October-2016,429.40,430.50,418.00,422.35,422.364111626537073853,13581,747,5736127.00,2627,19.34,12.50,-7.05
24-October-2016,434.85,435.00,426.60,427.30,429.223400365630712979,16410,941,7043556.00,6250,38.09,8.40,-7.55
