Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,37.30,38.10,37.15,37.70,37.570449510547510176,183266,900,6885386.00,94859,51.76,0.95,0.40
29-December-2016,37.00,37.45,37.00,37.05,37.111327108945048325,109569,476,4066251.00,45603,41.62,0.45,0.05
28-December-2016,37.10,37.65,36.40,36.75,37.055234772135531978,112918,590,4184203.00,63575,56.30,1.25,-0.35
27-December-2016,36.50,37.10,36.15,36.95,36.648694106266721278,114749,573,4205401.00,59121,51.52,0.95,0.45
26-December-2016,36.25,36.60,35.70,36.40,36.215813485407581348,149050,798,5397967.00,91595,61.45,0.90,0.15
23-December-2016,36.60,36.70,36.00,36.25,36.357392559513740879,177354,845,6448129.00,69490,39.18,0.70,-0.35
22-December-2016,37.95,37.95,36.50,36.60,36.851285797936061971,186149,953,6859830.00,52430,28.17,1.45,-1.35
21-December-2016,37.05,37.70,36.30,37.45,37.003927844657922337,239317,1756,8855669.00,66973,27.99,1.40,0.40
20-December-2016,38.00,38.40,36.65,36.80,37.465459366012109184,257986,1117,9665564.00,115541,44.79,1.75,-1.20
19-December-2016,38.55,38.55,37.35,37.55,37.874197832199479193,134791,737,5105101.00,57836,42.91,1.20,-1.00
16-December-2016,39.15,39.35,38.20,38.35,38.837295524653815089,102763,489,3991037.00,53066,51.64,1.15,-0.80
15-December-2016,39.00,39.80,38.80,39.05,39.343455767060302839,132017,661,5194005.00,60518,45.84,1.00,0.05
14-December-2016,40.20,40.25,38.75,38.95,39.450463334763492080,272697,1117,10758023.00,105236,38.59,1.50,-1.25
13-December-2016,40.00,40.85,38.60,39.85,39.910399783856629237,614407,3329,24521229.00,178719,29.09,2.25,-0.15
12-December-2016,40.60,40.60,39.00,39.90,39.708417830893834974,240145,1502,9535778.00,89190,37.14,1.60,-0.70
9-December-2016,39.10,40.60,38.85,39.90,39.913767683106631684,925813,3851,36952685.00,276848,29.90,1.75,0.80
8-December-2016,36.35,38.50,36.20,38.20,37.601842925095811389,251014,1058,9438589.00,103408,41.20,2.30,1.85
7-December-2016,36.80,36.80,35.90,36.05,36.192233862571577303,61472,297,2224809.00,32187,52.36,0.90,-0.75
6-December-2016,36.40,37.10,36.00,36.25,36.643106490864395416,259534,628,9510132.00,180680,69.62,1.10,-0.15
5-December-2016,36.00,37.50,36.00,36.45,36.731382874209140566,305364,639,11216442.00,146187,47.87,1.50,0.45
2-December-2016,36.60,36.60,36.05,36.30,36.349199667941118009,85527,264,3108838.00,40281,47.10,0.55,-0.30
1-December-2016,37.20,37.20,36.55,36.65,36.753716491556156455,158281,418,5817415.00,77187,48.77,0.65,-0.55
30-November-2016,37.15,37.15,36.70,36.90,36.921741166611207650,162282,291,5991734.00,100876,62.16,0.45,-0.25
29-November-2016,36.95,37.30,36.10,36.95,36.908137909613293989,167414,547,6178939.00,51036,30.48,1.20,0.00
28-November-2016,37.30,37.40,36.25,36.40,36.940807502291735959,616345,788,22768282.00,471098,76.43,1.15,-0.90
25-November-2016,35.80,37.80,35.55,37.05,36.951927481305779963,342753,1236,12665384.00,103190,30.11,2.25,1.25
24-November-2016,34.75,35.90,34.75,35.70,35.397343518263311939,76191,300,2696959.00,34528,45.32,1.15,0.95
23-November-2016,35.35,36.00,34.50,35.45,35.016770323509086893,140367,617,4915199.00,42245,30.10,1.50,0.10
22-November-2016,34.15,35.35,33.85,35.20,34.768074039741920295,271854,720,9451840.00,206165,75.84,1.50,1.05
21-November-2016,35.30,35.55,33.00,33.90,34.022913918740675070,462470,1516,15734577.00,328384,71.01,2.55,-1.40
18-November-2016,36.25,36.40,35.05,35.25,35.601772706762070521,155130,480,5522903.00,119942,77.32,1.35,-1.00
17-November-2016,35.70,36.30,35.55,35.95,35.876592212590415207,160233,538,5748614.00,68218,42.57,0.75,0.25
16-November-2016,35.45,37.15,34.70,36.00,36.095691684458312804,310539,1220,11209120.00,134221,43.22,2.45,0.55
15-November-2016,36.60,36.80,34.35,34.80,35.355749774022115540,825302,1481,29179171.00,618881,74.99,2.45,-1.80
11-November-2016,37.05,37.05,36.00,36.40,36.376432185296803026,291338,1091,10597837.00,105588,36.24,1.05,-0.65
10-November-2016,38.50,38.65,37.25,37.45,37.869263503011050427,235466,823,8916924.00,81420,34.58,1.40,-1.05
9-November-2016,35.10,37.45,31.25,37.10,34.683894524853663586,903227,3700,31327430.00,381029,42.19,6.20,2.00
8-November-2016,37.95,38.90,37.70,38.45,37.966608892784415550,1517410,1032,57610912.00,1379850,90.93,1.20,0.50
