Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,525.00,533.00,519.00,521.75,526.592374783938966483,50333,2407,26504974.00,19900,39.54,14.00,-3.25
29-December-2016,517.10,527.00,512.65,522.70,519.522599750623441396,96240,3007,49998855.00,18846,19.58,14.35,5.60
28-December-2016,488.10,517.10,486.75,510.35,509.571191708117746061,120021,4153,61159244.00,23246,19.37,30.35,22.25
27-December-2016,488.85,489.20,479.15,487.05,484.631866176296120536,25287,950,12254886.00,2907,11.50,10.05,-1.80
26-December-2016,496.95,497.10,486.05,488.35,491.103195716013128346,28945,966,14214982.00,9534,32.94,11.05,-8.60
23-December-2016,497.80,507.60,495.80,497.65,501.783372004348461001,61631,2115,30925411.00,11083,17.98,11.80,-0.15
22-December-2016,494.80,504.90,492.60,494.75,498.072809013404972724,36479,1512,18169198.00,6015,16.49,12.30,-0.05
21-December-2016,496.95,497.55,491.20,493.60,495.478141027877603712,57322,632,28401798.00,4874,8.50,6.35,-3.35
20-December-2016,505.00,505.00,493.10,494.50,496.784037194885703215,25810,988,12821996.00,7877,30.52,11.90,-10.50
19-December-2016,503.00,505.60,497.00,499.95,500.270647572728091506,22206,773,11109010.00,7896,35.56,8.60,-3.05
16-December-2016,499.50,505.00,497.50,501.15,499.623476484927200685,106251,1321,53085494.00,10747,10.11,7.50,1.65
15-December-2016,500.00,510.90,492.00,495.65,501.354805979815424469,92645,3945,46448016.00,19570,21.12,18.90,-4.35
14-December-2016,501.00,508.70,498.95,502.45,504.078503469317750991,166171,6171,83763229.00,49816,29.98,9.75,1.45
13-December-2016,468.20,497.00,461.75,492.10,487.007229881601740898,139698,4103,68033936.00,33897,24.26,35.25,23.90
12-December-2016,470.25,472.90,461.10,468.30,466.857186127517794941,26412,1244,12330632.00,11199,42.40,11.80,-1.95
9-December-2016,472.00,472.90,461.95,470.25,467.792334756801761877,37233,1001,17417312.00,12939,34.75,10.95,-1.75
8-December-2016,464.00,469.80,458.05,463.00,464.697674418604651162,17845,1072,8292530.00,5630,31.55,11.75,-1.00
7-December-2016,464.90,471.85,456.00,458.45,464.183280923634861248,43567,2021,20223073.00,10706,24.57,15.85,-6.45
6-December-2016,450.00,464.40,450.00,459.40,459.381573788854662559,35710,1727,16404516.00,10736,30.06,14.40,9.40
5-December-2016,460.40,460.70,442.70,449.20,448.963305793553651570,39216,1706,17606545.00,10505,26.79,18.00,-11.20
2-December-2016,467.00,469.10,459.10,460.40,464.277526132404181184,28700,938,13324765.00,13558,47.24,10.00,-6.60
1-December-2016,479.15,480.85,465.55,467.80,470.722296518330643301,21685,1090,10207613.00,5960,27.48,15.30,-11.35
30-November-2016,472.95,480.05,472.45,477.15,476.940239648111633550,19779,682,9433401.00,7613,38.49,7.60,4.20
29-November-2016,478.00,480.70,471.10,473.75,475.255667392092854552,22056,758,10482239.00,6060,27.48,9.60,-4.25
28-November-2016,477.00,487.00,475.00,478.00,480.500840537944284341,41640,1290,20008055.00,9456,22.71,12.00,1.00
25-November-2016,457.00,484.55,457.00,477.90,477.702910356395746772,103733,3784,49553556.00,27016,26.04,27.55,20.90
