Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,1400.00,1410.00,1392.00,1396.60,1401.658783783783783783,592,100,829782.00,402,67.91,18.00,-3.40
29-December-2016,1366.75,1398.00,1363.00,1390.20,1378.589981447124304267,539,134,743060.00,335,62.15,35.00,23.45
28-December-2016,1365.00,1374.95,1355.00,1359.95,1366.033434650455927051,658,118,898850.00,351,53.34,19.95,-5.05
27-December-2016,1364.95,1368.75,1345.35,1347.20,1352.747603833865814696,313,60,423410.00,214,68.37,23.40,-17.75
26-December-2016,1359.75,1380.15,1338.45,1358.35,1353.628260869565217391,460,154,622669.00,259,56.30,41.70,-1.40
23-December-2016,1352.00,1364.95,1347.00,1350.30,1353.752613240418118466,861,228,1165581.00,613,71.20,17.95,-1.70
22-December-2016,1373.95,1385.00,1338.10,1352.40,1374.869991064075832705,57073,237,78467955.00,56790,99.50,46.90,-21.55
21-December-2016,1400.00,1400.00,1373.00,1381.75,1388.505962521294718909,587,122,815053.00,472,80.41,27.00,-18.25
20-December-2016,1400.00,1405.00,1388.55,1392.80,1397.477623456790123456,1296,135,1811131.00,1020,78.70,16.45,-7.20
19-December-2016,1402.00,1406.45,1365.00,1401.00,1391.118497109826589595,3114,435,4331943.00,1846,59.28,41.45,-1.00
16-December-2016,1400.00,1410.00,1388.00,1392.75,1399.865237366003062787,3918,200,5484672.00,3560,90.86,22.00,-7.25
15-December-2016,1428.95,1428.95,1401.75,1407.65,1421.683285302593659942,3470,327,4933241.00,3083,88.85,27.20,-21.30
14-December-2016,1430.00,1472.00,1420.00,1437.50,1444.756552125800815375,6868,165,9922588.00,6736,98.08,52.00,7.50
13-December-2016,1475.00,1480.00,1430.00,1437.05,1446.513056835637480798,651,226,941680.00,559,85.87,50.00,-37.95
12-December-2016,1484.00,1512.00,1466.50,1482.40,1484.865217391304347826,230,79,341519.00,142,61.74,45.50,-1.60
9-December-2016,1495.00,1500.00,1480.20,1494.30,1486.097073170731707317,2050,25,3046499.00,2015,98.29,19.80,-0.70
8-December-2016,1455.00,1494.95,1452.30,1491.35,1480.565040650406504065,492,164,728438.00,286,58.13,42.65,36.35
