Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,718.00,729.95,718.00,723.95,724.341138903672166045,1879,152,1361037.00,955,50.82,11.95,5.95
29-December-2016,720.00,720.00,708.10,714.65,710.600912200684150513,877,63,623197.00,696,79.36,11.90,-5.35
28-December-2016,720.00,721.00,710.00,711.75,712.920965608465608465,3024,178,2155873.00,2123,70.21,11.00,-8.25
27-December-2016,714.00,720.00,714.00,717.95,717.431252393718881654,2611,39,1873213.00,2395,91.73,6.00,3.95
26-December-2016,721.45,721.45,712.00,716.45,716.944915254237288135,708,93,507597.00,289,40.82,9.45,-5.00
23-December-2016,721.45,721.45,711.00,717.70,717.031973539140022050,907,118,650348.00,454,50.06,10.45,-3.75
22-December-2016,714.00,726.30,714.00,716.85,719.997665369649805447,1285,142,925197.00,705,54.86,12.30,2.85
21-December-2016,745.50,748.00,730.00,732.75,740.466926070038910505,1028,141,761200.00,597,58.07,18.00,-12.75
20-December-2016,794.90,794.90,730.00,737.45,750.859461453338251567,2711,289,2035580.00,1786,65.88,64.90,-57.45
19-December-2016,770.00,791.75,768.75,772.30,781.784103512014787430,10820,694,8458904.00,5766,53.29,23.00,2.30
16-December-2016,719.50,783.50,715.00,766.55,765.266208107712571344,13666,1295,10458128.00,2516,18.41,68.50,47.05
15-December-2016,720.20,740.00,710.00,718.65,720.920445505171042163,1257,119,906197.00,711,56.56,30.00,-1.55
14-December-2016,735.00,737.90,721.10,723.90,731.450736126840317100,883,68,645871.00,527,59.68,16.80,-11.10
13-December-2016,720.00,747.00,715.35,737.95,739.545408422120750887,1971,198,1457644.00,896,45.46,31.65,17.95
12-December-2016,740.95,755.00,711.60,724.50,732.648501362397820163,1101,168,806646.00,450,40.87,43.40,-16.45
9-December-2016,710.00,743.55,700.15,734.05,727.300379119276757072,3429,541,2493913.00,1928,56.23,43.40,24.05
8-December-2016,691.15,719.95,691.00,707.95,701.485562310030395136,3948,274,2769465.00,2430,61.55,28.95,16.80
7-December-2016,695.00,704.00,681.50,691.30,690.350681536555142503,1614,208,1114226.00,970,60.10,22.50,-3.70
6-December-2016,680.00,698.00,680.00,684.75,688.802488335925349922,643,60,442900.00,263,40.90,18.00,4.75
5-December-2016,685.40,685.40,677.45,677.70,680.074204946996466431,283,35,192461.00,148,52.30,7.95,-7.70
