Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,119.35,123.70,117.05,118.00,120.524884143495365739,239952,3196,28920187.00,56724,23.64,6.65,-1.35
29-December-2016,119.00,120.50,117.30,118.15,118.676908402755933476,98551,1542,11695728.00,19320,19.60,3.20,-0.85
28-December-2016,116.00,121.90,116.00,118.10,119.211322655734287600,402962,4956,48037633.00,106219,26.36,5.90,2.10
27-December-2016,107.95,116.05,107.95,114.15,113.566187933546575592,470826,6583,53469914.00,91056,19.34,8.10,6.20
26-December-2016,107.60,108.60,105.50,106.30,106.903246616551564908,147261,2199,15742679.00,35653,24.21,3.10,-1.30
23-December-2016,108.60,109.75,107.30,107.85,108.337623108146376765,158905,2242,17215390.00,43559,27.41,2.45,-0.75
22-December-2016,108.60,109.85,106.40,107.70,107.949966771100351276,284391,3796,30699999.00,55677,19.58,3.45,-0.90
21-December-2016,107.00,110.50,106.50,107.45,108.475147925237442226,315024,3924,34172275.00,41839,13.28,4.00,0.45
20-December-2016,109.75,110.00,105.00,105.75,107.620449147495876084,146099,2036,15723240.00,27179,18.60,5.00,-4.00
19-December-2016,107.55,112.80,107.00,109.10,110.523058726676844359,383846,4909,42423834.00,71422,18.61,5.80,1.55
16-December-2016,106.60,110.00,105.10,106.45,107.476999051873184235,197231,2884,21197796.00,39217,19.88,4.90,-0.15
15-December-2016,107.00,110.50,104.00,105.65,107.377170956841845004,182005,2302,19543182.00,36604,20.11,6.50,-1.35
14-December-2016,110.00,113.85,106.20,107.25,110.360148628198362822,229297,3581,25305251.00,45413,19.81,7.65,-2.75
13-December-2016,113.45,116.80,107.70,110.05,111.811350926602506434,544678,8534,60901183.00,116552,21.40,9.10,-3.40
12-December-2016,99.70,116.50,97.00,112.40,110.573830858852083836,1414842,19183,156444500.00,199293,14.09,19.50,12.70
9-December-2016,86.90,101.70,86.35,99.85,96.578396917742051580,791887,10138,76479177.00,173676,21.93,15.35,12.95
8-December-2016,87.15,88.00,85.00,85.95,86.318062653920504197,37763,590,3259629.00,16588,43.93,3.00,-1.20
7-December-2016,86.80,88.45,85.00,85.30,86.182903262475844037,8797,162,758151.00,4980,56.61,3.45,-1.50
6-December-2016,88.80,89.45,85.90,86.80,88.033976992604765817,24340,216,2142747.00,14887,61.16,3.55,-2.00
5-December-2016,89.10,89.10,87.00,87.60,87.841739878355962400,16277,234,1429800.00,9054,55.62,2.10,-1.50
2-December-2016,89.85,92.20,86.25,89.65,90.167522630703861075,81195,1088,7321152.00,30678,37.78,5.95,-0.20
1-December-2016,84.05,90.20,84.05,87.85,87.857983635580649791,83596,1683,7344576.00,31290,37.43,6.15,3.80
30-November-2016,83.00,84.15,82.10,82.95,83.458888527786805329,12308,172,1027212.00,8956,72.77,2.05,-0.05
29-November-2016,83.00,85.25,83.00,83.65,84.069550334526217519,12854,247,1080630.00,7557,58.79,2.25,0.65
28-November-2016,81.60,84.90,81.20,84.15,82.767115480515779725,14037,212,1161802.00,6582,46.89,3.70,2.55
25-November-2016,80.80,83.90,80.00,82.40,81.640978154055484163,26458,404,2160057.00,9716,36.72,3.90,1.60
24-November-2016,80.40,81.00,79.00,79.35,79.898402819092947691,21851,245,1745860.00,11087,50.74,2.00,-1.05
23-November-2016,81.00,81.75,79.50,79.90,80.224639797507788161,20544,284,1648135.00,12916,62.87,2.25,-1.10
22-November-2016,81.50,81.50,78.25,79.95,79.746662754877512102,6817,104,543633.00,4337,63.62,3.25,-1.55
21-November-2016,89.00,89.00,79.15,80.90,81.891998734977862112,18972,279,1553655.00,11005,58.01,9.85,-8.10
18-November-2016,84.00,84.60,82.20,82.65,83.026080186843129622,12845,149,1066470.00,9583,74.60,2.40,-1.35
17-November-2016,84.85,84.95,82.25,84.20,84.227852924366546008,10498,141,884224.00,6156,58.64,2.70,-0.65
