Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,223.65,232.00,222.85,228.80,228.207812500000000000,10880,129,2482901.00,409,3.76,9.15,5.15
29-December-2016,226.25,227.50,222.00,222.80,224.534619750283768444,881,65,197815.00,287,32.58,5.50,-3.45
28-December-2016,222.25,224.75,221.00,221.50,222.670467502850627137,877,81,195282.00,441,50.29,3.75,-0.75
27-December-2016,216.50,222.00,210.05,220.25,218.579319371727748691,7640,368,1669946.00,3398,44.48,11.95,3.75
26-December-2016,232.75,232.95,217.35,220.35,228.475212203223028662,8129,404,1857275.00,1898,23.35,15.60,-12.40
23-December-2016,235.35,237.85,232.00,233.10,233.899469496021220159,3770,143,881801.00,1963,52.07,5.85,-2.25
22-December-2016,239.00,239.35,234.05,237.85,237.097679078310235431,11978,335,2839956.00,4991,41.67,5.30,-1.15
21-December-2016,249.90,249.90,247.50,249.15,249.079937817051219113,12222,91,3044255.00,11384,93.14,2.40,-0.75
20-December-2016,248.80,249.75,248.15,248.45,248.660359685275384038,5338,58,1327349.00,3712,69.54,1.60,-0.35
19-December-2016,250.60,253.00,248.00,249.90,250.407830687830687830,9450,306,2366354.00,6792,71.87,5.00,-0.70
16-December-2016,247.65,253.20,247.40,249.30,251.060370009737098344,39026,641,9797882.00,13470,34.52,5.80,1.65
15-December-2016,247.90,248.50,247.15,248.10,248.085292761641309359,2169,38,538097.00,1552,71.55,1.35,0.20
14-December-2016,247.90,249.75,246.10,247.85,248.063934623242398750,8321,201,2064140.00,6663,80.07,3.65,-0.05
13-December-2016,244.90,252.65,244.90,247.80,249.804194806430134119,21026,481,5252383.00,9470,45.04,7.75,2.90
12-December-2016,244.00,246.00,241.00,243.00,243.304142181453346710,6977,204,1697533.00,3395,48.66,5.00,-1.00
9-December-2016,246.90,247.30,244.10,245.95,245.631381892443839346,5876,144,1443330.00,2455,41.78,3.20,-0.95
8-December-2016,239.90,245.75,239.90,245.10,243.698684210526315789,3800,104,926055.00,2630,69.21,5.85,5.20
7-December-2016,246.85,246.90,237.40,238.95,240.764613880742913000,5115,174,1231511.00,1584,30.97,9.50,-7.90
6-December-2016,245.10,246.50,245.10,246.15,245.990376904570970328,3741,91,920250.00,2032,54.32,1.40,1.05
5-December-2016,243.90,246.90,243.25,245.20,245.671099928109273903,5564,148,1366914.00,2080,37.38,3.65,1.30
2-December-2016,243.00,244.00,241.70,243.60,243.577726218097447795,3448,49,839856.00,2441,70.79,2.30,0.60
1-December-2016,244.05,244.05,242.10,243.20,243.046857142857142857,1750,42,425332.00,1030,58.86,1.95,-0.85
30-November-2016,241.90,244.95,241.00,244.00,243.123780317814329523,3587,74,872085.00,2702,75.33,3.95,2.10
29-November-2016,239.00,241.80,238.30,240.05,240.072018890200708382,1694,36,406682.00,1408,83.12,3.50,1.05
28-November-2016,237.00,240.00,237.00,239.60,239.327896995708154506,2330,48,557634.00,1588,68.15,3.00,2.60
25-November-2016,234.95,238.90,234.95,237.15,236.835736677115987460,4785,103,1133259.00,2002,41.84,3.95,2.20
24-November-2016,233.10,236.80,233.00,235.65,234.149550706033376123,1558,58,364805.00,531,34.08,3.80,2.55
23-November-2016,234.65,236.80,233.00,234.85,235.248527679623085983,1698,35,399452.00,1550,91.28,3.80,0.20
22-November-2016,235.00,235.75,231.00,232.00,233.773433583959899749,1995,41,466378.00,1593,79.85,4.75,-3.00
21-November-2016,236.10,237.25,232.40,233.95,234.570789865871833084,2013,61,472191.00,1491,74.07,4.85,-2.15
18-November-2016,236.45,238.90,235.15,238.00,237.473473282442748091,5240,59,1244361.00,4758,90.80,3.75,1.55
17-November-2016,237.90,238.00,236.10,236.40,237.124305555555555555,1440,31,341459.00,1026,71.25,1.90,-1.50
16-November-2016,235.60,239.00,234.00,237.50,236.665689149560117302,3069,111,726327.00,1635,53.27,5.00,1.90
15-November-2016,236.00,236.00,234.40,235.20,235.759706643658326143,9272,83,2185964.00,7324,78.99,1.60,-0.80
11-November-2016,238.30,238.30,237.00,237.15,237.507141128056160735,4131,33,981142.00,3927,95.06,1.30,-1.15
10-November-2016,238.90,240.00,237.65,238.40,238.875165416850463167,2267,59,541530.00,1545,68.15,2.35,-0.50
9-November-2016,234.50,237.00,228.10,236.45,235.332399859978996849,19997,309,4705942.00,13347,66.75,8.90,1.95
8-November-2016,240.50,242.70,240.10,241.30,241.422704837117472852,5065,159,1222806.00,2186,43.16,2.60,0.80
7-November-2016,240.00,241.40,239.50,241.05,240.244299674267100977,1535,34,368775.00,1066,69.45,1.90,1.05
4-November-2016,241.95,241.95,237.10,239.35,239.151043717999212288,15234,207,3643227.00,11992,78.72,4.85,-2.60
3-November-2016,243.90,244.00,241.10,241.25,241.882784454502887466,6407,46,1549743.00,1883,29.39,2.90,-2.65
2-November-2016,241.35,244.00,241.35,242.20,242.195833333333333333,1920,51,465016.00,1212,63.12,2.65,0.85
1-November-2016,242.00,245.95,242.00,244.55,244.382668254913639070,3358,81,820637.00,2020,60.15,3.95,2.55
30-October-2016,242.00,242.80,241.15,241.90,241.957446808510638297,987,42,238812.00,593,60.08,1.65,-0.10
28-October-2016,238.90,242.95,238.05,242.25,241.477376137512639029,7912,132,1910569.00,6055,76.53,4.90,3.35
27-October-2016,236.25,238.85,236.05,237.85,237.089427496865858754,2393,65,567355.00,1285,53.70,2.80,1.60
26-October-2016,236.45,237.40,236.25,237.20,236.683850931677018633,1610,60,381061.00,806,50.06,1.15,0.75
25-October-2016,234.10,238.45,234.00,237.45,236.740213955750060782,8226,202,1947425.00,3676,44.69,4.45,3.35
24-October-2016,236.90,243.80,234.00,235.45,235.681507911883338504,12892,278,3038406.00,6745,52.32,9.80,-1.45
21-October-2016,236.10,238.80,235.10,235.25,235.805469815519345344,13931,133,3285006.00,9567,68.67,3.70,-0.85
20-October-2016,237.90,239.00,232.60,235.40,235.407074036511156186,7888,110,1856891.00,6160,78.09,6.40,-2.50
19-October-2016,239.90,240.00,237.20,237.65,238.195714787495609413,14235,159,3390716.00,8826,62.00,2.80,-2.25
18-October-2016,241.90,241.90,230.00,238.10,238.519976974803108401,38219,579,9115995.00,30899,80.85,11.90,-3.80
17-October-2016,241.00,245.80,240.85,241.85,242.083571986461858890,7682,231,1859686.00,4787,62.31,4.95,0.85
14-October-2016,250.00,251.00,240.05,241.60,243.917037690103592682,22685,592,5533258.00,13675,60.28,10.95,-8.40
13-October-2016,245.90,250.00,243.70,248.90,248.096715741789354473,17660,280,4381388.00,14159,80.18,6.30,3.00
10-October-2016,238.00,247.80,236.10,246.75,243.994510084735648645,16758,364,4088860.00,11841,70.66,11.70,8.75
7-October-2016,231.15,234.00,231.10,233.40,232.907258064516129032,992,23,231044.00,806,81.25,2.90,2.25
6-October-2016,230.50,232.40,230.40,231.95,231.254167568737822039,4619,70,1068163.00,3149,68.17,2.00,1.45
5-October-2016,230.00,232.95,228.00,230.20,229.695111399524118537,9246,193,2123761.00,5330,57.65,4.95,0.20
5-October-2016,230.00,232.95,228.00,230.20,229.695111399524118537,9246,193,2123761.00,5330,57.65,4.95,0.20
4-October-2016,230.00,231.90,229.50,230.20,230.075547765118317265,5705,156,1312581.00,1462,25.63,2.40,0.20
3-October-2016,229.00,231.90,228.80,229.45,229.585356094958655641,14996,324,3442862.00,5724,38.17,3.10,0.45
30-September-2016,227.90,231.30,227.50,228.40,228.393195370045598035,2851,69,651149.00,1430,50.16,3.80,0.50
29-September-2016,232.35,233.95,229.00,229.50,230.837543584999644204,14053,145,3243960.00,11130,79.20,4.95,-2.85
28-September-2016,231.00,232.00,229.75,230.85,230.724053494066679223,5309,61,1224914.00,3098,58.35,2.25,-0.15
27-September-2016,229.85,233.00,229.25,230.50,230.559983977568596034,24965,564,5755930.00,7564,30.30,3.75,0.65
26-September-2016,227.75,233.45,226.55,229.35,230.816587965776801159,21389,618,4936936.00,8531,39.88,6.90,1.60
23-September-2016,227.55,228.35,226.05,226.50,226.619047619047619047,1386,36,314094.00,739,53.32,2.30,-1.05
22-September-2016,227.70,227.70,225.60,226.15,226.788264904829322007,6357,178,1441693.00,909,14.30,2.10,-1.55
21-September-2016,226.80,233.85,224.00,227.50,227.298814395131675584,9531,506,2166385.00,2690,28.22,9.85,0.70
20-September-2016,224.00,226.40,224.00,225.35,225.019422249539028887,8135,244,1830533.00,1972,24.24,2.40,1.35
19-September-2016,225.00,226.00,224.00,225.20,224.930000000000000000,2500,56,562325.00,1846,73.84,2.00,0.20
16-September-2016,224.20,225.80,224.00,224.55,224.218145761031234506,4034,74,904496.00,2831,70.18,1.80,0.35
15-September-2016,224.20,226.00,221.75,224.70,223.393772893772893772,3822,122,853811.00,748,19.57,4.25,0.50
14-September-2016,224.60,225.00,221.30,223.05,222.953287399275954688,8563,194,1909149.00,4532,52.93,3.70,-1.55
12-September-2016,223.50,226.50,221.40,222.90,222.787085514834205933,4011,180,893599.00,885,22.06,5.10,-0.60
9-September-2016,227.00,227.10,222.50,223.40,224.161135819363667464,2923,110,655223.00,978,33.46,4.60,-3.60
8-September-2016,224.70,224.80,221.55,224.30,223.440393785571450546,6501,272,1452586.00,2454,37.75,3.25,-0.40
7-September-2016,225.70,225.70,222.55,224.05,223.628209403134378126,2999,132,670661.00,745,24.84,3.15,-1.65
6-September-2016,228.25,228.25,223.75,224.45,225.769151138716356107,6762,259,1526651.00,1985,29.36,4.50,-3.80
2-September-2016,226.70,227.60,224.75,225.20,225.492649487941856623,12108,343,2730265.00,5941,49.07,2.85,-1.50
1-September-2016,230.00,230.25,225.55,226.10,226.865698729582577132,6061,136,1375033.00,4478,73.88,4.70,-3.90
31-August-2016,231.90,232.40,227.05,228.00,229.494901765729917930,4021,134,922799.00,2463,61.25,5.35,-3.90
30-August-2016,229.00,235.00,228.10,231.45,231.316223067173637515,14202,676,3285153.00,4969,34.99,6.90,2.45
29-August-2016,229.60,231.50,225.00,229.75,227.847368702821350179,18679,942,4255961.00,5666,30.33,6.50,0.15
