Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,630.00,632.60,612.00,614.80,621.921359223300970873,8240,547,5124632.00,3565,43.26,20.60,-15.20
29-December-2016,616.00,626.00,615.00,623.00,622.427889908256880733,2725,240,1696116.00,1176,43.16,11.00,7.00
28-December-2016,600.00,621.25,600.00,612.80,613.028993911278631487,3449,246,2114337.00,1513,43.87,21.25,12.80
27-December-2016,597.80,605.00,595.00,598.30,601.689186565715395068,10302,261,6198602.00,6908,67.05,10.00,0.50
26-December-2016,605.00,608.05,589.50,602.40,598.939138363346250284,4387,310,2627546.00,2374,54.11,18.55,-2.60
23-December-2016,604.90,604.90,600.00,602.80,602.630710659898477157,4728,107,2849238.00,4438,93.87,4.90,-2.10
22-December-2016,607.70,612.00,601.00,601.85,605.386156648451730418,7137,272,4320641.00,3326,46.60,11.00,-5.85
21-December-2016,608.95,612.90,602.00,610.15,606.316773017319963536,2194,196,1330259.00,1056,48.13,10.90,1.20
20-December-2016,614.50,614.50,599.00,603.10,604.540477050957715937,11068,645,6691054.00,7382,66.70,15.50,-11.40
19-December-2016,615.00,620.00,608.00,611.05,613.309226028638752945,5517,511,3383627.00,3270,59.27,12.00,-3.95
16-December-2016,610.00,621.50,609.00,613.35,614.536602402905839620,7158,409,4398853.00,2489,34.77,12.50,3.35
15-December-2016,602.00,617.95,597.20,604.65,602.871694777933269499,13577,361,8185189.00,8992,66.23,20.75,2.65
14-December-2016,601.95,603.00,597.00,601.20,601.445493793847814355,18530,213,11144785.00,16446,88.75,6.00,-0.75
13-December-2016,600.00,600.50,597.15,599.25,599.745716862037871956,4436,258,2660472.00,3851,86.81,3.35,-0.75
12-December-2016,600.00,602.00,596.00,600.85,599.912117692605497483,2583,133,1549573.00,1207,46.73,6.00,0.85
9-December-2016,601.90,602.00,600.15,601.20,601.818074702486155296,16974,205,10215260.00,13587,80.05,1.85,-0.70
8-December-2016,600.00,602.45,597.80,600.00,601.115443930381141220,4539,286,2728463.00,2752,60.63,4.65,0.00
7-December-2016,601.00,602.90,593.25,597.45,598.653947368421052631,2280,207,1364931.00,929,40.75,9.65,-3.55
6-December-2016,588.75,603.60,588.75,600.25,596.837099316868102995,1903,182,1135781.00,991,52.08,14.85,11.50
5-December-2016,600.00,600.00,586.00,593.80,593.093495054508699732,13851,246,8214938.00,11658,84.17,14.00,-6.20
2-December-2016,607.00,607.00,592.00,595.05,597.449569065921267179,4293,230,2564851.00,3318,77.29,15.00,-11.95
1-December-2016,605.70,610.00,600.00,607.05,607.014968614196040560,6213,361,3771384.00,4645,74.76,10.00,1.35
30-November-2016,605.00,611.75,602.10,609.70,606.482469032122611799,4763,235,2888676.00,2858,60.00,9.65,4.70
29-November-2016,605.00,607.85,600.30,601.50,604.025035709935666751,90311,305,54550105.00,88330,97.81,7.55,-3.50
28-November-2016,606.60,612.00,599.55,601.05,604.421269436064051984,17236,492,10417805.00,13547,78.60,12.45,-5.55
25-November-2016,601.95,605.00,594.00,603.25,600.903398999972676849,146396,1127,87969854.00,139152,95.05,11.00,1.30
24-November-2016,594.70,605.00,588.35,601.60,599.195299690289670249,5489,532,3288983.00,2827,51.50,16.65,6.90
23-November-2016,595.00,595.00,583.50,591.95,589.591435496902774037,3713,307,2189153.00,1809,48.72,11.50,-3.05
22-November-2016,595.00,600.00,585.20,591.75,589.687399807630650849,3119,262,1839235.00,1377,44.15,14.80,-3.25
21-November-2016,605.50,605.50,586.00,591.70,592.811345079501504082,4654,485,2758944.00,2264,48.65,19.50,-13.80
18-November-2016,604.00,610.00,597.55,601.55,602.576996077438947235,7903,453,4762166.00,5074,64.20,12.45,-2.45
17-November-2016,607.10,610.90,601.00,606.95,606.983927643367437963,128917,269,78250547.00,127296,98.74,9.90,-0.15
16-November-2016,620.50,623.75,603.50,606.65,608.786183033050948574,8381,423,5102237.00,3978,47.46,20.25,-13.85
15-November-2016,615.00,635.00,602.45,613.10,614.287123453979816374,13179,446,8095690.00,11342,86.06,32.55,-1.90
11-November-2016,636.25,649.90,636.25,640.15,642.237584773572522423,9142,275,5871336.00,6449,70.54,13.65,3.90
10-November-2016,654.95,657.90,630.00,637.10,649.217167545587394370,15739,538,10218029.00,12036,76.47,27.90,-17.85
9-November-2016,655.15,658.40,625.00,655.75,643.871372930866601752,10270,746,6612559.00,4634,45.12,33.40,0.60
8-November-2016,657.00,664.70,654.20,661.80,658.788714733542319749,3190,262,2101536.00,1504,47.15,10.50,4.80
7-November-2016,653.10,660.00,650.15,657.70,655.994263176765865901,2789,174,1829568.00,1839,65.94,9.85,4.60
4-November-2016,649.45,657.50,643.00,649.00,648.968276856524873828,5548,385,3600476.00,2207,39.78,14.50,-0.45
3-November-2016,660.00,662.40,646.00,653.45,654.267596281540504648,4518,389,2955981.00,1626,35.99,16.40,-6.55
2-November-2016,658.00,666.00,655.00,664.80,664.032843894899536321,15528,602,10311102.00,11147,71.79,11.00,6.80
1-November-2016,660.00,665.65,645.35,664.85,658.058793906584413949,7943,402,5226961.00,6304,79.37,20.30,4.85
30-October-2016,659.80,664.00,648.15,656.25,657.687516635613521426,3757,280,2470932.00,2441,64.97,15.85,-3.55
28-October-2016,663.75,664.00,641.05,644.65,647.872860403195131228,10516,653,6813031.00,6367,60.55,22.95,-19.10
27-October-2016,657.20,665.00,648.00,661.50,655.838831122266045177,5578,362,3658269.00,2884,51.70,17.00,4.30
26-October-2016,665.00,665.00,650.00,660.20,660.902074288470815243,4146,240,2740100.00,2525,60.90,15.00,-4.80
25-October-2016,662.00,665.00,653.00,659.15,660.052213393870601589,7929,646,5233554.00,4283,54.02,12.00,-2.85
24-October-2016,679.80,679.80,655.15,659.10,662.625639118713395928,10757,894,7127864.00,3378,31.40,24.65,-20.70
21-October-2016,690.00,690.00,675.00,677.75,680.739910313901345291,4460,313,3036100.00,2145,48.09,15.00,-12.25
20-October-2016,697.95,702.50,682.00,684.15,691.315708475321534571,9097,578,6288899.00,3589,39.45,20.50,-13.80
19-October-2016,690.00,700.00,688.00,695.95,695.229531051964512040,7890,532,5485361.00,4211,53.37,12.00,5.95
18-October-2016,683.00,694.35,683.00,690.50,690.424811015118790496,7408,587,5114667.00,4785,64.59,11.35,7.50
17-October-2016,691.50,697.00,678.80,684.15,686.900337024554646124,4154,518,2853384.00,2005,48.27,18.20,-7.35
14-October-2016,681.00,694.00,677.00,685.80,686.985393734123624047,4724,528,3245319.00,2148,45.47,17.00,4.80
13-October-2016,675.00,692.00,666.00,677.20,672.745439805431698419,7401,341,4978989.00,5102,68.94,26.00,2.20
10-October-2016,666.25,695.40,666.25,678.70,684.639858841010401188,5384,696,3686101.00,1222,22.70,29.15,12.45
7-October-2016,682.80,683.50,666.65,673.60,675.039303260384100044,4478,371,3022826.00,2736,61.10,16.85,-9.20
6-October-2016,692.00,696.95,675.00,690.40,684.452363090772693173,9331,754,6386625.00,2280,24.43,21.95,-1.60
5-October-2016,670.00,706.95,668.65,689.55,693.558308030572714898,47755,3310,33120877.00,14456,30.27,38.30,19.55
5-October-2016,670.00,706.95,668.65,689.55,693.558308030572714898,47755,3310,33120877.00,14456,30.27,38.30,19.55
4-October-2016,640.00,669.00,638.00,660.85,653.077576394361264337,11421,1364,7458799.00,8271,72.42,31.00,20.85
3-October-2016,638.20,645.00,635.05,640.30,639.945474241694752046,8308,557,5316667.00,3556,42.80,9.95,2.10
30-September-2016,621.95,645.00,606.20,640.40,631.344121163810282981,12545,915,7920212.00,6177,49.24,38.80,18.45
29-September-2016,625.00,632.00,610.00,620.15,619.630914398207860973,14731,996,9127783.00,7175,48.71,22.00,-4.85
28-September-2016,606.40,625.85,501.10,622.50,618.200412158681092220,11646,556,7199562.00,7958,68.33,124.75,16.10
27-September-2016,605.00,608.00,599.45,606.35,605.248162129942380290,5033,464,3046214.00,3207,63.72,8.55,1.35
26-September-2016,596.00,604.00,596.00,601.60,601.231673755316487365,3997,394,2403123.00,2306,57.69,8.00,5.60
23-September-2016,602.00,603.00,592.00,596.15,595.820615611464381163,21702,949,12930499.00,16166,74.49,11.00,-5.85
22-September-2016,604.00,605.85,600.00,602.25,602.121362668559261887,15499,439,9332279.00,10981,70.85,5.85,-1.75
21-September-2016,606.00,606.00,599.20,601.55,601.663266984701431156,12158,479,7315022.00,10396,85.51,6.80,-4.45
20-September-2016,618.70,619.90,604.05,605.20,607.205819320804484009,12132,462,7366621.00,9442,77.83,15.85,-13.50
19-September-2016,620.00,620.00,610.00,611.30,613.376957667855481469,6449,628,3955668.00,3581,55.53,10.00,-8.70
16-September-2016,622.00,623.95,608.00,611.80,617.223472382815974384,22486,634,13878887.00,15321,68.14,15.95,-10.20
15-September-2016,620.55,621.50,616.00,620.15,619.193454120397428404,5133,225,3178320.00,3761,73.27,5.50,-0.40
14-September-2016,624.20,624.20,616.05,618.05,620.028819508590430445,5413,306,3356216.00,3240,59.86,8.15,-6.15
12-September-2016,619.25,620.95,613.00,617.75,618.051838723969871510,4514,280,2789886.00,3377,74.81,7.95,-1.50
9-September-2016,615.00,631.65,613.00,619.25,623.242581681842528119,18670,1044,11635939.00,6909,37.01,18.65,4.25
8-September-2016,625.00,625.00,605.00,609.00,610.572225981055480378,5912,514,3609703.00,3543,59.93,20.00,-16.00
7-September-2016,623.10,625.00,610.30,615.70,616.709421745925429783,8958,726,5524483.00,3871,43.21,14.70,-7.40
6-September-2016,619.00,626.75,615.00,623.50,618.726722532588454376,6444,407,3987075.00,4025,62.46,11.75,4.50
2-September-2016,621.85,624.75,615.60,617.85,619.914529914529914529,8073,463,5004570.00,5689,70.47,9.15,-4.00
1-September-2016,628.70,634.05,618.80,625.60,624.592257597684515195,5528,449,3452746.00,3557,64.35,15.25,-3.10
31-August-2016,634.90,634.90,619.50,623.70,623.566402207657813038,8697,353,5423157.00,6054,69.61,15.40,-11.20
30-August-2016,612.00,624.60,610.00,619.10,616.911470047025148231,4891,403,3017314.00,2139,43.73,14.60,7.10
29-August-2016,633.75,635.00,606.50,609.60,617.384774799668416689,21714,675,13405893.00,16742,77.10,28.50,-24.15
26-August-2016,640.00,640.00,627.00,630.55,631.758039008961518186,9485,857,5992225.00,6561,69.17,13.00,-9.45
25-August-2016,645.00,649.85,635.00,642.60,640.026442307692307692,8736,315,5591271.00,6878,78.73,14.85,-2.40
24-August-2016,651.70,652.00,638.00,640.90,643.119384615384615384,3250,238,2090138.00,2562,78.83,14.00,-10.80
23-August-2016,650.00,655.00,640.20,645.15,648.626098901098901098,3640,264,2360999.00,1786,49.07,14.80,-4.85
22-August-2016,650.00,655.00,635.00,644.90,644.317625618328560270,7682,598,4949648.00,3501,45.57,20.00,-5.10
19-August-2016,668.00,668.00,645.50,647.50,651.774501796798431885,12244,842,7980327.00,8352,68.21,22.50,-20.50
