Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,416.00,429.00,416.00,424.20,425.023102310231023102,3636,300,1545384.00,1678,46.15,13.00,8.20
29-December-2016,416.70,439.00,409.95,411.95,434.375039745627980922,25160,435,10928876.00,21185,84.20,29.05,-4.75
28-December-2016,405.00,431.00,397.00,414.70,412.925359506961880849,13143,770,5427078.00,6710,51.05,34.00,9.70
27-December-2016,396.60,405.00,385.00,402.25,394.950798122065727699,5325,299,2103113.00,2726,51.19,20.00,5.65
26-December-2016,410.50,410.50,387.00,390.00,397.526501766784452296,4811,385,1912500.00,3423,71.15,23.50,-20.50
23-December-2016,422.00,425.95,411.00,413.40,416.936336076223473365,2309,177,962706.00,818,35.43,14.95,-8.60
22-December-2016,426.00,426.00,410.00,415.30,416.188067837674136886,3302,414,1374253.00,1768,53.54,16.00,-10.70
21-December-2016,421.30,442.00,421.30,428.30,433.398065916716005525,5067,345,2196028.00,3364,66.39,20.70,7.00
20-December-2016,440.00,441.30,420.60,426.60,426.697728596389050669,1717,184,732640.00,1140,66.39,20.70,-13.40
19-December-2016,440.00,443.40,433.75,436.35,438.014392991239048811,3196,300,1399894.00,1954,61.14,9.65,-3.65
16-December-2016,438.80,458.00,429.55,442.45,444.261951146410909635,6673,755,2964560.00,2373,35.56,28.45,3.65
15-December-2016,439.00,450.00,437.20,437.55,446.423691125934910046,4947,161,2208458.00,3844,77.70,12.80,-1.45
14-December-2016,450.00,453.00,431.10,439.30,443.547169811320754716,6837,606,3032532.00,5068,74.13,21.90,-10.70
13-December-2016,447.40,451.60,440.55,447.90,446.723995271867612293,1692,234,755857.00,669,39.54,11.05,0.50
12-December-2016,466.00,468.00,432.45,442.35,457.766768811712631937,2937,315,1344461.00,1900,64.69,35.55,-23.65
9-December-2016,464.20,470.00,461.50,464.60,466.480119581464872944,3345,262,1560376.00,2128,63.62,8.50,0.40
8-December-2016,442.05,477.90,441.00,462.55,455.030772135170851425,5297,404,2410298.00,2758,52.07,36.90,20.50
7-December-2016,448.10,452.00,436.00,440.70,441.010477299185098952,6013,546,2651796.00,4231,70.36,16.00,-7.40
6-December-2016,440.00,453.00,440.00,445.05,446.548051948051948051,1540,134,687684.00,890,57.79,13.00,5.05
5-December-2016,441.70,443.35,433.00,437.30,436.886779960273670271,4531,226,1979534.00,2477,54.67,10.35,-4.40
2-December-2016,451.50,453.00,435.75,437.85,441.524052788420604512,2349,186,1037140.00,1168,49.72,17.25,-13.65
1-December-2016,462.40,463.30,442.35,454.55,452.816793893129770992,4978,396,2254122.00,2531,50.84,20.95,-7.85
30-November-2016,458.00,473.70,453.75,459.05,461.912324049116501946,13356,743,6169301.00,8893,66.58,19.95,1.05
29-November-2016,445.50,469.00,445.50,456.65,461.994437939110070257,6832,524,3156346.00,2631,38.51,23.50,11.15
28-November-2016,431.00,458.90,431.00,451.60,451.009828009828009828,6919,642,3120537.00,3182,45.99,27.90,20.60
25-November-2016,428.90,439.85,424.25,434.45,434.866308243727598566,2790,263,1213277.00,1053,37.74,15.60,5.55
24-November-2016,426.05,430.55,416.00,423.10,424.345479312106248935,5873,448,2492181.00,2543,43.30,14.55,-2.95
23-November-2016,407.05,436.25,404.00,426.45,418.960279931908454700,10574,751,4430086.00,6096,57.65,32.25,19.40
22-November-2016,404.00,410.00,392.40,401.10,402.539777983348751156,2162,240,870291.00,787,36.40,17.60,-2.90
21-November-2016,401.25,410.00,384.90,399.35,398.065611605670952851,3033,261,1207333.00,1076,35.48,25.10,-1.90
18-November-2016,404.30,420.50,394.00,407.30,402.122014589787148995,10007,418,4024035.00,1466,14.65,26.50,3.00
17-November-2016,420.80,425.00,397.75,405.35,406.144894764306835971,5749,455,2334927.00,2923,50.84,27.25,-15.45
16-November-2016,413.50,423.75,402.00,418.65,413.922820860559733694,8111,594,3357328.00,2381,29.36,21.75,5.15
15-November-2016,426.30,431.30,391.25,408.20,406.477997189556985430,13521,908,5495989.00,4822,35.66,40.05,-18.10
11-November-2016,440.00,449.00,421.00,431.00,437.877170334989995481,15493,698,6784031.00,10316,66.58,28.00,-9.00
10-November-2016,461.00,481.20,440.00,448.30,460.172839506172839506,10449,685,4808346.00,5701,54.56,41.20,-12.70
9-November-2016,445.00,459.50,386.00,452.75,431.838859537256330843,32934,1682,14222181.00,12960,39.35,73.50,7.75
8-November-2016,519.00,525.50,465.45,480.00,489.131148039007199927,32917,2087,16100730.00,12136,36.87,60.05,-39.00
7-November-2016,505.00,522.40,498.90,506.20,513.518809884014120020,9915,697,5091539.00,3421,34.50,23.50,1.20
4-November-2016,523.00,528.50,486.50,497.50,507.013935810810810810,14208,861,7203654.00,5700,40.12,42.00,-25.50
3-November-2016,531.00,559.00,508.10,519.00,538.917660638707195075,18193,1148,9804529.00,7453,40.97,50.90,-12.00
2-November-2016,550.00,550.00,529.00,532.45,537.521248339973439575,12048,828,6476056.00,4200,34.86,21.00,-17.55
1-November-2016,520.00,584.40,518.20,558.45,557.239909533750869867,120708,4383,67263315.00,38671,32.04,66.20,38.45
30-October-2016,510.00,524.00,510.00,516.55,517.332886580666778354,5969,359,3087960.00,3715,62.24,14.00,6.55
28-October-2016,505.05,510.00,487.80,505.20,501.142074631975350907,5842,460,2927672.00,2298,39.34,22.20,0.15
27-October-2016,501.50,511.65,496.00,504.45,501.787245739417262231,7276,420,3651004.00,2699,37.09,15.65,2.95
26-October-2016,512.50,524.50,500.10,504.30,511.346680312140207240,7817,477,3997197.00,3878,49.61,24.40,-8.20
25-October-2016,504.35,530.00,491.00,513.40,516.707216746762238331,24554,1445,12687229.00,8230,33.52,39.00,9.05
24-October-2016,477.60,516.00,477.60,506.60,504.793507022186037044,29478,1480,14880303.00,11526,39.10,38.40,29.00
21-October-2016,485.00,487.00,468.10,477.60,481.056946929039952295,6708,322,3226930.00,4086,60.91,18.90,-7.40
20-October-2016,489.85,514.80,478.00,480.75,496.245961639978884392,28415,1429,14100829.00,10566,37.18,36.80,-9.10
19-October-2016,457.80,498.00,452.10,485.55,482.345392316796212775,31263,1756,15079564.00,11548,36.94,45.90,27.75
18-October-2016,460.00,466.55,440.00,458.15,456.897893681043129388,9970,764,4555272.00,4417,44.30,26.55,-1.85
17-October-2016,426.40,461.10,419.95,458.15,450.200362464760370519,34762,1516,15649865.00,18141,52.19,41.15,31.75
14-October-2016,419.00,427.30,407.50,420.45,419.216858789625360230,1388,173,581873.00,635,45.75,19.80,1.45
13-October-2016,422.00,424.90,404.95,412.85,410.276115743011280039,4078,202,1673106.00,1961,48.09,19.95,-9.15
10-October-2016,421.00,440.80,420.35,432.50,434.585783238262395787,6837,333,2971263.00,5027,73.53,20.45,11.50
7-October-2016,412.20,426.30,410.00,421.40,416.319353729804056376,2909,177,1211073.00,2027,69.68,16.30,9.20
6-October-2016,420.00,424.50,410.10,414.55,415.213630406290956749,3815,276,1584040.00,1870,49.02,14.40,-5.45
5-October-2016,425.45,425.90,410.00,412.40,415.571428571428571428,4242,218,1762854.00,2328,54.88,15.90,-13.05
5-October-2016,425.45,425.90,410.00,412.40,415.571428571428571428,4242,218,1762854.00,2328,54.88,15.90,-13.05
4-October-2016,412.00,432.95,412.00,423.10,424.908096068177416230,10326,519,4387601.00,5703,55.23,20.95,11.10
3-October-2016,389.90,422.90,388.00,417.80,413.900197578398095141,19739,1104,8169976.00,8436,42.74,34.90,27.90
30-September-2016,373.00,392.40,373.00,390.25,385.633333333333333333,14280,704,5506844.00,7771,54.42,19.40,17.25
29-September-2016,389.80,393.85,368.45,373.80,375.276606223416162972,22335,833,8381803.00,8336,37.32,25.40,-16.00
28-September-2016,386.55,394.00,379.00,390.10,388.085704331668795726,8611,545,3341806.00,3033,35.22,15.00,3.55
27-September-2016,389.75,392.00,383.00,384.85,386.342976283554860568,3837,296,1482398.00,2139,55.75,9.00,-4.90
26-September-2016,390.00,400.00,381.55,383.50,392.039088729016786570,4170,270,1634803.00,1960,47.00,18.45,-6.50
23-September-2016,387.70,402.90,387.50,394.60,397.601143924360919808,8567,417,3406249.00,4417,51.56,15.40,6.90
22-September-2016,383.00,393.70,377.50,390.65,386.837833643699565487,6444,285,2492783.00,3629,56.32,16.20,7.65
21-September-2016,381.90,386.00,370.60,373.55,379.063588667366211962,4765,221,1806238.00,2268,47.60,15.40,-8.35
20-September-2016,390.00,392.40,375.00,377.15,381.301165649036555388,12611,260,4808589.00,10846,86.00,17.40,-12.85
19-September-2016,380.00,389.00,366.80,385.45,377.369992972593113141,14230,669,5369975.00,9042,63.54,22.20,5.45
16-September-2016,394.75,396.00,375.00,377.25,387.061062472176880842,13478,626,5216809.00,3325,24.67,21.00,-17.50
15-September-2016,394.90,401.00,386.00,389.15,392.581343149578021188,11138,477,4372571.00,1886,16.93,15.00,-5.75
14-September-2016,384.85,396.00,383.30,393.05,391.062380649267982176,29849,1121,11672821.00,6219,20.83,12.70,8.20
12-September-2016,388.00,389.60,376.00,378.65,385.803559227281197589,32198,283,12422103.00,29661,92.12,13.60,-9.35
