Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,394.00,408.50,392.00,401.70,398.282557331480194579,14390,456,5731286.00,4961,34.48,16.50,7.70
29-December-2016,395.00,406.00,382.50,393.90,393.732670887090311723,24958,897,9826780.00,17096,68.50,23.50,-1.10
28-December-2016,351.90,374.50,343.95,366.30,348.498455264458724666,16184,207,5640099.00,14231,87.93,30.55,14.40
27-December-2016,350.00,351.00,345.10,345.75,347.349388928828181164,1391,117,483163.00,876,62.98,5.90,-4.25
26-December-2016,363.00,363.00,342.10,346.85,348.001451980916822236,4821,270,1677715.00,2024,41.98,20.90,-16.15
23-December-2016,369.95,369.95,359.45,359.90,362.663165266106442577,1428,92,517883.00,772,54.06,10.50,-10.05
22-December-2016,370.00,370.00,362.15,365.00,366.004428697962798937,1129,34,413219.00,695,61.56,7.85,-5.00
21-December-2016,374.80,374.80,365.00,367.15,368.041181364392678868,2404,151,884771.00,892,37.10,9.80,-7.65
20-December-2016,375.00,376.00,369.00,370.00,373.002772410316726875,11903,49,4439852.00,11608,97.52,7.00,-5.00
19-December-2016,366.30,375.30,357.95,371.55,363.045144804088586030,10566,335,3835935.00,6924,65.53,17.35,5.25
16-December-2016,371.00,371.00,360.00,362.35,364.087155963302752293,2398,134,873081.00,1556,64.89,11.00,-8.65
15-December-2016,373.70,373.70,363.90,364.75,365.682608695652173913,2300,106,841070.00,1862,80.96,9.80,-8.95
14-December-2016,372.50,372.55,364.00,364.85,366.886440677966101694,590,100,216463.00,227,38.47,8.55,-7.65
13-December-2016,365.50,374.85,365.50,370.15,370.311256610425585494,15884,151,5882024.00,14928,93.98,9.35,4.65
12-December-2016,364.50,376.45,364.50,368.95,369.305475504322766570,694,108,256298.00,23,3.31,11.95,4.45
9-December-2016,380.00,380.00,370.15,372.35,375.018204733230639966,7141,308,2678005.00,5136,71.92,9.85,-7.65
8-December-2016,379.10,381.00,370.50,374.15,376.153553299492385786,3152,320,1185636.00,638,20.24,10.50,-4.95
7-December-2016,384.00,384.00,372.60,373.70,377.390140410430489122,12962,435,4891731.00,6460,49.84,11.40,-10.30
6-December-2016,383.00,383.00,377.00,378.25,378.761219478925112535,14662,230,5553397.00,14208,96.90,6.00,-4.75
5-December-2016,380.00,391.90,371.10,376.65,377.773454388240380458,2313,199,873790.00,1040,44.96,20.80,-3.35
2-December-2016,379.90,379.90,370.00,373.10,374.052402896642527978,7595,183,2840928.00,7183,94.58,9.90,-6.80
1-December-2016,387.00,388.45,372.00,375.85,378.463290483996203951,11591,481,4386768.00,6650,57.37,16.45,-11.15
30-November-2016,385.00,386.00,379.00,380.00,381.127824858757062146,1416,124,539677.00,942,66.53,7.00,-5.00
29-November-2016,390.00,392.15,383.40,383.95,388.393129770992366412,3668,413,1424626.00,1614,44.00,8.75,-6.05
28-November-2016,393.00,396.15,385.05,388.45,389.867353201936847848,14663,332,5716625.00,10970,74.81,11.10,-4.55
25-November-2016,396.00,402.25,390.00,393.55,395.077164530473450170,3823,296,1510380.00,1581,41.35,12.25,-2.45
24-November-2016,380.00,393.00,376.90,389.20,384.859392195039363413,11813,271,4546344.00,7490,63.40,16.10,9.20
23-November-2016,385.00,385.00,375.60,377.60,378.629082240762812872,4195,220,1588349.00,2837,67.63,9.40,-7.40
22-November-2016,375.55,386.50,369.50,384.25,378.294213649851632047,6740,390,2549703.00,3658,54.27,17.00,8.70
21-November-2016,392.95,392.95,367.05,372.20,376.759814458649168457,8839,131,3330180.00,7737,87.53,25.90,-20.75
18-November-2016,385.00,390.00,375.25,387.75,385.724167849818583372,12678,340,4890211.00,7376,58.18,14.75,2.75
17-November-2016,389.00,390.70,377.00,381.25,384.644713804713804713,7425,366,2855987.00,3610,48.62,13.70,-7.75
16-November-2016,400.00,400.25,379.00,381.25,391.093222762367743780,3497,276,1367653.00,1255,35.89,21.25,-18.75
15-November-2016,406.00,409.00,385.00,395.20,395.419594594594594594,14800,150,5852210.00,12557,84.84,24.00,-10.80
11-November-2016,408.75,410.00,390.50,397.15,398.215450771055753262,6744,127,2685565.00,5340,79.18,19.50,-11.60
10-November-2016,417.95,421.25,404.00,406.60,408.855228879791589132,16122,170,6591564.00,10493,65.08,17.25,-11.35
9-November-2016,390.00,410.00,363.45,405.10,394.955826052812407970,10187,469,4023415.00,5115,50.21,46.55,15.10
8-November-2016,413.35,413.35,405.00,405.60,407.759292674124864669,5542,105,2259802.00,4036,72.83,8.35,-7.75
7-November-2016,417.00,417.00,402.00,406.95,412.419940853400929446,2367,142,976198.00,1183,49.98,15.00,-10.05
4-November-2016,415.00,415.00,406.40,408.00,408.526115859449192782,7371,124,3011246.00,5693,77.24,8.60,-7.00
3-November-2016,423.00,423.00,409.30,413.20,417.803571428571428571,4088,231,1707981.00,2094,51.22,13.70,-9.80
2-November-2016,419.75,419.75,410.00,417.60,415.883182355257975580,12695,306,5279637.00,9530,75.07,9.75,-2.15
1-November-2016,428.00,428.00,419.05,420.60,422.057762836185819070,3272,93,1380973.00,1980,60.51,8.95,-7.40
30-October-2016,433.70,433.70,421.20,425.70,426.586542530681337283,2363,76,1008024.00,1225,51.84,12.50,-8.00
28-October-2016,425.00,431.25,420.00,424.30,425.472681067344345616,20462,245,8706022.00,7431,36.32,11.25,-0.70
27-October-2016,410.15,429.60,410.15,419.70,420.672202797202797202,6864,131,2887494.00,4222,61.51,19.45,9.55
26-October-2016,427.00,427.00,416.00,420.40,421.596686123140651478,5311,119,2239100.00,3196,60.18,11.00,-6.60
25-October-2016,424.00,427.50,420.95,424.30,424.210208816705336426,17240,269,7313384.00,8692,50.42,6.55,0.30
24-October-2016,420.00,426.45,415.00,422.25,419.678415230254695137,3887,117,1631290.00,1637,42.11,11.45,2.25
21-October-2016,420.00,421.50,416.00,417.70,417.298286604361370716,3852,88,1607433.00,2427,63.01,5.50,-2.30
20-October-2016,424.00,424.00,418.00,418.65,419.635439203807875378,4622,139,1939555.00,1498,32.41,6.00,-5.35
19-October-2016,423.00,426.80,418.00,421.65,422.608806818181818181,3520,114,1487583.00,904,25.68,8.80,-1.35
18-October-2016,426.70,426.70,418.00,420.00,421.084744402535912045,12461,123,5247137.00,9403,75.46,8.70,-6.70
17-October-2016,435.00,435.00,420.50,421.55,423.898111641419381614,4819,204,2042765.00,2263,46.96,14.50,-13.45
