Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,386.90,395.00,386.90,391.35,391.544462867614975128,11459,633,4486708.00,6254,54.58,8.10,4.45
29-December-2016,380.00,390.00,380.00,386.50,383.166963274551043520,6181,298,2368355.00,1851,29.95,10.00,6.50
28-December-2016,389.70,393.50,378.15,379.90,387.394887287938647455,21515,1048,8334801.00,10591,49.23,15.35,-9.80
27-December-2016,374.00,393.30,372.00,388.70,382.714317156377242214,9087,560,3477725.00,4633,50.98,21.30,14.70
26-December-2016,385.90,385.90,373.05,376.75,378.797541517421035493,12284,616,4653149.00,5879,47.86,12.85,-9.15
23-December-2016,385.15,404.25,382.75,386.80,387.347388147107050831,8538,454,3307172.00,3226,37.78,21.50,1.65
22-December-2016,393.45,393.45,381.90,388.80,386.315540051339432633,15193,592,5869292.00,5687,37.43,11.55,-4.65
21-December-2016,398.50,401.00,394.00,395.45,396.546016681046879493,6954,463,2757581.00,3189,45.86,7.00,-3.05
20-December-2016,408.00,408.00,390.85,393.40,399.339165768305829670,12059,505,4815631.00,3285,27.24,17.15,-14.60
19-December-2016,401.00,412.50,400.00,402.70,405.622667469257889758,11629,593,4716986.00,4030,34.65,12.50,1.70
16-December-2016,417.00,423.00,404.00,407.25,413.469787336586541357,33198,1497,13726370.00,7575,22.82,19.00,-9.75
15-December-2016,395.20,415.50,395.20,403.50,408.932659365346812693,17805,808,7281046.00,4799,26.95,20.30,8.30
14-December-2016,403.80,420.90,396.35,399.90,410.862321641133458036,64687,2558,26577451.00,13451,20.79,24.55,-3.90
13-December-2016,410.00,418.60,396.50,403.80,409.540581696360590832,26268,1305,10757812.00,5855,22.29,22.10,-6.20
12-December-2016,427.90,427.90,402.00,406.15,407.445252751352359634,10722,584,4368628.00,4596,42.87,25.90,-21.75
9-December-2016,386.40,432.00,386.40,423.20,422.097444234748402646,87958,3644,37126847.00,25397,28.87,45.60,36.80
8-December-2016,388.25,394.90,382.45,388.35,386.875891121192482177,12344,593,4775596.00,3820,30.95,12.45,0.10
7-December-2016,390.00,392.00,379.00,383.80,384.647229551451187335,3790,207,1457813.00,1807,47.68,13.00,-6.20
6-December-2016,396.00,397.65,382.00,384.35,387.208233117483811285,10810,482,4185721.00,5434,50.27,15.65,-11.65
5-December-2016,393.00,398.95,387.00,393.50,392.173886042539978264,12882,657,5051984.00,2247,17.44,11.95,0.50
2-December-2016,395.00,396.55,390.00,392.00,393.106382978723404255,3102,322,1219416.00,1569,50.58,6.55,-3.00
1-December-2016,400.00,407.30,393.10,395.90,399.768305577583928099,7566,293,3024647.00,3944,52.13,14.20,-4.10
30-November-2016,401.90,406.10,396.00,397.65,399.653521126760563380,11005,525,4398187.00,3066,27.86,10.10,-4.25
29-November-2016,400.00,409.70,393.00,395.60,402.050955414012738853,6594,260,2651124.00,2592,39.31,16.70,-4.40
28-November-2016,389.30,410.00,387.70,397.50,400.730141749130783631,18695,957,7491650.00,4340,23.21,22.30,8.20
25-November-2016,370.30,394.00,370.25,386.50,384.656471603872479496,16217,905,6237974.00,5777,35.62,23.75,16.20
24-November-2016,370.00,372.75,359.00,366.65,366.949689802248933695,10316,696,3785453.00,3544,34.35,13.75,-3.35
23-November-2016,356.00,370.00,349.00,366.65,364.220060893098782138,11824,680,4306538.00,4603,38.93,21.00,10.65
22-November-2016,355.00,362.00,350.10,352.30,354.588517366511145671,7716,479,2736005.00,3443,44.62,11.90,-2.70
21-November-2016,363.30,365.30,348.00,350.75,352.471494063712236981,8507,547,2998475.00,5481,64.43,17.30,-12.55
18-November-2016,360.00,366.85,351.85,360.90,360.802800974251913709,11496,649,4147789.00,2940,25.57,15.00,0.90
17-November-2016,383.00,383.00,355.80,358.10,366.056206581994246017,14251,967,5216667.00,5963,41.84,27.20,-24.90
16-November-2016,389.90,395.00,376.00,379.25,383.773221757322175732,9560,597,3668872.00,5204,54.44,19.00,-10.65
15-November-2016,404.40,405.15,383.00,385.90,391.321525646646207803,11405,475,4463022.00,4918,43.12,22.15,-18.50
11-November-2016,410.05,411.90,398.10,404.40,404.770831298231903878,20474,736,8287278.00,5242,25.60,13.80,-5.65
10-November-2016,402.25,418.60,402.25,413.30,412.586096971566661525,19449,940,8024387.00,6810,35.01,16.35,11.05
