Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,251.10,255.90,250.05,250.75,252.332195209868631848,99872,2169,25200921.00,26905,26.94,5.85,-0.35
29-December-2016,252.90,254.40,247.90,249.70,251.024686727850335333,90656,1800,22756894.00,30677,33.84,6.50,-3.20
28-December-2016,249.40,259.35,249.00,251.05,254.134672498515038608,185190,4222,47063200.00,39263,21.20,10.35,1.65
27-December-2016,245.20,249.15,241.95,247.70,246.415370121898997973,105087,2186,25895052.00,28282,26.91,7.20,2.50
26-December-2016,252.00,252.60,242.50,243.95,247.834103642983278466,91738,2241,22735805.00,24921,27.17,10.10,-8.05
23-December-2016,256.00,259.00,251.15,251.85,254.531718665349437521,156895,5343,39934754.00,40833,26.03,7.85,-4.15
22-December-2016,262.15,263.80,252.95,254.45,259.706766452813253460,550377,2937,142936631.00,459474,83.48,10.85,-7.70
21-December-2016,265.85,268.40,261.75,263.00,264.686485159411455952,118122,2816,31265297.00,29535,25.00,6.65,-2.85
20-December-2016,272.30,279.10,261.05,263.20,268.781032133839530617,275255,6617,73983323.00,61788,22.45,18.05,-9.10
19-December-2016,275.55,280.20,272.00,273.05,276.427739279945813577,191930,4307,53054776.00,45025,23.46,8.20,-2.50
16-December-2016,277.90,280.90,271.50,272.45,275.292628635206480982,159482,4254,43904219.00,46452,29.13,9.40,-5.45
15-December-2016,271.40,282.00,270.00,275.45,276.944220955786493835,268470,7117,74351215.00,56499,21.04,12.00,4.05
14-December-2016,275.90,286.10,271.50,272.65,278.905836689092275754,536143,13296,149533412.00,83412,15.56,14.60,-3.25
13-December-2016,285.90,286.10,272.00,273.35,278.375872569848214620,293243,7863,81631776.00,62706,21.38,14.10,-12.55
12-December-2016,274.90,292.50,273.00,283.50,284.299713856821388639,710134,18819,201890893.00,72074,10.15,19.50,8.60
9-December-2016,286.70,295.85,268.20,273.65,283.323376059878880185,1242241,29154,351955914.00,176547,14.21,27.65,-13.05
8-December-2016,248.00,290.40,246.10,284.15,275.283134493389733307,1187471,25804,326890739.00,190296,16.03,44.30,36.15
7-December-2016,245.10,255.90,243.90,246.10,249.902505199470599357,211560,5386,52869374.00,57260,27.07,12.00,1.00
